"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","1903","693","２／３","1811","38%","1811","20","２／３","182","11%","182","708","１／２","1500","47%","1500","502","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"02","青森県","31","29","２／４","201","14%","225","2","２／４","31","6%","30","2","２／４","260","1%","100","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"03","岩手県","57","35","２／３","374","9%","350","0","２／３","59","0%","45","22","２／３","381","6%","300","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"04","宮城県","190","68","３／５","345","20%","450","5","３／５","43","12%","65","32","３／５","300","11%","300","90","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"05","秋田県","8","7","２／４","222","3%","235","1","２／４","22","5%","27","1","２／４","58","2%","69","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"06","山形県","14","13","２／４","216","6%","215","0","２／４","26","0%","26","1","２／４","188","1%","188","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"07","福島県","45","45","２／４","469","10%","350","5","２／４","42","12%","50","0","２／４","160","0%","160","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"08","茨城県","225","71","２／３","546","13%","500","3","２／３","72","4%","70","32","３／４","324","10%","324","122","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"09","栃木県","35","35","２／４","313","11%","313","4","２／４","41","10%","41","0","２／４","284","0%","250","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"10","群馬県","46","29","２／３","316","9%","330","2","２／３","23","9%","50","17","２／３","1300","1%","1300","0","0","0","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"11","埼玉県","820","458","３／４","1232","37%","1400","15","３／４","128","12%","200","208","２／３","1225","17%","1450","66","0","88","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"12","千葉県","619","254","３／４","1147","22%","1200","8","３／４","101","8%","180","158","３／４","710","22%","1400","185","0","22","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
"13","東京都","2751","1312","３／４","4000","33%","4000","187","２／４","500","37%","500","592","３／４","1910","31%","3000","520","0","327","2020-11-18","https://www.mhlw.go.jp/content/10900000/000697184.pdf"
