"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","15769","454","341","0","２／３","1653","2133","0","16%","3%","4","4","0","２／３","102","134","0","3%","260","0","２／３","2140","2600","0","10%","0","２／３","62","62","0%","14503","176","552","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"02","青森県","3684","131","129","0","３／５","409","431","0","30%","4%","4","4","0","１／５","31","31","0","13%","130","0","３／５","920","920","0","14%","0","－","0","0","－","2858","115","565","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"03","岩手県","2155","90","90","0","Ⅰ／Ⅰ","402","402","0","22%","4%","0","0","0","Ⅰ／Ⅰ","33","33","0","0%","98","0","Ⅰ／Ⅰ","370","370","0","26%","0","－","0","0","－","1920","41","47","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"04","宮城県","5074","136","115","0","Ⅰ／Ⅰ","521","521","0","22%","3%","5","5","0","Ⅰ／Ⅰ","55","55","0","9%","783","0","Ⅰ／Ⅰ","1950","1950","0","40%","0","－","0","0","－","3394","14","761","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"05","秋田県","2101","79","63","0","６／６","289","289","0","22%","4%","2","2","0","６／６","24","24","0","8%","86","0","６／６","415","415","0","21%","0","－","0","0","－","1633","24","303","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"06","山形県","2104","75","75","0","Ⅰ／Ⅱ","217","257","0","29%","4%","2","0","0","Ⅰ／Ⅱ","26","26","0","0%","64","0","Ⅰ／Ⅱ","322","322","0","20%","0","Ⅰ／Ⅱ","0","0","－","1859","0","106","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"07","福島県","3439","241","210","0","３／３","751","751","8","28%","7%","2","2","0","３／３","47","47","0","4%","355","0","３／３","1547","1547","0","23%","0","３／３","16","24","0%","2636","2","207","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"08","茨城県","7110","231","231","0","４／４","600","623","37","37%","3%","5","5","0","３／４","40","72","0","7%","619","0","５／５","1720","2600","0","24%","0","４／４","37","37","0%","6260","60","0","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"09","栃木県","5546","142","142","7","２／３","638","638","100","22%","3%","1","1","0","２／３","32","46","0","2%","312","0","２／３","990","1050","0","30%","7","２／３","100","100","7%","5092","191","0","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"10","群馬県","4502","283","220","0","４／４","577","587","0","37%","6%","2","2","0","４／４","37","37","0","5%","516","0","６／６","1727","1727","0","30%","0","４／４","6","6","0%","3348","48","355","8","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"11","埼玉県","25726","828","772","0","４／４","1902","1902","130","41%","3%","24","24","0","４／４","195","195","0","12%","616","0","４／４","1899","2162","8","28%","0","４／４","174","174","0%","21462","0","2820","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"12","千葉県","17336","580","527","4","２／２","1707","1774","232","30%","3%","15","15","0","２／２","128","128","0","12%","436","0","２／２","2290","2290","3","19%","4","２／２","205","235","2%","15755","0","565","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"13","東京都","90957","1935","1844","69","３／３","6922","7229","230","26%","2%","350","350","0","３／３","1468","1468","0","24%","3230","14","３／３","8850","8850","290","36%","156","３／３","1851","2266","7%","43054","199","42665","74","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"14","神奈川県","29847","886","886","57","４／４","2100","2100","143","42%","3%","46","46","0","４／４","210","210","0","22%","409","0","１／１","2437","2437","0","17%","57","４／４","143","143","40%","28346","166","206","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"15","新潟県","3468","102","102","0","３／４","577","664","0","15%","3%","0","0","0","３／４","112","112","0","0%","56","0","３／３","300","357","0","16%","0","３／３","10","10","0%","3310","13","0","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"16","富山県","3002","60","60","0","２／３","230","481","0","12%","2%","4","4","0","２／３","14","36","0","11%","180","0","２／３","760","760","0","24%","0","２／３","0","0","－","2498","49","264","1","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"17","石川県","1953","61","61","0","Ⅱ／Ⅱ","494","494","0","12%","3%","5","5","0","Ⅱ／Ⅱ","41","41","0","12%","52","0","Ⅱ／Ⅱ","970","970","0","5%","0","Ⅱ／Ⅱ","0","0","－","1467","20","373","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"18","福井県","1223","86","86","0","５／５","328","441","100","20%","7%","1","1","0","５／５","24","24","0","4%","242","0","２／５","425","575","0","42%","0","５／５","0","100","0%","895","0","0","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"19","山梨県","1655","169","169","0","５／５","389","389","0","43%","10%","1","1","0","５／５","24","24","0","4%","361","268","５／５","1135","1135","639","32%","268","５／５","639","639","42%","854","8","271","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"20","長野県","4869","107","101","0","３／３","450","513","0","20%","2%","0","0","0","３／３","38","43","0","0%","459","0","Ⅰ／Ⅰ","932","932","0","49%","0","－","0","0","－","3742","0","561","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"21","岐阜県","3608","183","183","0","４／４","831","894","0","20%","5%","1","1","0","４／４","59","59","0","2%","570","0","３／３","1932","1932","4","30%","0","４／４","4","4","0%","2255","6","600","14","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"22","静岡県","7108","91","89","0","３／３","587","618","0","14%","1%","0","0","0","３／３","57","59","0","0%","166","0","３／３","1057","1057","0","16%","0","３／３","75","75","0%","6826","31","25","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"23","愛知県","18858","658","545","0","Ⅰ／Ⅱ","1888","1888","0","29%","3%","23","23","0","Ⅰ／Ⅱ","183","183","0","13%","606","0","Ⅰ／Ⅱ","2224","2224","0","27%","0","２／２","0","0","－","14665","63","2929","2","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"24","三重県","3772","144","144","0","Ⅱ／Ⅲ","524","551","10","26%","4%","6","6","0","Ⅱ／Ⅲ","52","56","0","11%","145","0","３／３","665","665","0","22%","0","Ⅱ／Ⅲ","0","10","0%","3456","29","27","2","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"25","滋賀県","4884","226","170","0","Ⅰ／Ⅰ","500","503","30","34%","5%","4","4","0","Ⅰ／Ⅰ","52","52","0","8%","125","0","Ⅰ／Ⅰ","677","677","0","18%","0","Ⅰ／Ⅰ","30","30","0%","4526","100","7","2","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"26","京都府","8556","230","230","0","２／２","924","924","110","25%","3%","11","11","0","２／２","171","171","0","6%","165","0","１／１","1126","1126","0","15%","0","２／２","110","110","0%","8161","0","0","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"27","大阪府","36837","1228","1228","0","Ⅰ／Ⅰ","3630","3920","0","31%","3%","308","304","0","４／５","1180","1406","0","22%","1418","11","５／７","9600","11446","150","12%","30","Ⅰ／Ⅰ","961","1191","3%","23223","0","10949","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"28","兵庫県","14463","401","401","0","５／５","1529","1529","0","26%","3%","13","13","0","５／５","142","142","0","9%","298","0","５／５","2411","2411","0","12%","0","－","0","0","－","12472","0","1292","2","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"29","奈良県","9206","159","159","0","３／３","516","516","0","31%","2%","11","11","0","３／３","34","34","0","32%","311","0","３／３","1083","1083","0","29%","0","３／３","0","0","－","0","0","8736","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"30","和歌山県","973","130","130","0","３／３","616","616","0","21%","13%","2","2","0","３／３","26","26","0","8%","76","0","３／３","329","329","0","23%","0","３／３","178","181","0%","767","0","0","0","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
"31","鳥取県","738","61","61","4","２／３","240","350","5","17%","8%","0","0","0","２／３","30","47","0","0%","85","0","２／２","459","546","0","16%","4","１／１","5","5","80%","527","0","65","65","2022-03-30","https://www.mhlw.go.jp/content/10900000/000924337.xlsx"
