"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","127","26","26","１／３","1114","2000","1%","20%","1","1","１／３","82","137","1%","38","２／２","2370","2370","2%","38","0","25","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"02","青森県","2","0","0","１／４","338","350","0%","0%","0","0","１／４","31","31","0%","1","１／４","700","700","0%","1","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"03","岩手県","1","1","1","１／３","150","350","0%","100%","0","0","１／３","20","45","0%","0","１／３","85","511","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"04","宮城県","2","0","0","５／５","500","500","0%","0%","0","0","５／５","54","54","0%","2","５／５","1250","1250","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"05","秋田県","11","3","3","３／６","136","273","1%","27%","0","0","３／６","10","22","0%","8","３／６","395","395","2%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"06","山形県","0","0","0","３／４","237","237","0%","－","0","0","３／４","26","26","0%","0","３／４","348","348","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"07","福島県","3","2","2","４／４","637","637","0%","67%","2","2","４／４","45","49","4%","0","４／４","503","503","0%","1","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"08","茨城県","21","8","8","２／４","300","600","1%","38%","1","1","２／４","40","70","1%","8","６／９","1020","1345","1%","5","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"09","栃木県","16","6","6","１／３","374","502","1%","38%","1","1","１／３","27","46","2%","2","１／３","665","725","0%","3","0","5","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"10","群馬県","24","19","0","１／４","198","529","0%","79%","0","0","１／４","15","76","0%","3","１／６","183","1650","0%","2","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"11","埼玉県","107","58","58","３／４","1335","1774","3%","54%","10","10","３／４","162","183","5%","7","４／４","1925","1986","0%","26","0","16","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"12","千葉県","55","21","21","１／３","792","1305","2%","38%","1","1","１／３","69","106","1%","20","１／３","1390","1390","1%","12","0","2","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"13","東京都","221","102","96","１／３","4823","6651","1%","46%","38","37","１／３","1207","1207","3%","27","３／４","1750","3230","1%","50","1","42","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"14","神奈川県","132","55","55","１／４","1128","2000","3%","42%","7","7","１／４","99","210","3%","15","１／１","2076","2076","1%","62","1","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"15","新潟県","9","9","9","１／３","351","555","2%","100%","0","0","１／３","39","112","0%","0","１／３","300","300","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"16","富山県","0","0","0","１／４","83","500","0%","－","0","0","１／４","12","36","0%","0","１／４","625","625","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"17","石川県","4","4","4","１／３","153","303","1%","100%","0","0","１／３","32","37","0%","0","１／３","560","560","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"18","福井県","1","0","0","１／５","40","424","0%","0%","0","0","１／５","2","24","0%","1","１／５","187","316","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"19","山梨県","0","0","0","１／４","89","376","0%","－","0","0","１／４","7","24","0%","0","１／４","966","966","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"20","長野県","1","1","1","１／３","124","529","0%","100%","0","0","１／３","28","43","0%","0","１／３","806","806","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"21","岐阜県","23","15","15","１／４","362","882","2%","65%","0","0","１／４","53","59","0%","8","１／３","549","1619","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"22","静岡県","10","3","3","１／５","623","737","0%","30%","0","0","１／５","62","63","0%","1","１／５","870","870","0%","6","1","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"23","愛知県","75","16","16","４／４","1605","1605","1%","21%","2","2","４／４","173","173","1%","13","４／４","1628","1691","1%","37","0","9","1","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"24","三重県","3","2","2","３／３","465","465","0%","67%","0","0","３／３","50","50","0%","0","３／３","375","375","0%","1","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"25","滋賀県","11","8","8","４／４","441","443","2%","73%","0","0","４／４","52","52","0%","3","４／４","677","677","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"26","京都府","37","15","15","３／３","708","738","2%","41%","0","0","３／３","161","161","0%","7","３／３","1126","1126","1%","15","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"27","大阪府","287","118","118","１／５","2046","3572","3%","41%","21","21","１／５","915","1300","2%","42","３／６","3142","8514","0%","123","0","4","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"28","兵庫県","87","38","38","１／６","400","1357","3%","44%","4","4","１／６","70","142","3%","15","１／６","500","2011","1%","28","0","6","1","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"29","奈良県","16","8","8","２／３","354","475","2%","50%","0","0","２／３","32","34","0%","2","２／３","1136","1136","0%","0","0","6","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"30","和歌山県","3","3","3","３／３","581","581","1%","100%","0","0","３／３","26","26","0%","0","３／３","151","288","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"31","鳥取県","1","1","1","３／３","256","337","0%","100%","0","0","２／３","44","47","0%","0","１／１","277","364","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"32","島根県","2","2","2","１／５","198","324","1%","100%","0","0","１／５","5","25","0%","0","１／５","133","133","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"33","岡山県","84","38","38","３／４","491","557","7%","45%","3","3","３／４","51","68","4%","16","３／４","507","507","3%","29","0","1","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"34","広島県","34","5","5","２／５","440","872","1%","15%","0","0","２／５","35","64","0%","24","２／５","1624","2397","1%","5","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"35","山口県","28","12","12","２／４","237","549","2%","43%","0","0","２／４","10","47","0%","0","２／４","630","730","0%","16","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"36","徳島県","4","4","4","３／４","234","234","2%","100%","0","0","３／４","25","25","0%","0","３／４","400","400","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
"37","香川県","1","0","0","１／３","146","238","0%","0%","0","0","１／３","17","30","0%","1","１／３","368","368","0%","0","0","0","0","2021-11-17","https://www.mhlw.go.jp/content/10900000/000857272.xlsx"
