"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","273","106","106","２／３","1584","2001","5%","39%","3","3","２／３","103","137","2%","36","２／２","2370","2370","2%","130","0","1","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"02","青森県","142","69","29","２／４","327","337","9%","49%","4","4","２／４","31","31","13%","40","４／４","470","470","9%","29","0","4","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"03","岩手県","10","9","9","２／３","250","350","3%","90%","0","0","２／３","30","45","0%","1","２／３","247","511","0%","0","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"04","宮城県","87","37","37","５／５","498","498","7%","43%","3","3","５／５","54","54","6%","33","５／５","1710","1710","2%","15","0","2","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"05","秋田県","34","7","7","５／６","227","273","3%","21%","1","1","５／６","15","22","5%","26","５／６","304","304","9%","0","0","1","1","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"06","山形県","16","10","8","３／４","237","237","3%","63%","0","0","３／４","26","26","0%","0","３／４","134","134","0%","5","0","1","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"07","福島県","37","31","31","４／４","637","637","5%","84%","4","4","４／４","45","49","8%","6","４／４","503","503","1%","0","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"08","茨城県","192","66","66","３／４","410","600","11%","34%","9","9","３／４","50","70","13%","58","６／８","1020","1170","5%","68","0","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"09","栃木県","167","70","70","２／３","417","502","14%","42%","4","4","２／３","27","46","9%","51","２／３","665","725","7%","46","1","0","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"10","群馬県","126","66","57","３／４","452","508","11%","52%","9","9","３／４","27","76","12%","39","２／６","369","1747","2%","12","0","9","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"11","埼玉県","1148","348","348","４／４","1774","1774","20%","30%","41","41","４／４","183","183","22%","199","４／４","1925","1986","10%","511","0","90","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
"12","千葉県","657","231","231","３／３","1386","1386","17%","35%","44","44","３／３","113","113","39%","91","３／３","1390","1390","7%","298","0","37","0","2021-10-06","https://www.mhlw.go.jp/content/10900000/000841408.xlsx"
