"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","331","151","１／３","1811","8%","1811","2","１／３","182","1%","182","180","１／２","1170","15%","1170","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"02","青森県","126","56","２／４","201","28%","225","2","２／４","31","6%","30","6","２／４","130","5%","100","21","0","43","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"03","岩手県","4","4","１／３","374","1%","350","0","１／３","59","0%","45","0","１／３","381","0%","300","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"04","宮城県","125","98","３／４","345","28%","450","4","３／４","43","9%","65","26","３／４","300","9%","300","1","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"05","秋田県","2","2","２／４","222","1%","235","0","２／４","22","0%","27","0","２／４","58","0%","69","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"06","山形県","5","5","２／４","216","2%","215","0","２／４","26","0%","26","0","２／４","188","0%","188","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"07","福島県","42","41","２／４","469","9%","350","5","２／４","42","12%","50","1","２／４","160","1%","160","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"08","茨城県","15","9","１／３","546","2%","500","1","１／３","72","1%","70","6","３／４","324","2%","324","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"09","栃木県","28","28","１／４","313","9%","313","0","１／４","41","0%","41","0","１／４","284","0%","250","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"10","群馬県","100","46","２／３","305","15%","330","5","２／３","23","22%","50","54","２／３","1300","4%","1300","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"11","埼玉県","387","231","３／４","1206","19%","1400","9","３／４","128","7%","200","100","１／３","1225","8%","1450","27","0","29","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"12","千葉県","381","193","３／４","1147","17%","1200","11","３／４","101","11%","180","107","３／４","710","15%","1400","65","0","16","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"13","東京都","1616","960","３／４","4000","24%","4000","121","２／４","500","24%","500","261","３／４","1910","14%","3000","217","0","178","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"14","神奈川県","532","261","１／３","1939","13%","1939","24","１／３","200","12%","200","108","１／２","862","13%","1000","163","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"15","新潟県","3","3","１／３","456","1%","456","0","１／３","112","0%","112","0","１／３","176","0%","176","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"16","富山県","0","0","１／４","500","0%","500","0","１／４","36","0%","36","0","１／４","125","0%","100","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"17","石川県","11","9","１／２","258","3%","254","1","１／２","35","3%","35","2","１／２","340","1%","340","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"18","福井県","2","2","１／４","215","1%","215","0","１／４","24","0%","24","0","１／４","75","0%","75","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"19","山梨県","8","8","１／４","285","3%","250","0","１／４","24","0%","24","0","１／４","100","0%","100","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"20","長野県","8","8","２／４","350","2%","350","1","２／４","48","2%","48","0","２／４","250","0%","250","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"21","岐阜県","28","28","１／３","625","4%","625","1","１／３","51","2%","51","0","１／３","466","0%","466","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"22","静岡県","27","23","１／４","384","6%","450","0","１／４","34","0%","67","2","１／４","379","1%","450","0","0","2","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"23","愛知県","294","98","２／４","860","11%","839","10","２／４","70","14%","121","50","２／４","1300","4%","1300","111","0","35","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"24","三重県","10","10","２／３","349","3%","349","2","２／３","53","4%","53","0","２／３","100","0%","100","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"25","滋賀県","23","21","２／４","429","5%","450","0","２／４","45","0%","72","0","２／４","260","0%","250","2","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"26","京都府","63","48","２／３","569","8%","750","7","２／３","86","8%","86","4","２／３","338","1%","338","11","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"27","大阪府","683","266","２／４","1377","19%","1615","39","２／４","355","11%","215","146","１／３","1517","10%","1036","107","0","164","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"28","兵庫県","149","115","２／５","663","17%","650","15","２／５","110","14%","120","34","２／５","698","5%","700","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"29","奈良県","18","17","１／３","467","4%","500","1","１／３","27","4%","25","1","１／３","108","1%","108","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"30","和歌山県","12","12","２／４","400","3%","400","0","２／４","40","0%","40","0","２／４","137","0%","137","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"31","鳥取県","3","3","１／３","313","1%","300","0","１／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"32","島根県","1","1","１／５","253","0%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"33","岡山県","57","44","１／４","257","17%","250","0","１／４","37","0%","40","4","１／４","207","2%","180","3","0","6","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"34","広島県","12","12","１／３","553","2%","500","0","１／３","72","0%","70","0","１／３","709","0%","700","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"35","山口県","5","5","１／４","423","1%","423","1","１／４","102","1%","102","0","１／４","834","0%","834","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"36","徳島県","5","5","２／４","200","3%","200","0","２／４","25","0%","25","0","２／４","150","0%","150","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"37","香川県","4","4","１／３","196","2%","196","0","１／３","26","0%","26","0","１／３","101","0%","101","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"38","愛媛県","0","0","１／３","229","0%","223","0","１／３","33","0%","33","0","１／３","117","0%","117","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"39","高知県","3","3","１／４","200","2%","200","0","１／４","58","0%","57","0","１／４","361","0%","190","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"40","福岡県","67","43","２／３","551","8%","760","4","２／３","90","4%","110","13","２／３","1057","1%","1200","11","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"41","佐賀県","2","0","１／４","274","0%","274","0","１／４","46","0%","46","2","１／４","253","1%","253","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"42","長崎県","2","1","２／４","395","0%","395","0","２／４","27","0%","42","1","２／４","224","0%","550","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"43","熊本県","39","35","１／３","400","9%","400","0","１／３","59","0%","59","2","１／３","1430","0%","140","2","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"44","大分県","0","0","１／４","330","0%","330","0","１／４","41","0%","41","0","１／２","700","0%","170","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"45","宮崎県","0","0","１／３","246","0%","246","0","１／３","33","0%","33","0","１／３","250","0%","250","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"46","鹿児島県","5","5","２／４","342","1%","300","0","２／４","38","0%","48","0","２／４","370","0%","370","0","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
"47","沖縄県","334","207","４／５","435","48%","425","24","４／５","53","45%","51","84","３／５","370","23%","340","43","0","0","2020-10-28","https://www.mhlw.go.jp/content/10900000/000690275.pdf"
