"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"28","兵庫県","91324","1098","1098","0","５／５","1629","1629","0","67%","1%","42","42","0","５／５","142","142","0","30%","615","0","５／５","2411","2411","0","26%","0","－","0","0","－","78890","0","10721","68","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"29","奈良県","37692","478","351","0","３／３","540","540","0","65%","1%","13","13","0","３／３","36","36","0","36%","270","0","３／３","969","969","0","28%","0","３／３","0","0","－","0","0","36944","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"30","和歌山県","11339","378","378","0","３／３","540","540","0","70%","3%","2","2","0","３／３","26","26","0","8%","111","0","３／３","178","178","0","62%","0","３／３","178","181","0%","10850","0","0","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"31","鳥取県","7422","162","162","0","３／３","285","350","5","46%","2%","2","2","0","３／３","30","47","0","4%","131","0","２／２","448","448","0","29%","0","１／１","5","5","0%","5385","0","1744","1744","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"32","島根県","8412","197","134","0","５／５","353","371","0","36%","2%","0","0","0","５／５","5","28","0","0%","38","0","５／５","133","133","0","29%","0","－","0","0","－","5879","1","2298","1","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"33","岡山県","24634","424","366","0","４／４","555","600","0","61%","2%","15","15","0","２／４","37","68","0","22%","129","0","３／３","629","629","0","21%","0","２／４","0","5","0%","21859","312","2222","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"34","広島県","47655","662","479","13","Ⅰ／Ⅱ","772","772","39","62%","1%","10","10","0","Ⅰ／Ⅱ","53","53","0","19%","700","0","Ⅰ／Ⅰ","1895","1966","0","36%","13","Ⅰ／Ⅱ","39","39","33%","44865","296","1428","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"35","山口県","17284","373","373","0","４／４","627","627","0","59%","2%","4","4","0","４／４","47","47","0","9%","192","0","４／４","671","671","0","29%","0","４／４","0","0","－","15350","563","1369","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"36","徳島県","8843","129","129","0","４／５","234","263","22","49%","1%","4","4","0","４／５","25","25","0","16%","169","0","５／５","500","500","0","34%","0","４／５","0","22","0%","8545","0","0","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"37","香川県","13820","266","156","0","３／３","271","271","0","58%","2%","4","4","0","３／３","30","30","0","13%","156","0","２／２","474","474","0","33%","0","３／３","0","0","－","9785","425","3613","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"38","愛媛県","21214","305","221","0","Ⅰ／Ⅰ","382","401","10","55%","1%","4","4","0","Ⅰ／Ⅰ","26","26","0","15%","68","0","３／３","263","263","67","26%","0","Ⅰ／Ⅰ","67","77","0%","17598","143","3243","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"39","高知県","13084","258","175","0","５／５","321","321","0","55%","2%","11","8","0","５／５","24","24","0","33%","58","8","５／５","287","287","16","20%","8","５／５","16","16","50%","12756","404","12","7","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"40","福岡県","92991","3258","1432","0","５／５","1867","1867","0","77%","4%","17","17","0","５／５","217","217","0","8%","928","0","４／４","2432","2432","19","38%","0","１／２","39","222","0%","79185","604","9620","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"41","佐賀県","13249","560","334","0","４／５","519","590","50","57%","4%","2","2","0","３／５","21","48","0","4%","226","0","２／４","619","619","0","37%","0","４／５","50","50","0%","12463","402","0","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"42","長崎県","38642","845","373","0","Ⅱ／Ⅱ","636","677","0","55%","2%","3","3","0","Ⅱ／Ⅱ","40","40","0","8%","369","0","Ⅱ／Ⅱ","900","920","20","40%","0","Ⅱ／Ⅱ","10","20","0%","37426","697","2","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"43","熊本県","42292","767","563","0","Ⅱ／Ⅱ","878","878","0","64%","2%","19","19","0","Ⅱ／Ⅱ","68","68","0","28%","597","0","Ⅱ／Ⅱ","1226","1226","0","49%","0","－","0","0","－","34929","152","5999","181","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"44","大分県","12938","299","299","0","３／４","461","529","0","57%","2%","7","7","0","３／４","42","43","0","16%","583","60","３／４","1370","1460","254","40%","60","３／４","175","254","24%","11881","262","175","175","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"45","宮崎県","22882","496","172","0","２／２","321","321","0","54%","2%","4","4","0","２／２","15","15","0","27%","176","0","Ⅰ／Ⅰ","512","512","12","34%","0","Ⅰ／Ⅰ","12","12","0%","18994","297","3216","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"46","鹿児島県","29809","862","480","0","Ⅱ／Ⅱ","751","751","0","64%","3%","14","14","0","Ⅱ／Ⅱ","40","40","0","35%","1392","0","Ⅱ／Ⅱ","1812","1812","47","77%","0","１／４","0","57","0%","0","0","27555","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
"47","沖縄県","31229","695","695","0","Ⅰ／Ⅲ","929","929","25","75%","2%","21","21","0","Ⅰ／Ⅲ","64","64","0","33%","585","0","Ⅰ／Ⅲ","2490","2490","75","23%","0","Ⅰ／Ⅲ","100","100","0%","26099","1080","3850","0","2022-08-17","https://www.mhlw.go.jp/content/10900000/000977832.xlsx"
