都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典
01,北海道,191,159,700,1558,10,100,132,9,930,4,19,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf
02,青森県,0,0,128,225,0,29,34,0,30,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf
03,岩手県,0,0,93,166,0,28,28,0,85,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf
04,宮城県,0,0,388,400,0,57,60,0,200,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf
05,秋田県,0,0,105,105,0,55,55,0,16,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf
06,山形県,3,3,150,150,1,16,16,0,188,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf
07,福島県,6,6,229,800,0,15,20,0,300,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf
08,茨城県,12,10,151,1000,1,30,50,0,34,2,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf
09,栃木県,14,12,271,271,0,41,41,1,111,1,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf
10,群馬県,9,9,170,280,1,23,50,0,150,0,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf
11,埼玉県,50,46,602,602,4,60,60,3,1055,1,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf
12,千葉県,38,29,819,1700,4,82,300,0,736,9,0,0,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf
13,東京都,366,319,3300,4000,27,400,700,24,2865,18,0,5,2020-06-03,https://www.mhlw.go.jp/content/10900000/000637508.pdf
