"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","45946","1017","677","0","２／３","1747","2248","0","30%","2%","4","4","0","２／３","105","140","0","3%","546","0","２／３","2085","2215","0","25%","0","２／３","56","56","0%","40307","315","4076","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"02","青森県","12952","265","233","0","３／５","440","452","0","52%","2%","3","3","0","１／５","31","31","0","10%","123","0","３／５","660","660","0","19%","0","－","0","0","－","8562","216","4002","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"03","岩手県","8207","190","162","0","２／２","325","325","0","50%","2%","0","0","0","２／２","31","34","0","0%","127","0","２／２","280","280","0","45%","0","－","0","0","－","7890","115","0","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"04","宮城県","28278","319","276","0","Ⅰ／Ⅰ","538","538","0","51%","1%","13","13","0","Ⅰ／Ⅰ","55","55","0","24%","1085","0","Ⅰ／Ⅰ","2060","2060","0","53%","0","－","0","0","－","21490","0","5384","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"05","秋田県","10055","157","111","0","６／６","289","289","0","38%","2%","1","1","0","６／６","24","24","0","4%","152","0","６／６","415","415","0","37%","0","－","0","0","－","6252","197","3494","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"06","山形県","8182","130","87","0","４／４","251","251","0","35%","2%","0","0","0","４／４","26","26","0","0%","83","0","４／４","348","348","0","24%","0","４／４","0","0","－","7837","0","132","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"07","福島県","14169","356","324","0","３／３","728","757","8","43%","3%","2","2","0","３／３","45","45","0","4%","393","0","３／３","1547","1547","0","25%","0","３／３","16","24","0%","13420","179","0","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"08","茨城県","19533","412","412","0","Ⅰ／Ⅰ","800","800","0","52%","2%","5","5","0","１／４","30","72","0","7%","701","0","３／５","1116","2689","0","26%","0","－","0","0","－","18420","117","0","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"09","栃木県","23113","317","317","0","３／３","548","581","33","55%","1%","9","9","0","３／３","46","46","0","20%","471","0","２／３","755","1050","0","45%","0","３／３","33","33","0%","22325","189","0","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"10","群馬県","28783","401","340","0","４／４","667","667","0","51%","1%","3","0","0","１／４","13","37","0","0%","764","0","６／６","1727","1727","0","44%","0","４／４","6","6","0%","23295","457","4323","17","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"11","埼玉県","97021","1589","1210","0","４／４","1602","1842","130","66%","2%","32","32","0","１／４","81","191","0","17%","961","0","４／４","1837","1986","8","48%","0","４／４","8","138","0%","86757","0","7714","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"12","千葉県","68353","1359","1138","81","Ⅰ／Ⅰ","1679","1891","224","60%","2%","16","16","0","Ⅰ／Ⅰ","150","172","0","9%","798","0","Ⅰ／Ⅰ","1956","1956","3","41%","81","Ⅰ／Ⅰ","161","237","34%","63422","0","2774","25","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"13","東京都","290580","4091","3929","90","２／２","6752","7329","529","54%","1%","610","610","0","１／２","920","1007","0","61%","7101","224","２／２","8450","8450","290","84%","602","２／２","1561","1746","34%","193779","1090","85321","483","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"14","神奈川県","106354","1849","1849","54","４／４","2100","2100","143","88%","2%","43","43","0","１／４","126","210","0","20%","492","0","１／１","2421","2421","0","20%","54","４／４","78","143","38%","103268","1332","745","1","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"15","新潟県","18891","413","413","0","３／４","557","664","0","62%","2%","5","5","0","３／４","112","112","0","4%","85","0","３／３","300","357","0","24%","0","３／３","10","10","0%","18393","255","0","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"16","富山県","12948","153","149","0","２／３","230","481","0","31%","1%","3","3","0","２／３","14","36","0","8%","259","0","２／３","760","760","0","34%","0","２／３","0","0","－","10927","11","1609","2","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"17","石川県","13273","204","204","0","Ⅰ／Ⅱ","413","413","0","49%","2%","0","0","0","Ⅰ／Ⅱ","37","37","0","0%","141","0","Ⅰ／Ⅱ","630","630","0","22%","0","Ⅰ／Ⅱ","0","0","－","11167","5","1761","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"18","福井県","10779","137","137","0","４／４","321","441","100","31%","1%","1","1","0","４／４","24","24","0","4%","185","0","２／４","425","575","0","32%","0","４／４","0","100","0%","10457","0","0","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"19","山梨県","7017","176","176","0","５／５","417","417","0","42%","3%","0","0","0","５／５","24","24","0","0%","404","170","５／５","1135","1135","639","36%","170","５／５","639","639","27%","6339","87","98","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"20","長野県","15156","277","208","0","２／３","457","520","0","40%","2%","0","0","0","２／３","38","43","0","0%","366","0","２／３","658","658","0","56%","0","－","0","0","－","10725","83","3788","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"21","岐阜県","24466","669","472","0","４／４","897","897","0","53%","3%","1","1","0","４／４","59","59","0","2%","1132","0","３／３","1932","1932","4","59%","0","３／３","4","4","0%","16342","312","6323","29","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"22","静岡県","37833","693","483","0","３／３","682","682","0","71%","2%","4","4","0","３／３","58","58","0","7%","266","0","３／３","894","894","0","30%","0","３／３","0","75","0%","36840","345","34","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"23","愛知県","116416","1567","1036","0","２／２","1723","1723","0","60%","1%","25","25","0","２／２","172","172","0","15%","1083","0","２／２","2374","2374","0","46%","0","２／２","0","0","－","96840","404","16926","3","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"24","三重県","20584","342","258","0","Ⅱ／Ⅲ","530","540","10","48%","2%","1","1","0","Ⅱ／Ⅲ","52","52","0","2%","156","0","３／３","496","496","0","31%","0","Ⅱ／Ⅲ","0","10","0%","20048","352","38","4","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"25","滋賀県","21205","422","280","0","Ⅰ／Ⅰ","506","508","30","55%","2%","2","2","0","Ⅰ／Ⅰ","52","52","0","4%","184","0","Ⅰ／Ⅰ","630","630","0","29%","0","Ⅰ／Ⅰ","30","30","0%","20588","46","11","9","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
"26","京都府","54652","665","475","0","２／２","961","981","110","48%","1%","104","104","0","２／２","175","175","0","59%","241","0","２／１","1126","1126","0","21%","0","２／２","110","110","0%","53746","266","0","0","2022-08-03","https://www.mhlw.go.jp/content/10900000/000973968.xlsx"
