"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","621","289","289","２／３","1622","1995","14%","47%","11","11","２／３","121","148","7%","109","２／２","2385","2385","5%","130","0","93","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"02","青森県","27","13","13","２／４","247","261","5%","48%","0","0","２／４","31","31","0%","9","４／４","310","310","3%","3","0","2","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"03","岩手県","103","82","82","２／３","250","350","23%","80%","1","1","２／３","30","45","2%","20","２／３","85","381","5%","0","0","1","1","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"04","宮城県","174","63","62","５／５","359","361","17%","36%","2","2","５／５","45","45","4%","73","５／５","850","850","9%","15","0","23","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"05","秋田県","45","31","31","４／６","135","230","13%","69%","1","1","４／６","13","22","5%","9","４／６","304","304","3%","0","0","5","1","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"06","山形県","47","33","33","３／４","237","237","14%","70%","2","2","３／４","26","26","8%","1","３／４","134","134","1%","9","0","4","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"07","福島県","169","149","149","４／４","496","496","30%","88%","4","4","４／４","45","49","8%","16","４／４","277","277","6%","1","0","3","3","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"08","茨城県","268","103","103","２／４","300","600","17%","38%","5","5","２／４","40","70","7%","77","４／６","300","630","12%","88","0","0","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"09","栃木県","170","116","116","２／３","371","448","26%","68%","10","10","２／３","27","46","22%","35","１／３","557","638","5%","8","0","11","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"10","群馬県","55","35","35","２／４","285","460","8%","64%","3","3","２／４","21","76","4%","18","１／４","183","1300","1%","0","0","2","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"11","埼玉県","1588","457","457","４／４","1666","1666","27%","29%","26","26","４／４","165","165","16%","388","３／４","1425","1986","20%","410","0","333","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
"12","千葉県","1412","451","439","２／３","1275","1275","34%","32%","16","16","２／３","101","101","16%","391","２／３","1012","1012","39%","470","0","100","0","2021-07-14","https://www.mhlw.go.jp/content/10900000/000807716.xlsx"
