"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","54473","2407","1292","0","３／３","2284","2284","0","57%","4%","15","15","0","３／３","116","116","0","13%","357","0","２／３","2085","2215","0","16%","0","２／３","56","56","0%","49877","0","1832","0","2022-11-30","https://www.mhlw.go.jp/content/10900000/001019538.xlsx"
"02","青森県","9340","423","248","0","３／５","468","480","0","52%","5%","4","4","0","１／５","31","31","0","13%","78","0","３／５","660","660","0","12%","0","－","0","0","－","8829","0","10","10","2022-11-30","https://www.mhlw.go.jp/content/10900000/001019538.xlsx"
"03","岩手県","10385","156","156","0","２／２","334","334","0","47%","2%","1","1","0","２／２","34","34","0","3%","85","0","２／２","280","280","0","30%","0","－","0","0","－","10144","0","0","0","2022-11-30","https://www.mhlw.go.jp/content/10900000/001019538.xlsx"
"04","宮城県","23568","593","375","0","Ⅰ／Ⅰ","592","592","0","63%","3%","18","18","0","Ⅰ／Ⅰ","55","55","0","33%","863","0","Ⅰ／Ⅰ","2090","2090","0","41%","0","－","0","0","－","20974","0","1138","0","2022-11-30","https://www.mhlw.go.jp/content/10900000/001019538.xlsx"
"05","秋田県","8254","408","156","0","６／６","316","316","0","49%","5%","1","1","0","６／６","24","24","0","4%","85","0","６／６","415","415","0","20%","0","－","0","0","－","7614","771","147","0","2022-11-30","https://www.mhlw.go.jp/content/10900000/001019538.xlsx"
"06","山形県","9827","457","151","0","Ⅰ／Ⅱ","284","284","0","53%","5%","0","0","0","Ⅰ／Ⅱ","26","26","0","0%","47","0","Ⅰ／Ⅱ","348","348","0","14%","0","Ⅰ／Ⅱ","0","0","－","9323","0","0","0","2022-11-30","https://www.mhlw.go.jp/content/10900000/001019538.xlsx"
"07","福島県","16766","603","421","0","３／３","760","768","8","55%","4%","3","2","0","３／３","46","46","0","4%","409","0","３／３","1224","1224","0","33%","0","３／３","19","27","0%","15754","327","0","0","2022-11-30","https://www.mhlw.go.jp/content/10900000/001019538.xlsx"
"08","茨城県","15288","434","434","0","７／７","700","706","0","61%","3%","10","10","0","１／７","30","63","0","16%","618","0","４／５","1539","2689","0","23%","0","－","0","0","－","14236","0","0","0","2022-11-30","https://www.mhlw.go.jp/content/10900000/001019538.xlsx"
"09","栃木県","13480","340","340","17","２／３","467","664","102","51%","3%","5","5","0","２／３","26","46","0","11%","111","0","２／３","755","1050","0","11%","17","２／３","102","102","17%","13029","0","0","0","2022-11-30","https://www.mhlw.go.jp/content/10900000/001019538.xlsx"
"10","群馬県","13575","541","389","0","４／４","676","676","0","58%","4%","7","7","0","４／４","37","37","0","19%","229","0","４／６","854","1727","0","13%","0","２／４","0","6","0%","11391","538","1414","1","2022-11-30","https://www.mhlw.go.jp/content/10900000/001019538.xlsx"
