"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","2359","845","２／３","1811","47%","1811","19","２／３","182","10%","182","819","２／２","1560","53%","1560","658","37","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"02","青森県","15","14","１／４","201","7%","225","2","１／４","31","6%","30","1","１／４","260","0%","100","0","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"03","岩手県","95","79","２／３","374","21%","350","0","２／３","59","0%","45","16","２／３","381","4%","300","0","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"04","宮城県","188","68","３／５","345","20%","450","8","３／５","43","19%","65","49","３／５","300","16%","300","71","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"05","秋田県","4","4","２／４","222","2%","235","0","２／４","22","0%","27","0","２／４","58","0%","69","0","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"06","山形県","17","17","２／４","216","8%","215","0","２／４","26","0%","26","0","２／４","108","0%","108","0","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"07","福島県","56","52","２／４","469","11%","350","4","２／４","42","10%","50","1","２／４","160","1%","160","0","0","3","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"08","茨城県","283","121","２／３","546","22%","500","9","２／３","72","13%","70","61","３／４","324","19%","324","101","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"09","栃木県","90","88","３／４","313","28%","313","5","３／４","41","12%","41","2","３／４","284","1%","250","0","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"10","群馬県","110","79","２／３","316","25%","330","2","２／３","23","9%","50","31","２／３","1300","2%","1300","0","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"11","埼玉県","984","541","３／４","1232","44%","1400","19","３／４","128","15%","200","207","２／３","1225","17%","1450","193","0","43","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"12","千葉県","777","343","３／４","1147","30%","1200","9","３／４","101","9%","180","163","３／４","710","23%","1400","244","0","27","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"13","東京都","3754","1611","３／４","4000","40%","4000","250","２／４","500","50%","500","895","３／４","1910","47%","3000","841","0","407","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"14","神奈川県","1207","434","２／３","1939","22%","1939","44","２／３","200","22%","200","338","２／２","867","39%","1000","435","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"15","新潟県","101","94","２／３","456","21%","456","0","２／３","112","0%","112","7","１／３","176","4%","176","0","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"16","富山県","19","16","１／４","500","3%","500","0","１／４","36","0%","36","3","１／４","125","2%","100","0","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"17","石川県","9","7","１／２","258","3%","254","0","１／２","35","0%","35","2","１／２","340","1%","340","0","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"18","福井県","30","30","２／４","215","14%","215","0","２／４","24","0%","24","0","１／４","75","0%","75","0","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"19","山梨県","56","53","２／４","285","19%","250","2","２／４","24","8%","24","3","２／４","100","3%","100","0","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"20","長野県","132","104","２／４","350","30%","350","0","２／４","48","0%","48","14","２／４","250","6%","250","14","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"21","岐阜県","144","134","２／３","625","21%","625","1","２／３","51","2%","51","10","１／３","466","2%","466","0","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"22","静岡県","413","160","４／４","408","39%","450","4","４／４","34","12%","67","81","４／４","379","21%","450","0","0","172","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"23","愛知県","1582","372","３／４","860","43%","839","16","３／４","70","23%","121","208","３／４","1300","16%","1300","892","0","110","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"24","三重県","135","128","２／３","349","37%","349","5","２／３","53","9%","53","5","２／３","100","5%","100","2","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"25","滋賀県","89","75","２／４","429","17%","450","2","２／４","45","4%","72","14","２／４","260","5%","250","0","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"26","京都府","242","121","３／３","650","19%","750","19","３／３","86","22%","86","43","３／３","338","13%","338","78","0","0","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
"27","大阪府","3229","767","４／４","1405","55%","1615","181","４／４","366","49%","215","702","３／３","1517","46%","1036","1249","0","511","2020-11-25","https://www.mhlw.go.jp/content/10900000/000699463.pdf"
