"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","21174","1173","907","0","３／３","2408","2408","0","38%","6%","9","9","0","３／３","124","124","0","7%","166","0","２／３","2085","2215","0","7%","0","３／３","64","64","0%","19137","0","698","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"02","青森県","5466","336","247","0","３／５","498","510","0","48%","6%","2","2","0","１／５","31","31","0","6%","47","0","３／５","660","660","0","7%","0","－","0","0","－","5083","0","0","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"03","岩手県","6161","306","140","0","２／２","372","372","0","38%","5%","2","2","0","２／２","34","34","0","6%","60","0","２／２","280","280","0","21%","0","－","0","0","－","5795","0","0","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"04","宮城県","13990","420","327","0","Ⅰ／Ⅰ","628","628","0","52%","3%","16","16","0","Ⅰ／Ⅰ","55","55","0","29%","541","0","Ⅰ／Ⅰ","1970","1970","0","27%","0","－","0","0","－","12467","0","562","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"05","秋田県","4417","337","131","0","６／６","298","298","0","44%","8%","4","4","0","６／６","16","16","0","25%","55","0","６／６","415","415","0","13%","0","－","0","0","－","3971","879","54","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"06","山形県","4343","340","81","0","Ⅰ／Ⅱ","290","290","0","28%","8%","0","0","0","Ⅰ／Ⅱ","26","26","0","0%","19","0","Ⅰ／Ⅱ","348","348","0","5%","0","Ⅰ／Ⅱ","0","0","－","3984","0","0","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"07","福島県","11544","499","334","0","３／３","766","774","8","43%","4%","3","2","0","３／３","46","46","0","4%","310","0","３／３","1224","1224","0","25%","0","３／３","19","27","0%","10735","533","0","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"08","茨城県","22266","659","659","28","Ⅱ／Ⅲ","1100","1121","200","59%","3%","22","2","0","Ⅱ／Ⅲ","72","72","0","3%","768","0","４／５","1614","2689","0","29%","28","Ⅱ／Ⅲ","200","200","14%","20839","0","0","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"09","栃木県","14187","486","486","16","３／３","741","741","102","66%","3%","10","10","0","３／３","42","42","0","24%","136","0","２／３","755","1050","0","13%","16","３／３","102","102","16%","13565","0","0","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"10","群馬県","12915","584","402","0","４／４","696","696","0","58%","5%","7","7","0","４／４","37","37","0","19%","205","0","４／６","1100","1727","0","12%","0","２／４","0","6","0%","9132","892","2994","3","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"11","埼玉県","42350","1402","1151","0","４／４","1674","1716","0","67%","3%","39","39","0","２／４","91","146","0","27%","701","0","４／４","1712","1986","0","35%","11","４／４","38","38","29%","39297","0","939","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"12","千葉県","40173","2543","1186","44","Ⅰ／Ⅰ","1803","1877","224","63%","6%","35","35","0","Ⅰ／Ⅰ","142","145","0","24%","361","0","Ⅰ／Ⅰ","1758","1758","3","21%","44","Ⅰ／Ⅰ","187","237","19%","37269","0","0","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"13","東京都","68404","3754","3642","480","２／２","6000","7537","972","48%","5%","468","468","0","１／２","863","1114","0","42%","2060","116","２／２","8134","8134","354","25%","600","２／２","1346","1386","43%","59873","1392","2713","193","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"14","神奈川県","52488","1733","1733","0","３／４","2200","2200","0","79%","3%","60","60","0","１／４","105","210","0","29%","224","0","１／１","1551","1551","0","14%","0","－","0","0","－","50470","1101","61","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"15","新潟県","10176","290","290","0","３／４","555","703","0","41%","3%","1","1","0","３／４","112","112","0","1%","35","0","３／３","357","357","0","10%","0","１／３","0","10","0%","9851","514","0","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"16","富山県","5893","197","196","0","３／３","482","500","0","39%","3%","1","1","0","３／３","36","36","0","3%","80","0","３／３","510","510","0","16%","0","３／３","0","0","－","5616","0","0","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"17","石川県","7613","315","286","0","Ⅱ／Ⅱ","525","525","0","54%","4%","2","2","0","Ⅱ／Ⅱ","41","41","0","5%","54","0","Ⅱ／Ⅱ","630","630","0","9%","0","Ⅱ／Ⅱ","0","0","－","7244","0","0","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
"18","福井県","3749","205","205","0","４／４","399","503","100","41%","5%","0","0","0","４／４","24","24","0","0%","165","0","２／４","425","575","0","29%","0","４／４","0","100","0%","3379","0","0","0","2023-01-18","https://www.mhlw.go.jp/content/10900000/001041459.xlsx"
