"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","44348","1431","920","0","２／３","1791","2312","0","40%","3%","6","6","0","２／３","103","124","0","5%","352","0","２／３","2085","2215","0","16%","0","２／３","56","56","0%","41391","0","1174","0","2022-11-09","https://www.mhlw.go.jp/content/10900000/001012031.xlsx"
"02","青森県","5109","203","136","0","３／５","460","472","0","29%","4%","1","1","0","１／５","31","31","0","3%","36","0","３／５","660","660","0","5%","0","－","0","0","－","4870","0","0","0","2022-11-09","https://www.mhlw.go.jp/content/10900000/001012031.xlsx"
"03","岩手県","5699","121","121","0","１／２","208","329","0","37%","2%","1","1","0","１／２","32","34","0","3%","53","0","１／２","100","280","0","19%","0","－","0","0","－","5525","0","0","0","2022-11-09","https://www.mhlw.go.jp/content/10900000/001012031.xlsx"
"04","宮城県","12810","326","175","0","Ⅰ／Ⅰ","605","605","0","29%","3%","4","4","0","Ⅰ／Ⅰ","55","55","0","7%","576","0","Ⅰ／Ⅰ","2090","2090","0","28%","0","－","0","0","－","11296","0","612","0","2022-11-09","https://www.mhlw.go.jp/content/10900000/001012031.xlsx"
"05","秋田県","5295","264","104","0","６／６","316","316","0","33%","5%","3","3","0","６／６","24","24","0","13%","55","0","６／６","415","415","0","13%","0","－","0","0","－","4946","435","30","0","2022-11-09","https://www.mhlw.go.jp/content/10900000/001012031.xlsx"
"06","山形県","7951","360","116","0","Ⅰ／Ⅱ","283","283","0","41%","5%","0","0","0","Ⅰ／Ⅱ","26","26","0","0%","46","0","Ⅰ／Ⅱ","348","348","0","13%","0","Ⅰ／Ⅱ","0","0","－","7545","0","0","0","2022-11-09","https://www.mhlw.go.jp/content/10900000/001012031.xlsx"
"07","福島県","10389","404","315","0","３／３","672","768","8","41%","4%","2","2","0","３／３","46","46","0","4%","326","0","３／３","1224","1224","0","27%","0","３／３","19","27","0%","9659","176","0","0","2022-11-09","https://www.mhlw.go.jp/content/10900000/001012031.xlsx"
"08","茨城県","8775","266","266","0","２／４","410","609","0","44%","3%","4","4","0","１／４","30","72","0","6%","361","0","４／５","1539","2689","0","13%","0","－","0","0","－","8148","0","0","0","2022-11-09","https://www.mhlw.go.jp/content/10900000/001012031.xlsx"
"09","栃木県","6973","167","167","6","２／３","365","595","33","28%","2%","4","4","0","２／３","26","46","0","9%","63","0","２／３","755","1050","0","6%","6","２／３","33","33","18%","6743","0","0","0","2022-11-09","https://www.mhlw.go.jp/content/10900000/001012031.xlsx"
"10","群馬県","7514","467","303","0","４／４","676","676","0","45%","6%","1","1","0","１／４","10","37","0","3%","236","0","３／６","692","1727","0","14%","0","２／４","0","6","0%","6035","288","776","8","2022-11-09","https://www.mhlw.go.jp/content/10900000/001012031.xlsx"
