"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","174","110","１／３","1811","6%","1767","0","１／３","182","0%","182","64","１／２","1170","5%","1170","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"02","青森県","1","1","１／４","187","1%","225","0","１／４","31","0%","30","0","１／４","130","0%","100","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"03","岩手県","1","1","１／３","374","0%","350","0","１／３","59","0%","45","0","１／３","381","0%","300","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"04","宮城県","46","34","３／４","345","10%","450","1","３／４","43","2%","65","9","３／４","300","3%","300","3","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"05","秋田県","5","1","２／４","222","0%","235","0","２／４","22","0%","27","4","２／４","16","25%","69","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"06","山形県","1","1","２／４","216","0%","215","0","２／４","26","0%","26","0","２／４","188","0%","188","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"07","福島県","49","49","２／４","469","10%","350","3","２／４","42","7%","50","0","２／４","160","0%","160","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"08","茨城県","49","40","１／３","546","7%","500","5","１／３","72","7%","70","7","３／４","324","2%","324","2","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"09","栃木県","25","25","２／４","313","8%","313","0","２／４","41","0%","41","0","２／４","284","0%","250","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"10","群馬県","36","36","２／３","305","12%","330","3","２／３","23","13%","50","0","２／３","1300","0%","363","0","0","0","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"11","埼玉県","314","191","３／４","1201","16%","1400","6","３／４","128","5%","200","80","１／３","1225","7%","1450","23","0","20","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"12","千葉県","324","178","３／４","1147","16%","1200","10","３／４","101","10%","180","83","３／４","710","12%","1400","40","1","22","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
"13","東京都","1934","996","３／４","4000","25%","4000","128","２／４","500","26%","500","243","３／４","1860","13%","3000","415","0","280","2020-10-07","https://www.mhlw.go.jp/content/10900000/000681399.pdf"
