"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","81","53","１／３","1767","3%","1767","2","１／３","182","1%","182","28","１／２","1170","2%","1170","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"02","青森県","2","2","１／４","161","1%","225","0","１／４","29","0%","30","0","１／４","30","0%","100","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"03","岩手県","5","5","１／３","374","1%","350","0","１／３","59","0%","45","0","１／３","225","0%","300","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"04","宮城県","48","34","２／４","345","10%","450","0","２／４","43","0%","65","14","２／４","300","5%","300","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"05","秋田県","3","2","２／４","222","1%","235","0","２／４","21","0%","27","1","２／４","16","6%","69","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"06","山形県","2","2","２／４","215","1%","215","1","２／４","25","4%","26","0","２／４","188","0%","188","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"07","福島県","50","50","２／４","469","11%","350","2","２／４","42","5%","50","0","２／４","100","0%","160","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"08","茨城県","53","36","１／３","546","7%","500","3","１／３","72","4%","70","9","２／４","324","3%","324","8","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"09","栃木県","21","21","２／４","311","7%","311","1","２／４","41","2%","41","0","２／４","284","0%","250","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
"10","群馬県","73","71","２／３","302","24%","330","0","２／３","23","0%","50","2","２／３","1300","0%","1300","0","0","0","2021-09-09","https://www.mhlw.go.jp/content/10900000/000694897.pdf"
