"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","1118","484","484","３／３","2088","2088","23%","43%","30","30","３／３","151","151","20%","81","２／２","2395","2395","3%","155","19","398","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"02","青森県","41","12","12","１／４","247","261","5%","29%","0","0","１／４","31","31","0%","6","４／４","310","310","2%","19","0","4","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"03","岩手県","49","33","33","２／３","250","350","9%","67%","2","2","２／３","30","45","4%","13","２／３","85","381","3%","0","0","3","3","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"04","宮城県","60","27","27","５／５","359","361","7%","45%","3","3","５／５","45","45","7%","24","５／５","1000","1000","2%","9","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"05","秋田県","82","18","18","４／６","119","230","8%","22%","1","1","４／６","12","22","5%","64","４／６","304","304","21%","0","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"06","山形県","12","12","12","３／４","237","237","5%","100%","2","2","３／４","26","26","8%","0","３／４","134","134","0%","0","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"07","福島県","117","103","103","４／４","496","496","21%","88%","4","4","４／４","45","49","8%","8","４／４","277","277","3%","0","0","6","2","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"08","茨城県","242","108","108","２／４","300","600","18%","45%","4","4","２／４","40","70","6%","80","４／６","300","630","13%","54","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"09","栃木県","228","118","118","２／３","371","448","26%","52%","12","12","２／３","27","46","26%","68","１／３","557","638","11%","29","0","13","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"10","群馬県","47","36","36","２／４","284","459","8%","77%","5","5","２／４","21","76","7%","11","２／４","429","1300","1%","0","0","0","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"11","埼玉県","1005","293","293","４／４","1666","1666","18%","29%","14","14","４／４","164","164","9%","275","３／４","1237","1986","14%","214","0","223","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"12","千葉県","1027","363","359","２／３","1277","1277","28%","35%","17","17","２／３","101","101","17%","285","２／３","1012","1012","28%","249","0","130","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"13","東京都","4434","1553","1514","４／４","5594","6044","25%","35%","385","385","４／４","1207","1207","32%","1134","４／４","3030","3030","37%","954","0","793","67","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
"14","神奈川県","1735","420","420","３／４","1528","1790","23%","24%","41","41","３／４","158","199","21%","334","１／１","1657","1657","20%","956","1","25","0","2021-06-30","https://www.mhlw.go.jp/content/10900000/000801103.xlsx"
