都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典
01,北海道,88,58,700,1558,5,100,132,26,810,4,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
02,青森県,4,4,158,225,0,29,34,0,30,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
03,岩手県,0,0,93,166,0,33,33,0,85,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
04,宮城県,22,13,388,400,0,57,60,9,100,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
05,秋田県,0,0,105,105,0,55,55,0,16,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
06,山形県,3,3,150,150,0,16,16,0,188,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
07,福島県,2,2,229,350,0,15,50,0,100,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
08,茨城県,23,17,166,500,2,33,70,6,34,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
09,栃木県,48,45,271,271,0,41,41,1,111,2,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
10,群馬県,15,15,240,280,1,23,50,0,150,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
11,埼玉県,452,248,602,602,7,60,60,100,904,57,0,47,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
12,千葉県,249,177,819,1700,2,82,300,30,736,30,0,12,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
13,東京都,1976,992,3300,4000,14,400,500,155,371,457,0,372,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
14,神奈川県,304,122,1979,2200,7,172,170,131,2486,51,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
15,新潟県,6,6,411,766,0,112,112,0,50,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
16,富山県,5,5,500,500,0,20,20,0,100,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
17,石川県,9,9,254,254,1,35,35,0,340,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
18,福井県,3,3,176,350,0,19,19,0,42,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
19,山梨県,4,4,80,250,0,13,24,0,21,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
20,長野県,9,9,300,300,0,33,33,0,200,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
21,岐阜県,38,38,281,625,0,15,67,0,466,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
22,静岡県,31,28,200,400,0,20,20,2,155,0,0,1,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
23,愛知県,181,104,500,1500,0,28,400,0,1300,77,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
24,三重県,10,9,171,171,0,46,46,0,100,1,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
25,滋賀県,14,14,141,450,1,50,50,0,62,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
26,京都府,146,84,431,431,1,86,86,29,338,33,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
27,大阪府,497,305,1257,1615,8,188,215,154,712,38,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
28,兵庫県,102,72,515,515,0,71,71,30,500,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
29,奈良県,47,44,434,500,1,25,25,3,108,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
30,和歌山県,18,18,150,177,0,32,32,0,137,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
31,鳥取県,1,1,322,300,0,48,48,0,640,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
32,島根県,2,2,253,253,0,30,46,0,98,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
33,岡山県,13,13,220,250,0,11,40,0,285,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
34,広島県,39,39,266,270,0,35,35,0,176,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
35,山口県,5,5,423,423,0,102,102,0,638,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
36,徳島県,5,5,172,200,0,47,49,0,208,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
37,香川県,16,15,163,163,0,15,15,1,101,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
38,愛媛県,1,1,223,223,0,15,43,0,67,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
39,高知県,2,2,166,200,0,16,50,0,16,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
40,福岡県,203,128,490,1800,4,60,300,12,826,63,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
41,佐賀県,2,2,146,232,0,32,47,0,230,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
42,長崎県,28,22,395,395,0,27,42,6,163,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
43,熊本県,3,3,378,400,0,48,48,0,1430,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
44,大分県,0,0,258,300,0,35,35,0,700,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
45,宮崎県,2,2,204,240,0,21,33,0,250,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
46,鹿児島県,49,47,253,253,0,48,48,2,370,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
47,沖縄県,9,9,225,430,0,33,37,0,0,0,0,0,2021-07-22,https://www.mhlw.go.jp/content/10900000/000652009.pdf
