"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","25774","569","415","0","２／３","1675","2147","0","19%","2%","7","7","0","２／３","106","138","0","5%","452","0","２／３","2085","2215","0","20%","0","２／３","62","62","0%","23700","446","1053","0","2022-05-18","https://www.mhlw.go.jp/content/10900000/000941230.xlsx"
"02","青森県","2356","91","90","0","３／５","435","457","0","20%","4%","1","1","0","１／５","31","31","0","3%","76","0","３／５","890","890","0","9%","0","－","0","0","－","1764","62","425","0","2022-05-18","https://www.mhlw.go.jp/content/10900000/000941230.xlsx"
"03","岩手県","2919","77","77","0","２／２","301","301","0","26%","3%","0","0","0","２／２","31","31","0","0%","71","0","２／２","280","280","0","25%","0","－","0","0","－","2771","45","0","0","2022-05-18","https://www.mhlw.go.jp/content/10900000/000941230.xlsx"
"04","宮城県","3656","138","98","0","Ⅰ／Ⅰ","523","523","0","19%","4%","3","3","0","Ⅰ／Ⅰ","55","55","0","5%","797","0","Ⅰ／Ⅰ","1950","1950","0","41%","0","－","0","0","－","2294","0","427","0","2022-05-18","https://www.mhlw.go.jp/content/10900000/000941230.xlsx"
"05","秋田県","2102","95","70","0","６／６","289","289","0","24%","5%","0","0","0","６／６","24","24","0","0%","105","0","６／６","415","415","0","25%","0","－","0","0","－","1660","127","242","0","2022-05-18","https://www.mhlw.go.jp/content/10900000/000941230.xlsx"
"06","山形県","2426","111","43","0","Ⅰ／Ⅱ","220","261","0","16%","5%","1","1","0","Ⅰ／Ⅱ","26","26","0","4%","71","0","Ⅰ／Ⅱ","348","348","0","20%","0","Ⅰ／Ⅱ","0","0","－","2158","0","86","0","2022-05-18","https://www.mhlw.go.jp/content/10900000/000941230.xlsx"
"07","福島県","4634","239","186","0","３／３","751","751","8","25%","5%","0","0","0","３／３","47","47","0","0%","421","0","３／３","1547","1547","0","27%","0","３／３","16","24","0%","3757","24","217","1","2022-05-18","https://www.mhlw.go.jp/content/10900000/000941230.xlsx"
"08","茨城県","3334","68","68","0","１／４","300","608","0","11%","2%","2","2","0","１／４","30","72","0","3%","386","0","５／５","1437","2600","0","15%","0","１／４","0","0","－","2880","26","0","0","2022-05-18","https://www.mhlw.go.jp/content/10900000/000941230.xlsx"
"09","栃木県","3659","75","75","0","２／３","618","618","71","12%","2%","2","2","0","２／３","32","46","0","4%","332","0","２／３","990","1050","0","32%","0","２／３","71","71","0%","3252","30","0","0","2022-05-18","https://www.mhlw.go.jp/content/10900000/000941230.xlsx"
"10","群馬県","3241","139","119","0","４／４","603","603","0","20%","4%","0","0","0","２／４","21","37","0","0%","417","0","５／６","1266","1727","0","24%","0","４／４","6","6","0%","2416","69","269","10","2022-05-18","https://www.mhlw.go.jp/content/10900000/000941230.xlsx"
