"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","570","215","１／３","1811","12%","1811","6","１／３","182","3%","182","355","１／２","1170","30%","1170","0","0","0","2020-11-04","https://www.mhlw.go.jp/content/10900000/000692127.pdf"
"02","青森県","80","55","２／４","201","27%","225","3","２／４","31","10%","30","6","２／４","230","3%","100","10","0","9","2020-11-04","https://www.mhlw.go.jp/content/10900000/000692127.pdf"
"03","岩手県","4","4","１／３","374","1%","350","0","１／３","59","0%","45","0","１／３","381","0%","300","0","0","0","2020-11-04","https://www.mhlw.go.jp/content/10900000/000692127.pdf"
"04","宮城県","219","131","３／４","345","38%","450","5","３／４","43","12%","65","88","３／４","300","29%","300","0","0","0","2020-11-04","https://www.mhlw.go.jp/content/10900000/000692127.pdf"
"05","秋田県","4","4","２／４","222","2%","235","1","２／４","22","5%","27","0","２／４","58","0%","69","0","0","0","2020-11-04","https://www.mhlw.go.jp/content/10900000/000692127.pdf"
"06","山形県","4","4","２／４","216","2%","215","0","２／４","26","0%","26","0","２／４","188","0%","188","0","0","0","2020-11-04","https://www.mhlw.go.jp/content/10900000/000692127.pdf"
"07","福島県","28","28","２／４","469","6%","350","3","２／４","42","7%","50","0","２／４","160","0%","160","0","0","0","2020-11-04","https://www.mhlw.go.jp/content/10900000/000692127.pdf"
"08","茨城県","35","22","１／３","546","4%","500","0","１／３","72","0%","70","10","３／４","324","3%","324","3","0","0","2020-11-04","https://www.mhlw.go.jp/content/10900000/000692127.pdf"
"09","栃木県","26","26","２／４","313","8%","313","0","２／４","41","0%","41","0","２／４","284","0%","250","0","0","0","2020-11-04","https://www.mhlw.go.jp/content/10900000/000692127.pdf"
"10","群馬県","47","31","２／３","305","10%","330","4","２／３","23","17%","50","16","２／３","1300","1%","1300","0","0","0","2020-11-04","https://www.mhlw.go.jp/content/10900000/000692127.pdf"
"11","埼玉県","397","268","３／４","1206","22%","1400","9","３／４","128","7%","200","78","１／３","1225","6%","1450","21","0","30","2020-11-04","https://www.mhlw.go.jp/content/10900000/000692127.pdf"
"12","千葉県","328","169","３／４","1147","15%","1200","10","３／４","101","10%","180","78","３／４","710","11%","1400","68","0","13","2020-11-04","https://www.mhlw.go.jp/content/10900000/000692127.pdf"
"13","東京都","1816","1042","３／４","4000","26%","4000","128","２／４","500","26%","500","274","３／４","1910","14%","3000","206","0","294","2020-11-04","https://www.mhlw.go.jp/content/10900000/000692127.pdf"
"14","神奈川県","545","245","１／３","1939","13%","1939","24","１／３","200","12%","200","131","１／２","862","15%","1000","169","0","0","2020-11-04","https://www.mhlw.go.jp/content/10900000/000692127.pdf"
