"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","174","65","65","１／３","1114","2000","3%","37%","2","2","１／３","82","137","1%","40","２／２","2370","2370","2%","45","0","24","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"02","青森県","0","0","0","１／４","340","352","0%","－","0","0","１／４","31","31","0%","0","１／４","700","700","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"03","岩手県","0","0","0","１／３","200","350","0%","－","0","0","１／３","20","45","0%","0","１／３","85","511","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"04","宮城県","3","1","1","５／５","500","500","0%","33%","0","0","５／５","54","54","0%","2","５／５","1250","1250","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"05","秋田県","0","0","0","３／６","136","273","0%","－","0","0","３／６","10","22","0%","0","３／６","395","395","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"06","山形県","4","0","0","３／４","237","237","0%","0%","0","0","３／４","26","26","0%","0","３／４","348","348","0%","4","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"07","福島県","2","2","2","４／４","637","637","0%","100%","1","1","４／４","45","49","2%","0","４／４","503","503","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"08","茨城県","15","6","6","２／４","300","600","1%","40%","0","0","２／４","40","70","0%","6","６／９","1020","1345","0%","3","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"09","栃木県","15","11","11","１／３","374","502","2%","73%","0","0","１／３","27","46","0%","2","１／３","665","725","0%","2","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"10","群馬県","24","8","8","１／４","198","529","2%","33%","1","1","１／４","15","76","1%","15","１／６","183","1650","1%","1","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"11","埼玉県","85","50","50","２／４","990","1774","3%","59%","8","8","２／４","124","183","4%","9","４／４","1925","1986","0%","20","0","6","6","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"12","千葉県","37","12","12","１／３","785","1305","1%","32%","0","0","１／３","69","106","0%","8","１／３","1390","1390","1%","14","0","3","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"13","東京都","160","72","66","１／３","4820","6651","1%","45%","33","32","１／３","1207","1207","3%","28","３／４","1750","3230","1%","48","0","12","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"14","神奈川県","140","64","64","１／４","1027","2100","3%","46%","5","5","１／４","84","210","2%","4","１／１","2076","2076","0%","72","15","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"15","新潟県","13","10","10","１／３","351","555","2%","77%","0","0","１／３","39","112","0%","1","１／３","300","300","0%","2","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"16","富山県","0","0","0","１／４","83","500","0%","－","0","0","１／４","12","36","0%","0","１／４","625","625","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"17","石川県","0","0","0","１／３","153","303","0%","－","0","0","１／３","32","37","0%","0","１／３","560","560","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"18","福井県","0","0","0","１／５","38","424","0%","－","0","0","１／５","2","24","0%","0","１／５","187","316","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
"19","山梨県","1","1","1","１／４","89","376","0%","100%","0","0","１／４","7","24","0%","0","１／４","966","966","0%","0","0","0","0","2021-11-24","https://www.mhlw.go.jp/content/10900000/000859258.xlsx"
