"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","676","342","２／３","1863","18%","1863","11","２／３","161","7%","161","218","２／２","1835","12%","1835","96","20","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"02","青森県","48","28","１／４","220","13%","225","0","１／４","31","0%","30","18","１／４","370","5%","100","2","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"03","岩手県","29","25","２／３","385","6%","350","0","２／３","60","0%","45","4","２／３","381","1%","300","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"04","宮城県","850","117","４／５","345","34%","450","2","４／５","43","5%","65","352","４／５","500","70%","500","381","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"05","秋田県","9","6","２／４","229","3%","235","0","２／４","24","0%","27","3","２／４","70","4%","69","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"06","山形県","145","71","３／４","222","32%","215","0","３／４","26","0%","26","36","３／４","134","27%","134","20","0","18","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"07","福島県","270","248","４／４","469","53%","350","13","４／４","49","27%","50","22","４／４","204","11%","160","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"08","茨城県","315","106","３／３","619","17%","600","0","３／３","70","0%","70","54","４／５","420","13%","420","154","1","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"09","栃木県","158","67","３／４","409","16%","409","0","３／４","46","0%","46","72","３／４","638","11%","638","0","0","19","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"10","群馬県","158","82","３／３","400","21%","330","2","３／３","74","3%","50","58","３／３","1300","4%","1300","0","0","18","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"11","埼玉県","1326","548","４／４","1469","37%","1515","40","４／４","149","27%","200","305","３／３","1436","21%","1450","337","0","136","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"12","千葉県","1015","455","４／４","1361","33%","1200","22","４／４","92","24%","180","198","４／４","968","20%","1400","339","0","23","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"13","東京都","2976","1404","４／４","5048","28%","6044","294","４／４","1024","29%","500","547","４／４","3290","17%","3000","577","10","438","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"14","神奈川県","912","323","２／４","1555","21%","1555","19","２／４","190","10%","190","145","２／２","1373","11%","1000","437","7","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"15","新潟県","143","99","２／３","555","18%","555","1","２／３","112","1%","112","34","２／３","222","15%","222","10","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"16","富山県","13","12","１／４","500","2%","500","1","１／４","36","3%","36","1","１／４","377","0%","100","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"17","石川県","17","17","１／２","258","7%","254","1","１／２","35","3%","35","0","１／２","340","0%","340","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"18","福井県","7","7","１／４","255","3%","255","0","１／４","24","0%","24","0","１／４","75","0%","75","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"19","山梨県","2","1","１／４","285","0%","250","0","１／４","24","0%","24","1","３／４","139","1%","100","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"20","長野県","114","63","２／４","434","15%","434","1","２／４","49","2%","49","36","２／４","375","10%","375","15","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"21","岐阜県","68","67","２／３","694","10%","694","4","２／３","59","7%","59","0","２／３","603","0%","603","0","0","1","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"22","静岡県","171","63","４／４","480","13%","450","1","４／４","40","3%","67","43","４／４","592","7%","450","65","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"23","愛知県","491","185","２／４","1215","15%","839","11","２／４","126","9%","121","77","２／４","1300","6%","1300","166","0","63","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"24","三重県","72","70","３／３","392","18%","392","4","３／３","53","8%","53","0","３／３","100","0%","100","2","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"25","滋賀県","82","67","２／３","351","19%","350","7","２／３","49","14%","62","14","２／３","350","4%","350","1","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"26","京都府","117","56","３／３","453","12%","453","5","３／３","86","6%","86","28","３／３","826","3%","826","33","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"27","大阪府","1313","583","３／４","1990","29%","2021","98","３／４","460","21%","221","292","１／３","2416","12%","2416","393","0","45","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"28","兵庫県","682","391","５／６","839","47%","750","50","５／６","116","43%","120","169","５／６","1130","15%","1000","0","0","122","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"29","奈良県","111","71","３／３","372","19%","372","6","３／３","30","20%","30","20","３／３","254","8%","254","0","0","20","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"30","和歌山県","43","43","２／４","400","11%","400","0","２／４","40","0%","40","0","２／４","137","0%","137","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"31","鳥取県","0","0","２／３","313","0%","300","0","２／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"32","島根県","0","0","１／５","253","0%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"33","岡山県","76","41","２／４","406","10%","250","4","２／４","43","9%","40","30","２／４","207","14%","180","5","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"34","広島県","40","31","１／３","485","6%","500","1","１／３","48","2%","70","5","１／３","1038","0%","1400","4","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"35","山口県","15","15","２／３","475","3%","475","0","２／３","124","0%","137","0","１／３","834","0%","834","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"36","徳島県","23","23","２／４","200","12%","200","1","２／４","25","4%","25","0","２／４","210","0%","210","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"37","香川県","18","16","２／３","209","8%","209","0","２／３","26","0%","26","2","２／３","101","2%","101","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"38","愛媛県","65","38","３／３","265","14%","223","1","３／３","33","3%","33","0","３／３","192","0%","117","27","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"39","高知県","11","11","２／４","200","6%","200","3","２／４","58","5%","57","0","２／４","203","0%","190","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"40","福岡県","403","237","３／３","770","31%","760","8","３／３","111","7%","110","84","３／３","1387","6%","1200","62","20","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"41","佐賀県","38","34","３／４","328","10%","328","2","３／４","46","4%","46","4","１／４","377","1%","377","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"42","長崎県","3","1","２／４","424","0%","421","0","２／４","38","0%","42","2","２／４","384","1%","384","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"43","熊本県","24","19","１／３","505","4%","420","1","１／３","59","2%","59","3","１／３","440","1%","140","2","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"44","大分県","8","8","１／４","367","2%","367","0","１／４","43","0%","43","0","１／２","700","0%","170","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"45","宮崎県","0","0","１／３","274","0%","274","0","１／３","33","0%","33","0","１／３","250","0%","250","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"46","鹿児島県","15","15","３／４","375","4%","300","0","３／４","42","0%","48","0","３／４","577","0%","370","0","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
"47","沖縄県","408","169","４／５","507","33%","425","16","４／５","63","25%","51","134","４／５","440","30%","340","105","0","0","2021-03-24","https://www.mhlw.go.jp/content/10900000/000760411.xlsx"
