"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","62","40","１／３","1767","2%","1767","2","１／３","182","1%","182","22","１／２","1170","2%","1170","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"02","青森県","2","2","１／４","166","1%","225","0","１／４","31","0%","30","0","１／４","30","0%","100","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"03","岩手県","1","1","１／３","374","0%","350","0","１／３","59","0%","45","0","１／３","381","0%","300","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"04","宮城県","82","63","３／４","345","18%","450","0","３／４","43","0%","65","11","３／４","300","4%","300","8","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"05","秋田県","1","0","２／４","222","0%","235","0","２／４","22","0%","27","1","２／４","16","6%","69","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"06","山形県","2","2","２／４","215","1%","215","1","２／４","25","4%","26","0","２／４","188","0%","188","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"07","福島県","45","45","２／４","469","10%","350","1","２／４","42","2%","50","0","２／４","160","0%","160","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"08","茨城県","46","32","１／３","546","6%","500","5","１／３","72","7%","70","8","２／４","324","2%","324","6","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"09","栃木県","63","63","２／４","313","20%","311","2","２／４","41","5%","41","0","２／４","284","0%","250","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"10","群馬県","97","93","２／３","305","30%","330","1","２／３","23","4%","50","4","２／３","1300","0%","1300","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"11","埼玉県","304","212","３／４","1095","19%","1400","7","２／４","122","6%","200","54","１／３","1225","4%","1450","19","0","19","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"12","千葉県","300","198","３／４","1147","17%","1200","7","３／４","101","7%","180","47","３／４","710","7%","1400","40","0","15","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"13","東京都","2285","1234","３／４","4000","31%","4000","116","２／４","500","23%","500","261","３／４","1860","14%","3000","417","2","371","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"14","神奈川県","599","286","１／３","1939","15%","1939","32","１／３","200","16%","200","112","１／２","825","14%","1000","199","2","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"15","新潟県","7","7","１／３","456","2%","456","1","１／３","112","1%","112","0","１／３","176","0%","176","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"16","富山県","12","12","１／４","500","2%","500","0","１／４","36","0%","36","0","１／４","100","0%","100","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"17","石川県","72","65","２／２","258","25%","254","5","２／２","35","14%","35","7","２／２","340","2%","340","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"18","福井県","24","24","３／４","215","11%","215","4","３／４","24","17%","24","0","３／４","75","0%","75","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"19","山梨県","9","9","１／４","285","3%","250","2","１／４","24","8%","24","0","１／４","100","0%","100","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"20","長野県","19","18","２／４","350","5%","350","0","２／４","48","0%","48","1","２／４","250","0%","250","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"21","岐阜県","37","37","１／３","625","6%","625","1","１／３","51","2%","51","0","１／３","466","0%","466","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"22","静岡県","20","16","２／４","384","4%","450","1","２／４","34","3%","67","1","２／４","223","0%","450","0","0","3","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"23","愛知県","371","172","３／４","791","22%","839","19","３／４","70","27%","121","37","３／４","1300","3%","1300","141","0","21","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"24","三重県","78","78","２／３","363","21%","363","1","２／３","51","2%","51","0","２／３","100","0%","100","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"25","滋賀県","34","34","２／４","429","8%","450","3","２／４","45","7%","72","0","２／４","260","0%","250","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"26","京都府","79","54","２／３","515","10%","750","8","２／３","86","9%","86","5","２／３","338","1%","338","20","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"27","大阪府","839","375","２／４","1324","28%","1615","51(35)","２／４","262","19%","215","170","２／３","1517","11%","1015","161","0","133","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"28","兵庫県","126","113","５／５","663","17%","650","10","５／５","110","9%","120","13","５／５","698","2%","700","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"29","奈良県","19","19","１／３","467","4%","500","1","１／３","25","4%","25","0","１／３","108","0%","108","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"30","和歌山県","5","5","２／４","400","1%","400","0","２／４","40","0%","40","0","２／４","137","0%","137","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"31","鳥取県","12","12","１／３","313","4%","300","0","１／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"32","島根県","0","0","１／５","253","0%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
"33","岡山県","1","1","１／４","250","0%","250","0","１／４","37","0%","40","0","１／４","207","0%","180","0","0","0","2021-09-16","https://www.mhlw.go.jp/content/10900000/000694896.pdf"
