"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","1160","434","１／３","1811","24%","1811","11","１／３","182","6%","182","508","１／２","1170","43%","1170","218","0","0","2020-11-11","https://www.mhlw.go.jp/content/10900000/000694900.pdf"
"02","青森県","59","50","２／４","201","25%","225","2","２／４","31","6%","30","7","２／４","260","3%","100","2","0","0","2020-11-11","https://www.mhlw.go.jp/content/10900000/000694900.pdf"
"03","岩手県","7","7","１／３","374","2%","350","0","１／３","59","0%","45","0","１／３","381","0%","300","0","0","0","2020-11-11","https://www.mhlw.go.jp/content/10900000/000694900.pdf"
"04","宮城県","182","65","３／４","345","19%","450","6","３／４","43","14%","65","22","３／４","300","7%","300","95","0","0","2020-11-11","https://www.mhlw.go.jp/content/10900000/000694900.pdf"
"05","秋田県","7","6","２／４","222","3%","235","1","２／４","22","5%","27","1","２／４","58","2%","69","0","0","0","2020-11-11","https://www.mhlw.go.jp/content/10900000/000694900.pdf"
"06","山形県","10","10","２／４","216","5%","215","0","２／４","26","0%","26","0","２／４","188","0%","188","0","0","0","2020-11-11","https://www.mhlw.go.jp/content/10900000/000694900.pdf"
"07","福島県","38","34","２／４","469","7%","350","3","２／４","42","7%","50","4","２／４","160","3%","160","0","0","0","2020-11-11","https://www.mhlw.go.jp/content/10900000/000694900.pdf"
"08","茨城県","64","30","１／３","546","5%","500","1","１／３","72","1%","70","7","３／４","324","2%","324","27","0","0","2020-11-11","https://www.mhlw.go.jp/content/10900000/000694900.pdf"
"09","栃木県","22","22","２／４","313","7%","313","4","２／４","41","10%","41","0","２／４","284","0%","250","0","0","0","2020-11-11","https://www.mhlw.go.jp/content/10900000/000694900.pdf"
"10","群馬県","38","23","２／３","316","7%","330","2","２／３","23","9%","50","15","２／３","1300","1%","1300","0","0","0","2020-11-11","https://www.mhlw.go.jp/content/10900000/000694900.pdf"
"11","埼玉県","606","347","３／４","1206","29%","1400","8","２／４","128","6%","200","155","２／３","1225","13%","1450","37","0","67","2020-11-11","https://www.mhlw.go.jp/content/10900000/000694900.pdf"
