"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","127","93","１／３","1767","5%","1767","2","１／３","182","1%","182","28","１／２","1170","2%","1170","6","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"02","青森県","2","2","１／４","161","1%","225","0","１／４","29","0%","30","0","１／４","30","0%","100","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"03","岩手県","12","12","１／３","374","3%","350","0","１／３","59","0%","45","0","１／３","225","0%","300","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"04","宮城県","18","9","２／４","345","3%","450","0","２／４","43","0%","65","9","２／４","160","6%","300","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"05","秋田県","4","4","２／４","222","2%","235","0","２／４","21","0%","27","0","２／４","16","0%","69","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"06","山形県","2","2","２／４","215","1%","215","1","２／４","25","4%","26","0","２／４","188","0%","188","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"07","福島県","58","57","２／４","469","12%","350","1","２／４","42","2%","50","0","２／４","100","0%","160","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"08","茨城県","56","38","１／３","546","7%","500","2","１／３","72","3%","70","13","２／４","324","4%","324","5","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"09","栃木県","21","21","２／４","311","7%","311","3","２／４","41","7%","41","0","２／４","261","0%","250","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
"10","群馬県","78","70","２／３","302","23%","330","0","２／３","23","0%","50","8","２／３","363","2%","363","0","0","0","2020-09-02","https://www.mhlw.go.jp/content/10900000/000668284.pdf"
