都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典
35,山口県,4,4,384,384,1,102,102,0,594,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf
36,徳島県,0,0,172,200,0,47,49,0,208,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf
37,香川県,6,6,43,125,0,9,15,0,101,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf
38,愛媛県,6,5,203,203,0,15,43,1,67,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf
39,高知県,6,5,77,200,0,16,50,1,16,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf
40,福岡県,121,69,430,1800,10,60,300,30,826,16,6,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf
41,佐賀県,19,14,146,214,0,32,47,5,230,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf
43,熊本県,15,15,312,312,1,46,46,0,867,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf
44,大分県,4,4,258,300,0,35,35,0,65,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf
45,宮崎県,5,5,106,231,0,8,8,0,150,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf
46,鹿児島県,3,3,253,253,0,48,48,0,188,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf
47,沖縄県,27,27,225,430,4,33,37,0,262,0,0,0,2020-05-15,https://www.mhlw.go.jp/content/10900000/000631948.pdf
