"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","21373","620","401","0","２／３","1675","2147","0","19%","3%","6","6","0","２／３","106","138","0","4%","251","0","２／３","2085","2215","0","11%","0","２／３","62","62","0%","19423","298","1079","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"02","青森県","2171","94","85","0","３／５","415","437","0","19%","4%","1","1","0","１／５","31","31","0","3%","72","0","３／５","890","890","0","8%","0","－","0","0","－","1626","29","379","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"03","岩手県","2772","76","76","0","２／２","301","301","0","25%","3%","1","1","0","２／２","31","31","0","3%","50","0","２／２","280","280","0","18%","0","－","0","0","－","2646","71","0","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"04","宮城県","3212","151","96","0","Ⅰ／Ⅰ","523","523","0","18%","5%","2","2","0","Ⅰ／Ⅰ","55","55","0","4%","667","0","Ⅰ／Ⅰ","1950","1950","0","34%","0","－","0","0","－","1827","0","567","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"05","秋田県","2339","77","77","0","６／６","289","289","0","27%","3%","2","2","0","６／６","24","24","0","8%","91","0","６／６","415","415","0","22%","0","－","0","0","－","1612","99","559","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"06","山形県","1819","87","29","0","Ⅰ／Ⅱ","220","261","0","11%","5%","2","2","0","Ⅰ／Ⅱ","26","26","0","8%","32","0","Ⅰ／Ⅱ","348","348","0","9%","0","Ⅰ／Ⅱ","0","0","－","1670","0","30","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"07","福島県","4522","184","175","0","３／３","751","751","8","23%","4%","1","1","0","３／３","47","47","0","2%","443","0","３／３","1547","1547","0","29%","0","３／３","16","24","0%","3560","2","335","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"08","茨城県","3004","84","84","0","１／４","300","645","37","13%","3%","0","0","0","１／４","30","72","0","0%","280","0","５／５","1437","2600","0","11%","0","１／４","37","37","0%","2640","29","0","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"09","栃木県","3855","71","71","0","２／３","618","618","71","11%","2%","2","2","0","２／３","32","46","0","4%","246","0","２／３","990","1050","0","23%","0","２／３","71","71","0%","3538","30","0","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"10","群馬県","3221","166","155","0","４／４","603","603","0","26%","5%","0","0","0","２／４","21","37","0","0%","420","0","６／６","1727","1727","0","24%","0","４／４","6","6","0%","2388","81","247","14","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"11","埼玉県","11268","418","410","0","４／４","1827","1827","130","22%","4%","5","5","0","４／４","191","191","0","3%","373","0","４／４","1984","1992","8","19%","0","４／４","138","138","0%","8903","0","1574","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"12","千葉県","8748","215","196","9","２／２","1549","1620","262","12%","2%","6","6","0","２／２","124","124","0","5%","197","0","２／２","2252","2252","3","9%","9","２／２","217","265","3%","8042","0","294","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"13","東京都","48404","1146","1115","58","３／３","6538","7229","230","15%","2%","205","205","0","３／３","1468","1468","0","14%","2100","23","３／３","8580","8580","290","24%","125","３／３","1532","1857","7%","20650","82","24464","36","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"14","神奈川県","13559","388","388","7","２／４","1484","2100","143","18%","3%","17","17","0","２／４","136","210","0","8%","247","0","１／１","2249","2437","0","10%","7","２／４","78","143","5%","12889","209","35","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"15","新潟県","3459","95","95","0","３／４","557","664","0","14%","3%","0","0","0","３／４","112","112","0","0%","28","0","３／３","300","357","0","8%","0","３／３","10","10","0%","3336","20","0","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"16","富山県","1693","53","44","0","１／３","111","481","0","9%","3%","1","1","0","１／３","12","36","0","3%","173","0","１／３","760","760","0","23%","0","１／３","0","0","－","1199","3","268","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"17","石川県","3720","87","87","0","Ⅰ／Ⅱ","410","410","0","21%","2%","7","7","0","Ⅰ／Ⅱ","37","37","0","19%","57","0","Ⅰ／Ⅱ","630","630","0","9%","0","Ⅰ／Ⅱ","0","0","－","2763","2","813","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"18","福井県","1362","68","68","0","４／５","272","441","100","15%","5%","0","0","0","４／５","22","24","0","0%","301","0","２／５","425","575","0","52%","0","４／５","0","100","0%","993","0","0","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"19","山梨県","969","63","63","0","５／５","389","389","0","16%","7%","0","0","0","５／５","24","24","0","0%","251","184","５／５","1135","1135","639","22%","184","５／５","639","639","29%","601","0","54","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"20","長野県","2892","130","128","0","３／３","450","513","0","25%","4%","0","0","0","３／３","38","43","0","0%","251","0","３／３","806","806","0","31%","0","－","0","0","－","2301","2","210","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"21","岐阜県","3738","173","173","0","４／４","831","894","0","19%","5%","1","1","0","４／４","59","59","0","2%","439","0","３／３","1932","1932","4","23%","0","４／４","4","4","0%","2163","37","963","37","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"22","静岡県","6119","100","100","0","３／３","616","644","0","16%","2%","0","0","0","３／３","51","60","0","0%","132","0","３／３","1057","1057","0","12%","0","３／３","75","75","0%","5866","81","21","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"23","愛知県","17946","506","368","0","２／２","1707","1707","0","22%","3%","7","7","0","２／２","172","172","0","4%","473","0","２／２","2224","2224","0","21%","0","２／２","0","0","－","13967","40","3000","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"24","三重県","3151","95","82","0","Ⅱ／Ⅲ","505","550","10","15%","3%","1","1","0","Ⅱ／Ⅲ","52","56","0","2%","80","0","３／３","665","665","0","12%","0","Ⅱ／Ⅲ","0","10","0%","2955","13","21","1","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"25","滋賀県","2344","107","92","0","Ⅰ／Ⅰ","500","503","30","18%","5%","0","0","0","Ⅰ／Ⅰ","52","52","0","0%","99","0","Ⅰ／Ⅰ","630","630","0","16%","0","Ⅰ／Ⅰ","30","30","0%","2132","12","6","5","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"26","京都府","7377","159","159","0","２／２","960","960","110","17%","2%","13","13","0","２／２","171","171","0","8%","178","0","１／１","1126","1126","0","16%","0","２／２","110","110","0%","7040","0","0","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"27","大阪府","26103","678","678","0","Ⅰ／Ⅰ","3642","3967","0","17%","3%","174","174","0","４／５","1202","1460","0","12%","1157","23","５／７","8732","11216","150","10%","23","Ⅰ／Ⅰ","156","191","12%","16929","0","7339","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"28","兵庫県","10191","289","289","0","５／５","1529","1529","0","19%","3%","11","11","0","５／５","142","142","0","8%","272","0","５／５","2411","2411","0","11%","0","－","0","0","－","8711","0","919","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"29","奈良県","4642","99","61","0","３／３","520","520","0","12%","2%","0","0","0","３／３","36","36","0","0%","214","0","３／３","1083","1083","0","20%","0","３／３","0","0","－","0","0","4329","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"30","和歌山県","1378","151","151","0","３／３","614","614","0","25%","11%","0","0","0","３／３","26","26","0","0%","88","0","３／３","178","178","0","49%","0","３／３","178","181","0%","1139","0","0","0","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"31","鳥取県","768","65","65","0","２／３","240","350","5","19%","8%","0","0","0","２／３","30","47","0","0%","124","0","２／２","459","459","0","27%","0","１／１","5","5","0%","491","0","88","88","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
"32","島根県","1114","37","37","0","５／５","325","371","0","10%","3%","0","0","0","５／５","5","28","0","0%","27","0","５／５","133","133","0","20%","0","－","0","0","－","740","0","310","2","2022-05-11","https://www.mhlw.go.jp/content/10900000/000938614.xlsx"
