"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","17692","591","510","0","３／３","2258","2258","0","23%","3%","2","2","0","３／３","138","138","0","1%","137","0","２／３","2085","2215","0","6%","0","２／３","56","56","0%","16680","0","284","0","2022-09-28","https://www.mhlw.go.jp/content/10900000/000996353.xlsx"
"02","青森県","2826","159","136","0","３／５","472","484","0","28%","6%","2","2","0","１／５","31","31","0","6%","28","0","３／５","660","660","0","4%","0","－","0","0","－","2639","0","0","0","2022-09-28","https://www.mhlw.go.jp/content/10900000/000996353.xlsx"
"03","岩手県","2960","66","66","0","２／２","343","343","0","19%","2%","1","1","0","２／２","31","34","0","3%","27","0","２／２","280","280","0","10%","0","－","0","0","－","2867","0","0","0","2022-09-28","https://www.mhlw.go.jp/content/10900000/000996353.xlsx"
"04","宮城県","5871","291","107","0","Ⅰ／Ⅰ","597","597","0","18%","5%","3","3","0","Ⅰ／Ⅰ","55","55","0","5%","245","0","Ⅰ／Ⅰ","2090","2090","0","12%","0","－","0","0","－","5096","0","239","0","2022-09-28","https://www.mhlw.go.jp/content/10900000/000996353.xlsx"
"05","秋田県","4041","245","101","0","６／６","321","321","0","31%","6%","1","1","0","６／６","24","24","0","4%","52","0","６／６","415","415","0","13%","0","－","0","0","－","3523","214","221","0","2022-09-28","https://www.mhlw.go.jp/content/10900000/000996353.xlsx"
"06","山形県","3668","186","80","0","Ⅰ／Ⅱ","289","289","0","28%","5%","0","0","0","Ⅰ／Ⅱ","26","26","0","0%","24","0","Ⅰ／Ⅱ","348","348","0","7%","0","Ⅰ／Ⅱ","0","0","－","3458","0","0","0","2022-09-28","https://www.mhlw.go.jp/content/10900000/000996353.xlsx"
"07","福島県","5223","175","173","0","３／３","757","769","8","22%","3%","0","0","0","３／３","45","45","0","0%","124","0","３／３","1547","1547","0","8%","0","３／３","19","27","0%","4924","12","0","0","2022-09-28","https://www.mhlw.go.jp/content/10900000/000996353.xlsx"
"08","茨城県","7413","280","280","0","４／４","600","609","0","46%","4%","3","3","0","１／４","30","72","0","4%","275","0","４／５","1614","2689","0","10%","0","－","0","0","－","6858","0","0","0","2022-09-28","https://www.mhlw.go.jp/content/10900000/000996353.xlsx"
"09","栃木県","4013","151","151","3","３／３","578","680","102","22%","4%","2","2","0","３／３","46","46","0","4%","68","0","２／３","755","1050","0","6%","3","３／３","102","102","3%","3794","0","0","0","2022-09-28","https://www.mhlw.go.jp/content/10900000/000996353.xlsx"
"10","群馬県","5279","199","174","0","３／４","591","675","0","26%","4%","2","2","0","１／４","13","37","0","5%","254","0","６／６","1508","1727","0","15%","0","３／４","6","6","0%","4724","228","102","4","2022-09-28","https://www.mhlw.go.jp/content/10900000/000996353.xlsx"
