"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","5829","640","433","0","２／３","2025","2429","0","18%","11%","5","5","0","２／３","106","122","0","4%","51","0","２／３","2085","2215","0","2%","0","２／３","64","64","0%","4912","0","226","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"02","青森県","949","69","61","0","２／５","464","510","0","12%","7%","1","1","0","１／５","31","31","0","3%","2","0","２／５","660","660","0","0%","0","－","0","0","－","878","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"03","岩手県","1605","44","42","0","１／２","229","348","0","12%","3%","0","0","0","１／２","32","34","0","0%","16","0","１／２","100","280","0","6%","0","－","0","0","－","1545","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"04","宮城県","3424","183","172","0","Ⅰ／Ⅰ","635","635","0","27%","5%","5","5","0","Ⅰ／Ⅰ","55","55","0","9%","135","0","Ⅰ／Ⅰ","1970","1970","0","7%","0","－","0","0","－","2956","0","150","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"05","秋田県","1173","101","46","0","５／６","236","272","0","17%","9%","1","1","0","５／６","15","16","0","6%","6","0","５／６","415","415","0","1%","0","－","0","0","－","1051","112","15","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"06","山形県","1448","64","46","0","Ⅰ／Ⅱ","294","294","0","16%","4%","1","1","0","Ⅰ／Ⅱ","28","28","0","4%","11","0","Ⅰ／Ⅱ","348","348","0","3%","0","Ⅰ／Ⅱ","0","0","－","1373","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"07","福島県","2669","204","140","0","２／３","766","774","8","18%","8%","0","0","0","２／３","46","46","0","0%","85","0","２／３","1224","1224","0","7%","0","２／３","19","27","0%","2380","108","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"08","茨城県","3893","231","231","2","６／７","800","948","200","24%","6%","10","10","0","６／７","61","63","0","16%","138","0","３／５","1323","2689","0","5%","2","６／７","200","200","1%","3524","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"09","栃木県","3347","234","234","4","３／３","741","741","102","32%","7%","6","6","0","３／３","42","42","0","14%","18","0","２／３","755","1050","0","2%","4","３／３","102","102","4%","3095","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"10","群馬県","2616","249","145","0","３／４","474","705","0","21%","10%","4","4","0","３／４","21","37","0","11%","51","0","２／６","369","1727","0","3%","0","２／４","0","6","0%","738","185","1578","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"11","埼玉県","7767","673","559","0","３／４","1205","1732","0","32%","9%","19","19","0","１／４","69","146","0","13%","137","0","４／４","1398","1986","0","7%","8","４／４","23","38","21%","6737","0","212","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"12","千葉県","7092","899","487","9","２／２","1382","1731","189","28%","13%","10","10","0","２／２","102","120","0","8%","69","0","２／２","1588","1758","3","4%","9","２／２","137","192","5%","6124","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"13","東京都","11546","1424","1397","185","１／２","4306","7586","972","18%","12%","223","223","0","１／２","786","1116","0","20%","338","33","２／２","8134","8134","354","4%","218","１／２","1306","1386","16%","9333","296","451","28","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"14","神奈川県","10070","784","784","0","３／４","1764","2200","0","36%","8%","13","13","0","１／４","83","210","0","6%","52","0","１／１","1551","1551","0","3%","0","－","0","0","－","9231","380","3","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"15","新潟県","2638","82","82","0","３／４","481","703","0","12%","3%","0","0","0","３／４","112","112","0","0%","6","0","３／３","357","357","0","2%","0","１／３","0","10","0%","2550","110","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"16","富山県","1930","127","110","0","２／３","326","500","0","22%","7%","1","1","0","２／３","14","36","0","3%","28","0","２／３","510","510","0","5%","0","２／３","0","0","－","1775","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"17","石川県","1745","82","82","0","Ⅰ／Ⅱ","410","533","0","15%","5%","3","3","0","Ⅰ／Ⅱ","37","41","0","7%","14","0","Ⅰ／Ⅱ","630","630","0","2%","0","Ⅰ／Ⅱ","0","0","－","1649","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"18","福井県","841","91","91","0","２／４","231","505","100","18%","11%","0","0","0","２／４","13","24","0","0%","28","0","２／４","425","575","0","5%","0","２／４","0","100","0%","722","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"19","山梨県","1321","66","66","0","３／５","275","451","0","15%","5%","0","0","0","３／５","19","24","0","0%","30","14","３／５","969","969","639","3%","14","３／５","639","639","2%","1225","167","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"20","長野県","3714","152","109","0","２／３","453","557","0","20%","4%","1","1","0","２／３","34","43","0","2%","35","0","２／３","735","735","0","5%","0","－","0","0","－","3527","132","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"21","岐阜県","4136","225","216","0","４／６","655","873","0","25%","5%","3","3","0","４／６","49","59","0","5%","77","0","３／３","1932","1932","4","4%","0","３／３","4","4","0%","3803","120","31","5","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"22","静岡県","7885","598","279","0","３／３","911","911","0","31%","8%","2","2","0","３／３","55","55","0","4%","20","0","３／３","471","471","0","4%","0","－","0","0","－","7267","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"23","愛知県","11877","880","616","0","２／２","1690","1690","0","36%","7%","17","17","0","２／２","148","148","0","11%","132","0","２／２","2274","2332","0","6%","0","２／２","0","0","－","10356","0","509","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"24","三重県","4019","240","113","0","２／３","400","522","0","22%","6%","7","7","0","２／３","46","50","0","14%","13","0","３／３","468","468","0","3%","0","１／２","0","10","0%","3766","126","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"25","滋賀県","2635","253","132","3","Ⅰ／Ⅰ","501","501","30","26%","10%","2","2","0","Ⅰ／Ⅰ","52","52","0","4%","21","0","Ⅰ／Ⅰ","518","518","0","4%","3","Ⅰ／Ⅰ","30","30","10%","2359","140","2","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"26","京都府","3338","265","265","0","２／２","1047","1047","110","25%","8%","27","27","0","２／２","175","175","0","15%","27","0","１／１","1126","1126","0","2%","0","２／２","110","110","0%","3046","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"27","大阪府","15669","1132","1122","0","３／５","3024","4894","0","23%","7%","259","257","0","１／５","1252","1626","0","16%","393","30","４／７","3876","5016","188","8%","30","Ⅰ／Ⅰ","196","226","13%","14144","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"28","兵庫県","8810","402","402","0","５／５","1712","1712","0","23%","5%","7","7","0","５／５","142","142","0","5%","64","0","５／５","1812","1812","0","4%","0","－","0","0","－","8344","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"29","奈良県","1939","166","119","0","２／３","314","569","0","21%","9%","6","6","0","２／３","27","36","0","17%","20","0","２／３","969","969","0","2%","0","２／３","0","0","－","1753","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"30","和歌山県","2242","126","126","0","２／４","382","636","0","20%","6%","2","2","0","２／４","17","26","0","8%","11","0","２／４","178","178","0","6%","0","２／４","178","181","0%","2105","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"31","鳥取県","1250","61","61","0","２／３","246","351","5","17%","5%","0","0","0","２／３","30","47","0","0%","5","0","１／２","448","448","0","1%","0","１／１","5","5","0%","1184","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"32","島根県","1283","96","38","0","２／５","285","387","0","10%","7%","0","0","0","２／５","5","28","0","0%","3","0","２／５","133","133","0","2%","0","－","0","0","－","1121","24","63","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"33","岡山県","3420","238","174","0","４／４","530","623","0","28%","7%","11","9","0","２／４","21","67","0","13%","24","0","２／３","373","629","0","4%","0","２／４","0","0","－","3157","198","1","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"34","広島県","4886","218","182","0","４／４","579","579","19","31%","4%","4","4","0","４／４","37","37","0","11%","66","0","４／４","1135","1341","0","5%","0","４／４","19","19","0%","4602","29","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"35","山口県","3039","435","217","0","３／４","524","688","0","32%","14%","0","0","0","３／４","23","47","0","0%","15","0","３／４","594","594","0","3%","0","３／４","0","0","－","2589","214","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"36","徳島県","1861","88","88","0","３／５","212","307","22","29%","5%","2","2","0","３／５","16","25","0","8%","27","0","５／５","454","454","0","6%","0","３／５","0","22","0%","1746","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"37","香川県","2057","213","107","0","４／４","337","337","0","32%","10%","3","3","0","４／４","29","29","0","10%","22","0","２／２","474","474","0","5%","0","４／４","0","0","－","1822","107","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"38","愛媛県","2808","343","97","0","３／３","444","444","0","22%","12%","5","5","0","３／３","19","19","0","26%","10","0","３／３","263","263","67","4%","0","３／３","67","67","0%","2455","168","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"39","高知県","1429","106","100","0","５／５","343","343","0","29%","7%","3","3","0","５／５","24","24","0","13%","15","5","５／５","190","206","16","7%","5","５／５","16","16","31%","1308","72","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"40","福岡県","8182","969","543","0","４／５","1370","2061","0","26%","12%","4","4","0","４／５","206","232","0","2%","83","0","３／３","2008","2008","19","4%","0","１／２","19","222","0%","7130","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"41","佐賀県","1436","161","94","0","２／５","258","586","50","16%","11%","0","0","0","１／５","4","48","0","0%","4","0","１／４","390","390","0","1%","0","２／５","50","50","0%","1271","152","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"42","長崎県","2035","228","141","0","４／４","424","511","0","28%","11%","1","1","0","４／４","28","30","0","3%","24","0","４／４","626","626","0","4%","0","４／４","0","0","－","1783","665","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"43","熊本県","2664","384","208","0","２／２","837","837","0","25%","14%","7","7","0","２／２","54","54","0","13%","34","0","２／２","1226","1226","0","3%","0","－","0","0","－","2246","0","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"44","大分県","2234","141","141","0","３／４","455","578","0","24%","6%","0","0","0","３／４","42","43","0","0%","12","10","３／４","989","1460","254","1%","10","３／４","175","254","4%","2081","63","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"45","宮崎県","1579","166","65","0","２／２","408","408","0","16%","11%","1","1","0","２／２","17","17","0","6%","15","0","Ⅰ／Ⅰ","512","512","12","3%","0","Ⅰ／Ⅰ","12","12","0%","1398","293","0","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"46","鹿児島県","2912","293","156","0","５／５","508","508","0","31%","10%","1","1","0","５／５","27","27","0","4%","143","0","４／４","1657","1657","47","9%","0","１／４","2","59","0%","2442","0","34","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
"47","沖縄県","1073","115","115","0","４／５","500","639","25","18%","11%","0","0","0","４／５","37","46","0","0%","47","2","４／５","1010","1017","75","5%","2","４／５","100","100","2%","893","88","18","0","2023-02-15","https://www.mhlw.go.jp/content/10900000/001060304.xlsx"
