"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"38","愛媛県","0","0","223","223","0","15","43","0","67","0","0","0","2021-07-15","https://www.mhlw.go.jp/content/10900000/000650176.pdf"
"39","高知県","1","1","166","200","0","16","50","0","16","0","0","0","2021-07-15","https://www.mhlw.go.jp/content/10900000/000650176.pdf"
"40","福岡県","62","60","490","1800","4","60","300","0","826","2","0","0","2021-07-15","https://www.mhlw.go.jp/content/10900000/000650176.pdf"
"41","佐賀県","0","0","146","232","0","32","47","0","230","0","0","0","2021-07-15","https://www.mhlw.go.jp/content/10900000/000650176.pdf"
"42","長崎県","14","11","307","903","0","21","29","3","163","0","0","0","2021-07-15","https://www.mhlw.go.jp/content/10900000/000650176.pdf"
"43","熊本県","0","0","378","400","0","48","48","0","1430","0","0","0","2021-07-15","https://www.mhlw.go.jp/content/10900000/000650176.pdf"
"44","大分県","0","0","258","300","0","35","35","0","700","0","0","0","2021-07-15","https://www.mhlw.go.jp/content/10900000/000650176.pdf"
"45","宮崎県","3","3","204","240","0","21","33","0","250","0","0","0","2021-07-15","https://www.mhlw.go.jp/content/10900000/000650176.pdf"
"46","鹿児島県","102","83","253","253","1","48","48","15","370","4","0","0","2021-07-15","https://www.mhlw.go.jp/content/10900000/000650176.pdf"
"47","沖縄県","4","4","225","430","0","33","37","0","0","0","0","0","2021-07-15","https://www.mhlw.go.jp/content/10900000/000650176.pdf"
