"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","97","17","17","１／３","1114","2000","1%","18%","1","1","１／３","82","137","1%","14","２／２","2370","2370","1%","61","0","5","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"02","青森県","3","1","1","２／４","340","350","0%","33%","1","1","２／４","31","31","3%","0","２／４","700","700","0%","1","0","1","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"03","岩手県","0","0","0","１／３","150","350","0%","－","0","0","１／３","20","45","0%","0","１／３","85","511","0%","0","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"04","宮城県","7","0","0","５／５","498","498","0%","0%","0","0","５／５","54","54","0%","4","５／５","1250","1250","0%","3","1","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"05","秋田県","7","2","2","３／６","136","273","1%","29%","0","0","３／６","10","22","0%","3","３／６","395","395","1%","0","0","2","2","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"06","山形県","3","3","3","３／４","237","237","1%","100%","0","0","３／４","26","26","0%","0","３／４","348","348","0%","0","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"07","福島県","5","5","5","４／４","637","637","1%","100%","2","2","４／４","45","49","4%","0","４／４","503","503","0%","0","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"08","茨城県","15","10","10","３／４","410","600","2%","67%","0","0","３／４","50","70","0%","1","６／９","1020","1345","0%","4","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"09","栃木県","16","10","10","１／３","374","502","2%","63%","2","2","１／３","27","46","4%","2","１／３","665","725","0%","2","0","2","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"10","群馬県","38","27","27","１／４","198","529","5%","71%","0","0","１／４","15","76","0%","7","１／６","183","1650","0%","2","0","2","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"11","埼玉県","87","42","42","３／４","1335","1774","2%","48%","13","13","３／４","162","183","7%","11","４／４","1925","1986","1%","18","0","16","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"12","千葉県","64","20","20","２／３","892","1305","2%","31%","1","1","２／３","76","106","1%","21","２／３","1390","1390","2%","19","0","4","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"13","東京都","267","118","113","１／３","4834","6651","2%","44%","51","50","１／３","1207","1207","4%","38","３／４","1750","3230","1%","58","0","53","1","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"14","神奈川県","121","59","59","１／４","1120","2000","3%","49%","7","7","１／４","98","210","3%","10","１／１","2076","2076","0%","52","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"15","新潟県","9","7","7","１／３","351","555","1%","78%","0","0","１／３","39","112","0%","0","１／３","300","300","0%","2","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"16","富山県","0","0","0","１／４","83","500","0%","－","0","0","１／４","12","36","0%","0","１／４","625","625","0%","0","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"17","石川県","4","4","4","１／３","153","303","1%","100%","0","0","１／３","32","37","0%","0","１／３","560","560","0%","0","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"18","福井県","6","2","2","１／５","40","424","0%","33%","0","0","１／５","2","24","0%","4","１／５","187","316","1%","0","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"19","山梨県","0","0","0","１／４","89","376","0%","－","0","0","１／４","7","24","0%","0","１／４","966","966","0%","0","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"20","長野県","7","1","1","１／３","124","529","0%","14%","0","0","１／３","28","43","0%","2","１／３","806","806","0%","4","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"21","岐阜県","83","41","41","１／４","362","882","5%","49%","1","1","１／４","53","59","2%","40","１／３","549","1619","2%","0","0","2","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"22","静岡県","13","2","2","２／５","623","737","0%","15%","0","0","２／５","62","63","0%","2","２／５","870","870","0%","9","1","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"23","愛知県","94","35","35","４／４","1605","1605","2%","37%","4","4","４／４","173","173","2%","13","４／４","1628","1691","1%","40","0","6","1","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"24","三重県","13","9","9","３／３","455","455","2%","69%","0","0","３／３","50","50","0%","2","３／３","375","375","1%","2","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"25","滋賀県","11","4","4","４／４","441","443","1%","36%","0","0","４／４","52","52","0%","3","４／４","677","677","0%","4","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"26","京都府","36","13","13","３／３","708","738","2%","36%","0","0","３／３","161","161","0%","10","３／３","1126","1126","1%","13","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"27","大阪府","367","143","143","１／５","2104","3537","4%","39%","38","38","１／５","922","1305","3%","49","３／６","3142","8408","1%","165","0","10","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"28","兵庫県","128","44","44","２／６","550","1357","3%","34%","4","4","２／６","80","142","3%","33","２／６","600","2011","2%","42","0","9","2","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"29","奈良県","25","9","9","２／３","354","475","2%","36%","0","0","２／３","32","34","0%","7","２／３","1136","1136","1%","0","0","9","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"30","和歌山県","2","2","2","３／３","581","581","0%","100%","0","0","３／３","26","26","0%","0","３／３","151","288","0%","0","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"31","鳥取県","0","0","0","３／３","264","337","0%","－","0","0","２／３","44","47","0%","0","１／１","277","364","0%","0","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"32","島根県","18","18","18","１／５","210","324","6%","100%","0","0","１／５","5","25","0%","0","１／５","133","133","0%","0","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"33","岡山県","87","20","20","３／４","491","557","4%","23%","1","1","３／４","51","68","1%","27","３／４","507","507","5%","40","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"34","広島県","46","13","13","２／５","436","869","1%","28%","0","0","２／５","35","64","0%","25","２／５","1624","2397","1%","7","0","1","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"35","山口県","36","28","28","２／４","237","549","5%","78%","0","0","２／４","10","47","0%","4","２／４","630","730","1%","4","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"36","徳島県","3","3","3","３／４","234","234","1%","100%","0","0","３／４","25","25","0%","0","３／４","400","400","0%","0","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"37","香川県","0","0","0","１／３","146","238","0%","－","0","0","１／３","17","30","0%","0","１／３","368","368","0%","0","0","0","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"38","愛媛県","28","10","10","１／３","132","244","4%","36%","0","0","１／３","5","19","0%","13","１／３","110","263","5%","4","0","1","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
"39","高知県","4","3","3","２／５","146","238","1%","75%","0","0","２／５","16","58","0%","0","２／５","147","268","0%","0","0","1","0","2021-11-10","https://www.mhlw.go.jp/content/10900000/000854425.xlsx"
