"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"23","愛知県","157","76","76","0","１／２","1141","1666","0","5%","48%","0","0","0","１／２","134","172","0","0%","18","0","１／２","1628","1628","0","1%","0","１／２","0","0","－","28","0","35","1","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"24","三重県","6","6","6","0","３／３","457","457","0","1%","100%","0","0","0","３／３","50","50","0","0%","0","0","１／３","230","665","0","0%","0","３／３","0","0","－","0","0","0","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"25","滋賀県","125","41","41","0","４／４","399","399","0","10%","33%","0","0","0","４／４","49","49","0","0%","51","0","４／４","677","677","0","8%","0","４／４","0","0","－","18","0","15","14","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"26","京都府","201","176","176","0","１／２","699","888","110","20%","88%","11","11","0","１／２","152","171","0","6%","2","0","１／１","1126","1126","0","0%","0","１／２","30","110","0%","23","5","0","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"27","大阪府","638","338","338","0","１／５","2156","3722","0","9%","53%","47","47","0","１／５","966","1378","0","3%","62","0","２／７","2104","8721","0","1%","0","１／５","0","1041","0%","203","0","35","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"28","兵庫県","139","72","72","0","１／５","300","1417","0","5%","52%","2","2","0","１／５","30","142","0","1%","14","0","１／５","300","2411","0","1%","0","－","0","0","－","45","0","8","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"29","奈良県","109","29","29","0","２／３","379","492","0","6%","27%","0","0","0","２／３","32","34","0","0%","20","0","２／３","1083","1083","0","2%","0","２／３","0","0","－","0","0","60","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"30","和歌山県","7","7","7","0","３／３","560","560","0","1%","100%","0","0","0","３／３","26","26","0","0%","0","0","３／３","151","201","0","0%","0","３／３","0","178","0%","0","0","0","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"31","鳥取県","4","4","4","0","１／３","213","350","5","1%","100%","0","0","0","１／３","19","47","0","0%","0","0","１／２","277","364","0","0%","0","１／１","0","5","0%","0","0","0","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"32","島根県","47","41","41","0","２／５","191","368","0","11%","87%","0","0","0","２／５","5","28","0","0%","0","0","２／５","133","133","0","0%","0","－","0","0","－","0","0","6","6","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"33","岡山県","22","14","14","0","２／４","404","560","0","3%","64%","0","0","0","２／４","37","68","0","0%","2","0","１／３","256","507","0","0%","0","２／４","0","5","0%","1","0","5","5","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"34","広島県","266","117","105","0","３／４","483","587","0","18%","44%","2","2","0","３／４","39","46","0","4%","86","0","３／４","1566","1566","0","5%","0","３／４","0","0","－","26","0","37","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"35","山口県","307","126","126","0","３／４","435","549","0","23%","41%","0","0","0","３／４","23","47","0","0%","20","0","３／４","830","930","0","2%","0","２／４","0","0","－","13","0","148","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"36","徳島県","4","4","4","0","１／５","118","263","22","2%","100%","0","0","0","１／５","6","25","0","0%","0","0","１／５","170","450","0","0%","0","１／５","0","22","0%","0","0","0","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"37","香川県","14","8","8","0","１／３","152","264","0","3%","57%","0","0","0","１／３","17","30","0","0%","0","0","１／２","368","424","0","0%","0","１／３","0","0","－","1","0","5","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"38","愛媛県","9","9","9","0","２／３","167","263","0","3%","100%","0","0","0","２／３","10","19","0","0%","0","0","２／３","172","263","67","0%","0","２／３","0","67","0%","0","0","0","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"39","高知県","7","3","3","0","２／５","159","257","0","1%","43%","0","0","0","２／５","16","24","0","0%","3","0","２／５","264","385","0","1%","0","２／５","0","0","－","0","0","1","1","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"40","福岡県","93","46","46","0","１／５","353","1558","0","3%","49%","3","3","0","１／５","77","206","0","1%","18","0","１／４","455","2234","19","1%","0","１／２","0","69","0%","27","0","2","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"41","佐賀県","14","14","14","0","１／５","135","545","50","3%","100%","0","0","0","１／５","3","48","0","0%","0","0","１／４","515","515","0","0%","0","１／５","0","50","0%","0","0","0","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"42","長崎県","30","12","12","0","１／４","76","440","0","3%","40%","0","0","0","１／４","21","36","0","0%","0","0","１／４","633","900","0","0%","0","１／４","0","0","－","3","0","15","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"43","熊本県","4","1","1","0","１／２","564","675","0","0%","25%","0","0","0","１／２","49","53","0","0%","1","0","１／２","1000","1000","0","0%","0","－","0","0","－","0","0","2","2","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"44","大分県","4","4","4","0","１／４","361","508","0","1%","100%","0","0","0","１／４","34","43","0","0%","0","0","１／４","444","1349","209","0%","0","１／４","0","209","0%","0","0","0","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"45","宮崎県","4","1","1","0","１／２","225","265","0","0%","25%","0","0","0","１／２","12","15","0","0%","0","0","１／３","50","450","0","0%","0","１／３","0","0","－","0","0","3","3","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"46","鹿児島県","13","13","13","0","１／４","45","559","0","2%","100%","0","0","0","１／４","1","33","0","0%","0","0","１／４","0","1757","47","0%","0","１／４","0","57","0%","0","0","0","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
"47","沖縄県","669","129","129","0","４／５","458","648","0","20%","19%","13","13","0","４／５","40","60","0","22%","271","0","４／５","813","852","0","32%","0","４／５","0","0","－","57","0","212","0","2022-01-05","https://www.mhlw.go.jp/content/10900000/000877961.xlsx"
