"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","659","343","２／３","1863","18%","1863","5","２／３","161","3%","161","151","２／２","1835","8%","1835","120","45","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"02","青森県","19","19","１／４","200","10%","225","0","１／４","31","0%","30","0","１／４","370","0%","100","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"03","岩手県","1","1","２／３","385","0%","350","0","２／３","60","0%","45","0","２／３","381","0%","300","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"04","宮城県","218","40","４／５","345","12%","450","5","４／５","43","12%","65","98","４／５","500","20%","500","80","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"05","秋田県","1","1","２／４","229","0%","235","0","２／４","24","0%","27","0","２／４","70","0%","69","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"06","山形県","8","8","３／４","216","4%","215","0","３／４","26","0%","26","0","３／４","134","0%","134","0","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"07","福島県","233","225","４／４","469","48%","350","10","４／４","49","20%","50","6","４／４","204","3%","160","2","0","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"08","茨城県","309","144","３／３","619","23%","600","7","３／３","70","10%","70","60","４／５","420","14%","420","81","24","0","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"09","栃木県","115","48","３／４","409","12%","409","1","３／４","46","2%","46","39","３／４","638","6%","638","0","5","23","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
"10","群馬県","158","77","３／３","400","19%","330","3","３／３","74","4%","50","57","３／３","1300","4%","1300","0","0","24","2021-03-10","https://www.mhlw.go.jp/content/10900000/000753067.xlsx"
