"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","2053","747","747","３／３","2088","2088","36%","36%","24","24","３／３","151","151","16%","127","２／２","2395","2395","5%","630","46","549","2","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"02","青森県","21","20","20","１／４","247","261","8%","95%","0","0","１／４","31","31","0%","1","４／４","310","310","0%","0","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"03","岩手県","58","43","43","２／３","250","350","12%","74%","2","2","２／３","30","45","4%","13","２／３","85","381","3%","0","0","2","2","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"04","宮城県","62","37","37","５／５","359","361","10%","60%","4","4","５／５","45","45","9%","11","５／５","1000","1000","1%","10","0","4","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"05","秋田県","25","9","9","４／６","119","230","4%","36%","1","1","４／６","12","22","5%","9","４／６","12","304","3%","0","0","7","2","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"06","山形県","23","23","23","４／４","237","237","10%","100%","3","3","４／４","26","26","12%","0","４／４","134","134","0%","0","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"07","福島県","109","96","95","４／４","496","496","19%","88%","5","5","４／４","45","49","10%","9","４／４","277","277","3%","2","0","2","2","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"08","茨城県","202","93","93","２／４","300","600","16%","46%","5","5","２／４","40","70","7%","60","４／６","300","630","10%","49","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"09","栃木県","181","103","103","２／３","371","448","23%","57%","11","11","２／３","27","46","24%","37","１／３","557","638","6%","19","0","22","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"10","群馬県","67","50","50","２／４","284","459","11%","75%","7","7","３／４","27","76","9%","13","２／４","429","1300","1%","0","0","4","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"11","埼玉県","877","307","307","４／４","1661","1661","18%","35%","23","23","４／４","164","164","14%","235","３／４","1237","1986","12%","108","0","227","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"12","千葉県","965","325","320","２／３","1277","1277","25%","34%","17","17","２／３","101","101","17%","268","２／３","1012","1012","26%","251","0","121","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"13","東京都","3590","1301","1263","４／４","5594","6044","21%","36%","344","344","４／４","1207","1207","29%","881","４／４","3030","3030","29%","712","1","696","83","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"14","神奈川県","1498","455","455","３／４","1534","1790","25%","30%","37","37","３／４","165","199","19%","259","１／１","1657","1657","16%","748","2","36","5","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"15","新潟県","58","51","51","２／３","555","555","9%","88%","4","4","２／３","112","112","4%","4","２／３","300","300","1%","0","0","3","3","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"16","富山県","74","56","56","２／４","204","500","11%","76%","2","2","２／４","14","36","6%","17","２／４","250","250","7%","1","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"17","石川県","62","53","53","３／３","435","435","12%","85%","1","1","３／３","39","39","3%","4","３／３","560","560","1%","4","0","1","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
"18","福井県","92","92","92","３／５","137","304","30%","100%","0","0","３／５","17","24","0%","0","３／５","70","146","0%","0","0","0","0","2021-06-23","https://www.mhlw.go.jp/content/10900000/000798094.xlsx"
