"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","2183","992","２／３","1811","55%","1811","34","２／３","182","19%","182","452","２／２","1660","27%","1660","563","176","0","2020-12-16","https://www.mhlw.go.jp/content/10900000/000707318.pdf"
"02","青森県","51","35","１／４","210","17%","225","2","１／４","31","6%","30","11","１／４","290","4%","100","2","0","3","2020-12-16","https://www.mhlw.go.jp/content/10900000/000707318.pdf"
"03","岩手県","116","87","２／３","374","23%","350","3","２／３","59","5%","45","29","２／３","381","8%","300","0","0","0","2020-12-16","https://www.mhlw.go.jp/content/10900000/000707318.pdf"
"04","宮城県","310","88","３／５","345","26%","450","3","３／５","43","7%","65","86","３／５","300","29%","300","136","0","0","2020-12-16","https://www.mhlw.go.jp/content/10900000/000707318.pdf"
"05","秋田県","4","3","２／４","222","1%","235","0","２／４","24","0%","27","1","２／４","58","2%","69","0","0","0","2020-12-16","https://www.mhlw.go.jp/content/10900000/000707318.pdf"
"06","山形県","117","94","３／４","216","44%","215","1","３／４","26","4%","26","22","３／４","108","20%","108","1","0","0","2020-12-16","https://www.mhlw.go.jp/content/10900000/000707318.pdf"
"07","福島県","134","125","２／４","469","27%","350","3","２／４","42","7%","50","9","２／４","160","6%","160","0","0","0","2020-12-16","https://www.mhlw.go.jp/content/10900000/000707318.pdf"
"08","茨城県","281","150","３／３","550","27%","500","13","３／３","70","19%","70","62","３／４","324","19%","324","55","14","0","2020-12-16","https://www.mhlw.go.jp/content/10900000/000707318.pdf"
"09","栃木県","204","123","３／４","313","39%","313","11","３／４","41","27%","41","14","３／４","284","5%","250","0","3","64","2020-12-16","https://www.mhlw.go.jp/content/10900000/000707318.pdf"
"10","群馬県","323","167","３／３","335","50%","330","4","３／３","71","6%","50","89","３／３","1300","7%","1300","0","0","67","2020-12-16","https://www.mhlw.go.jp/content/10900000/000707318.pdf"
"11","埼玉県","1785","639","４／４","1215","53%","1400","42","２／４","130","32%","200","212","２／３","1351","16%","1450","761","0","173","2020-12-16","https://www.mhlw.go.jp/content/10900000/000707318.pdf"
"12","千葉県","1000","324","３／４","1147","28%","1200","13","３／４","101","13%","180","247","３／４","710","35%","1400","372","0","57","2020-12-16","https://www.mhlw.go.jp/content/10900000/000707318.pdf"
"13","東京都","5070","1987","４／４","4000","50%","4000","332","４／４","500","66%","500","938","３／４","2360","40%","3000","1294","0","851","2020-12-16","https://www.mhlw.go.jp/content/10900000/000707318.pdf"
