"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","4570","913","913","３／３","1994","1994","46%","20%","15","15","３／３","143","143","10%","602","２／２","2385","2385","25%","2379","0","676","2","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"02","青森県","935","136","136","４／４","302","302","45%","15%","2","2","４／４","31","31","6%","119","４／４","310","320","37%","291","0","389","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"03","岩手県","347","210","210","３／３","350","350","60%","61%","3","3","３／３","45","45","7%","125","３／３","300","511","24%","0","0","12","12","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"04","宮城県","1942","251","245","５／５","477","477","51%","13%","30","29","５／５","50","54","54%","813","５／５","1200","1200","68%","691","1","187","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"05","秋田県","223","89","89","６／６","273","273","33%","40%","1","1","６／６","22","22","5%","78","６／６","304","304","26%","23","23","33","4","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"06","山形県","329","114","114","４／４","237","237","48%","35%","7","7","４／４","26","26","27%","43","４／４","134","134","32%","155","0","17","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"07","福島県","912","320","320","４／４","637","637","50%","35%","18","18","４／４","45","49","37%","109","４／４","403","403","27%","399","0","84","12","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"08","茨城県","2148","441","441","４／４","791","791","56%","21%","30","30","４／４","70","70","43%","233","６／７","830","1020","23%","1474","2","0","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"09","栃木県","1671","260","260","３／３","461","461","56%","16%","17","17","３／３","46","46","37%","173","３／３","557","638","27%","1120","0","118","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"10","群馬県","2129","341","341","４／４","472","472","72%","16%","23","23","４／４","76","76","30%","452","３／４","1133","1300","35%","456","0","880","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"11","埼玉県","14289","1344","1286","４／４","1832","1832","70%","9%","161","161","４／４","235","235","69%","612","４／４","1843","2523","24%","9271","0","3062","3","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"12","千葉県","13930","1031","1027","３／３","1417","1419","72%","7%","115","115","３／３","135","141","82%","389","３／３","1012","1012","38%","10820","0","1690","70","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"13","東京都","33061","4218","4156","４／４","5967","6406","65%","13%","1172","1169","４／４","1207","1207","97%","2180","４／４","3310","3310","66%","19792","27","6871","272","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"14","神奈川県","17233","1686","1686","４／４","2098","2098","80%","10%","253","253","４／４","277","277","91%","581","１／１","2428","2428","24%","14546","32","420","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"15","新潟県","974","248","248","２／３","555","555","45%","25%","8","8","２／３","112","112","7%","43","２／３","300","300","14%","678","0","5","5","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"16","富山県","770","239","239","３／４","442","500","48%","31%","15","15","３／４","36","36","42%","126","３／４","500","500","25%","405","12","0","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"17","石川県","608","174","174","３／３","413","435","40%","29%","6","6","３／３","39","39","15%","124","３／３","560","560","22%","175","0","135","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"18","福井県","300","202","202","５／５","313","324","62%","67%","1","1","５／５","24","24","4%","98","５／５","146","146","67%","0","0","0","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"19","山梨県","637","223","223","４／４","367","367","61%","35%","3","3","４／４","24","24","13%","403","４／４","673","673","60%","11","8","0","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"20","長野県","855","238","235","３／３","490","490","48%","28%","6","6","３／３","42","42","14%","217","３／３","523","523","41%","295","0","105","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
"21","岐阜県","2783","509","509","３／３","783","783","65%","18%","12","12","３／３","59","59","20%","644","３／３","1185","1185","54%","914","27","716","0","2021-09-01","https://www.mhlw.go.jp/content/10900000/000827899.xlsx"
