"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"37","香川県","164","57","２／３","209","27%","209","0","２／３","26","0%","26","70","２／３","101","69%","101","0","0","37","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"38","愛媛県","447","76","３／３","270","28%","223","4","３／３","33","12%","33","51","３／３","192","27%","117","292","0","28","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"39","高知県","29","26","２／４","200","13%","200","1","２／４","58","2%","57","0","２／４","203","0%","190","3","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"40","福岡県","393","183","３／３","770","24%","760","6","３／３","111","5%","110","128","３／３","1387","9%","1200","72","10","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"41","佐賀県","93","25","３／４","328","8%","328","0","３／４","46","0%","46","68","１／４","377","18%","377","0","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"42","長崎県","19","13","２／４","424","3%","421","0","２／４","38","0%","42","6","２／４","384","2%","384","0","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"43","熊本県","30","28","１／３","505","6%","420","2","１／３","59","3%","59","2","１／３","440","0%","140","0","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"44","大分県","25","20","１／４","367","5%","367","1","１／４","43","2%","43","5","１／２","700","1%","170","0","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"45","宮崎県","14","6","１／３","281","2%","281","0","１／３","33","0%","33","4","１／３","250","2%","250","4","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"46","鹿児島県","67","32","３／４","376","9%","300","0","３／４","42","0%","48","34","３／４","577","6%","370","1","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
"47","沖縄県","872","287","５／５","507","57%","425","20","５／５","63","32%","51","153","５／５","413","37%","340","432","0","0","2021-04-07","https://www.mhlw.go.jp/content/10900000/000767730.xlsx"
