"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","4540","544","404","0","１／３","1863","2426","0","17%","12%","4","4","0","１／３","91","122","0","3%","52","0","１／３","1085","2215","0","2%","0","１／３","64","64","0%","3780","0","164","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"02","青森県","604","45","40","0","２／５","460","506","0","8%","7%","0","0","0","１／５","31","31","0","0%","2","0","２／５","660","660","0","0%","0","－","0","0","－","557","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"03","岩手県","1566","37","37","0","１／２","229","348","0","11%","2%","0","0","0","１／２","32","34","0","0%","9","0","１／２","100","280","0","3%","0","－","0","0","－","1520","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"04","宮城県","3026","203","185","0","Ⅰ／Ⅰ","634","634","0","29%","7%","8","8","0","Ⅰ／Ⅰ","55","55","0","15%","121","0","Ⅰ／Ⅰ","1970","1970","0","6%","0","－","0","0","－","2559","0","143","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"05","秋田県","809","71","57","0","５／６","236","272","0","21%","9%","1","1","0","５／６","15","16","0","6%","14","0","５／６","415","415","0","3%","0","－","0","0","－","721","142","3","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"06","山形県","1056","46","31","0","Ⅰ／Ⅱ","294","294","0","11%","4%","1","1","0","Ⅰ／Ⅱ","28","28","0","4%","5","0","Ⅰ／Ⅱ","348","348","0","1%","0","Ⅰ／Ⅱ","0","0","－","1005","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"07","福島県","1903","154","110","0","２／３","766","774","8","14%","8%","0","0","0","２／３","46","46","0","0%","49","0","２／３","1224","1224","0","4%","0","２／３","19","27","0%","1700","46","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"08","茨城県","2546","156","156","0","４／７","400","949","200","16%","6%","7","7","0","４／７","38","63","0","11%","75","0","３／５","1323","2689","0","3%","0","４／７","200","200","0%","2315","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"09","栃木県","2219","148","148","14","２／３","506","741","102","20%","7%","6","6","0","２／３","26","42","0","14%","26","0","２／３","755","1050","0","2%","14","２／３","102","102","14%","2045","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"10","群馬県","1703","169","122","0","３／４","474","705","0","17%","10%","3","3","0","３／４","21","37","0","8%","25","0","２／６","369","1727","0","1%","0","２／４","0","6","0%","1160","106","349","2","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"11","埼玉県","4949","466","371","0","３／４","1169","1732","0","21%","9%","17","17","0","１／４","65","146","0","12%","99","0","３／４","1398","1986","0","5%","7","４／４","23","38","18%","4237","0","140","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"12","千葉県","4379","634","364","7","２／２","1379","1726","189","21%","14%","8","8","0","２／２","102","115","0","7%","55","0","２／２","814","1758","3","3%","7","２／２","137","192","4%","3690","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"13","東京都","8020","1065","1044","148","１／２","3896","7586","972","14%","13%","171","171","0","１／２","697","1116","0","15%","223","37","２／２","5844","8134","354","3%","185","１／２","1306","1386","13%","6459","178","273","32","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"14","神奈川県","6592","586","586","0","３／４","1565","2200","0","27%","9%","15","15","0","１／４","87","210","0","7%","42","0","１／１","1456","1551","0","3%","0","－","0","0","－","5958","270","6","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"15","新潟県","2287","69","69","0","３／４","464","703","0","10%","3%","0","0","0","３／４","112","112","0","0%","11","0","３／３","357","357","0","3%","0","１／３","0","10","0%","2207","101","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"16","富山県","1419","85","79","0","２／３","282","500","0","16%","6%","1","1","0","２／３","14","36","0","3%","23","0","２／３","510","510","0","5%","0","２／３","0","0","－","1311","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"17","石川県","1338","72","72","0","Ⅰ／Ⅱ","410","410","0","18%","5%","4","4","0","Ⅰ／Ⅱ","37","37","0","11%","9","0","Ⅰ／Ⅱ","630","630","0","1%","0","Ⅰ／Ⅱ","0","0","－","1257","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"18","福井県","639","60","60","0","２／４","182","505","100","12%","9%","0","0","0","２／４","6","24","0","0%","29","0","２／４","425","575","0","5%","0","２／４","0","100","0%","550","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"19","山梨県","1077","53","53","0","２／５","196","451","0","12%","5%","0","0","0","２／５","13","24","0","0%","22","8","２／５","969","969","639","2%","8","２／５","639","639","1%","1002","165","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"20","長野県","2801","137","100","0","２／３","453","557","0","18%","5%","0","0","0","２／３","34","43","0","0%","25","0","２／３","735","735","0","3%","0","－","0","0","－","2639","95","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"21","岐阜県","2801","153","138","0","２／６","446","873","0","16%","5%","2","2","0","２／６","45","59","0","3%","68","0","３／３","1932","1932","4","4%","0","３／３","4","4","0%","2560","34","20","11","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"22","静岡県","5089","349","176","0","２／３","539","911","0","19%","7%","2","2","0","２／３","48","55","0","4%","14","0","３／３","471","471","0","3%","0","－","0","0","－","4726","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"23","愛知県","7289","606","411","0","２／２","1690","1690","0","24%","8%","10","10","0","２／２","148","148","0","7%","74","0","２／２","2274","2332","0","3%","0","２／２","0","0","－","6283","0","326","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"24","三重県","2723","133","83","0","２／３","400","522","0","16%","5%","3","3","0","２／３","50","50","0","6%","18","0","３／３","468","468","0","4%","0","１／２","0","10","0%","2572","95","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"25","滋賀県","1684","166","114","1","Ⅰ／Ⅰ","501","501","30","23%","10%","1","1","0","Ⅰ／Ⅰ","52","52","0","2%","8","0","Ⅰ／Ⅰ","518","518","0","2%","1","Ⅰ／Ⅰ","30","30","3%","1510","133","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"26","京都府","2108","176","176","0","２／２","1047","1047","110","17%","8%","21","21","0","２／２","175","175","0","12%","18","0","１／１","1126","1126","0","2%","0","２／２","110","110","0%","1914","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"27","大阪府","10439","799","778","0","１／５","2557","4894","0","16%","8%","173","172","0","１／５","1247","1624","0","11%","259","22","４／７","3876","5016","188","5%","22","Ⅰ／Ⅰ","196","226","10%","9381","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"28","兵庫県","6069","285","285","0","３／５","1200","1712","0","17%","5%","9","9","0","３／５","100","142","0","6%","49","0","３／５","1400","1812","0","3%","0","－","0","0","－","5735","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"29","奈良県","1258","128","85","0","２／３","314","569","0","15%","10%","4","4","0","２／３","27","36","0","11%","12","0","２／３","969","969","0","1%","0","２／３","0","0","－","1118","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"30","和歌山県","1530","106","106","0","２／４","366","636","0","17%","7%","3","3","0","２／４","17","26","0","12%","8","0","２／４","178","178","0","4%","0","２／４","178","181","0%","1416","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"31","鳥取県","1042","48","48","0","２／３","246","351","5","14%","5%","0","0","0","２／３","30","47","0","0%","2","0","１／２","448","448","0","0%","0","１／１","5","5","0%","992","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"32","島根県","1049","83","36","0","２／５","278","387","0","9%","8%","0","0","0","２／５","5","28","0","0%","0","0","２／５","133","133","0","0%","0","－","0","0","－","910","27","56","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"33","岡山県","2269","154","128","0","３／４","418","623","0","21%","7%","6","5","0","２／４","21","67","0","7%","18","0","２／３","373","629","0","3%","0","２／４","0","0","－","2094","169","3","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"34","広島県","3414","143","120","0","４／４","579","579","19","21%","4%","4","3","0","４／４","37","37","0","8%","51","0","４／４","986","1326","0","4%","0","４／４","19","19","0%","3220","11","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"35","山口県","1981","260","101","0","２／４","280","688","0","15%","13%","1","1","0","２／４","12","47","0","2%","9","0","２／４","594","594","0","2%","0","２／４","0","0","－","1712","73","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"36","徳島県","1216","65","65","0","３／５","212","307","22","21%","5%","0","0","0","３／５","16","25","0","0%","15","0","５／５","454","454","0","3%","0","３／５","0","22","0%","1136","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"37","香川県","1242","129","68","0","３／４","252","339","0","20%","10%","3","3","0","３／４","26","29","0","10%","22","0","２／２","474","474","0","5%","0","３／４","0","0","－","1091","53","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"38","愛媛県","1830","281","103","0","３／３","440","440","0","23%","15%","3","3","0","３／３","19","19","0","16%","10","0","３／３","263","263","67","4%","0","３／３","67","67","0%","1539","110","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"39","高知県","936","64","64","0","４／５","253","343","0","19%","7%","0","0","0","４／５","24","24","0","0%","4","2","４／５","190","206","16","2%","2","４／５","16","16","13%","868","47","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"40","福岡県","5939","672","387","0","４／５","1370","2061","0","19%","11%","6","6","0","４／５","206","232","0","3%","59","0","１／３","455","2008","19","3%","0","１／２","19","222","0%","5208","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"41","佐賀県","871","98","71","0","２／５","208","586","50","12%","11%","0","0","0","１／５","3","48","0","0%","4","0","１／４","390","390","0","1%","0","２／５","50","50","0%","769","71","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"42","長崎県","1252","104","80","0","４／４","424","511","0","16%","8%","1","1","0","４／４","28","30","0","3%","24","0","４／４","626","626","0","4%","0","４／４","0","0","－","1124","692","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"43","熊本県","1644","257","145","0","１／２","702","833","0","17%","16%","4","4","0","１／２","51","54","0","7%","21","0","１／２","1091","1226","0","2%","0","－","0","0","－","1366","0","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"44","大分県","1396","110","110","0","３／４","447","578","0","19%","8%","0","0","0","３／４","42","43","0","0%","6","5","３／４","989","1460","254","0%","5","３／４","175","254","2%","1280","51","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
"45","宮崎県","780","85","44","0","２／２","403","403","0","11%","11%","0","0","0","２／２","17","17","0","0%","3","0","Ⅰ／Ⅰ","512","512","12","1%","0","Ⅰ／Ⅰ","12","12","0%","692","136","0","0","2023-02-22","https://www.mhlw.go.jp/content/10900000/001063915.xlsx"
