"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"36","徳島県","304","154","３／４","256","60%","230","10","３／４","25","40%","25","150","３／４","246","61%","246","0","0","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"37","香川県","231","96","３／３","209","46%","209","2","３／３","26","8%","26","75","３／３","101","74%","101","0","0","60","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"38","愛媛県","327","107","３／３","270","40%","223","12","３／３","33","36%","33","51","３／３","192","27%","117","146","22","1","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"39","高知県","107","36","３／４","200","18%","200","3","３／４","58","5%","57","71","３／４","203","35%","190","0","0","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"40","福岡県","3454","585","３／３","940","62%","760","35","３／３","136","26%","110","774","３／３","1538","50%","1200","2004","91","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"41","佐賀県","217","143","４／５","355","40%","355","2","４／５","47","4%","47","74","３／４","377","20%","377","0","0","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"42","長崎県","351","150","４／４","424","35%","421","6","４／４","38","16%","42","66","４／４","384","17%","384","135","0","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"43","熊本県","504","213","３／３","505","42%","420","16","３／３","59","27%","59","127","３／３","440","29%","140","164","0","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"44","大分県","575","191","２／４","390","49%","390","1","２／４","43","2%","43","153","２／２","700","22%","170","179","0","52","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"45","宮崎県","264","54","２／３","281","19%","281","1","２／３","33","3%","33","89","２／３","250","36%","250","90","31","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"46","鹿児島県","283","120","３／４","376","32%","300","2","３／４","42","5%","48","155","３／４","577","27%","370","8","0","0","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
"47","沖縄県","1002","372","５／５","540","69%","425","48","５／５","63","76%","51","137","５／５","413","33%","340","354","0","139","2021-05-05","https://www.mhlw.go.jp/content/10900000/000776985.xlsx"
