"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","3854","704","704","３／３","1994","1994","35%","18%","19","19","３／３","143","143","13%","708","２／２","2385","2385","30%","1627","15","815","14","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"02","青森県","404","91","91","４／４","274","288","32%","23%","0","0","４／４","31","31","0%","129","４／４","310","310","42%","78","0","106","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"03","岩手県","372","235","235","３／３","350","350","67%","63%","1","1","３／３","45","45","2%","114","３／３","300","381","30%","0","0","23","23","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"04","宮城県","1359","244","243","５／５","371","371","65%","18%","14","14","５／５","45","45","31%","646","５／５","1000","1000","65%","208","6","261","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"05","秋田県","169","73","73","５／６","184","230","32%","43%","2","2","５／６","15","22","9%","62","５／６","304","304","20%","0","0","34","4","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"06","山形県","308","121","121","４／４","237","237","51%","39%","7","7","４／４","26","26","27%","40","４／４","134","134","30%","113","0","34","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"07","福島県","1052","366","366","４／４","637","637","57%","35%","16","16","４／４","45","49","33%","130","４／４","337","337","39%","395","0","161","13","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"08","茨城県","2069","420","420","４／４","600","600","70%","20%","29","29","４／４","70","70","41%","249","５／７","450","1020","24%","1400","1","0","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"09","栃木県","1565","247","247","３／３","448","448","55%","16%","19","19","３／３","46","46","41%","159","３／３","557","638","25%","855","26","304","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"10","群馬県","1659","314","314","４／４","472","472","67%","19%","21","21","４／４","76","76","28%","448","３／４","971","1300","34%","0","0","897","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"11","埼玉県","21973","1188","1188","４／４","1707","1707","70%","5%","125","125","４／４","171","171","73%","627","４／４","1843","1986","32%","15354","0","4804","2","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"12","千葉県","10809","1051","1045","３／３","1349","1390","75%","10%","114","114","３／３","134","138","83%","433","３／３","1012","1012","43%","7849","0","1476","103","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"13","東京都","40197","3815","3779","４／４","5967","6406","59%","9%","1077","1077","４／４","1207","1207","89%","1810","４／４","3230","3230","56%","22210","39","12362","479","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"14","神奈川県","16030","1524","1524","４／４","1867","1924","79%","10%","212","212","４／４","236","241","88%","625","１／１","1906","1906","33%","13040","36","841","5","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"15","新潟県","772","197","197","２／３","555","555","35%","26%","7","7","２／３","112","112","6%","39","２／３","300","300","13%","526","1","10","10","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"16","富山県","642","236","236","３／４","442","500","47%","37%","12","12","３／４","36","36","33%","61","３／４","250","250","24%","345","0","0","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"17","石川県","771","233","233","３／３","413","435","54%","30%","9","9","３／３","39","39","23%","115","３／３","560","560","21%","246","0","177","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"18","福井県","209","158","158","５／５","304","304","52%","76%","2","2","５／５","24","24","8%","51","５／５","146","146","35%","0","0","0","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"19","山梨県","572","211","211","４／４","281","305","69%","37%","2","2","４／４","24","24","8%","361","４／４","536","536","67%","0","0","0","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"20","長野県","688","221","221","３／３","490","490","45%","32%","3","3","３／３","42","42","7%","274","３／３","523","523","52%","145","0","48","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"21","岐阜県","1144","384","384","３／３","783","783","49%","34%","2","2","３／３","59","59","3%","429","３／３","905","1045","41%","0","0","331","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"22","静岡県","2807","327","327","５／５","629","629","52%","12%","20","20","５／５","57","57","35%","314","５／５","735","735","43%","1625","2","541","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"23","愛知県","6059","613","586","４／４","1570","1570","37%","10%","35","35","４／４","170","170","21%","483","４／４","1109","1300","37%","3987","0","976","9","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"24","三重県","1510","233","233","３／３","436","436","53%","15%","13","13","３／３","50","50","26%","109","３／３","240","240","45%","1168","0","0","0","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"25","滋賀県","1417","334","334","４／４","378","380","88%","24%","9","9","４／４","52","52","17%","345","４／４","677","677","51%","671","0","67","11","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
"26","京都府","4256","364","364","３／３","565","565","64%","9%","86","86","３／３","126","145","59%","364","３／３","826","826","44%","3517","20","11","11","2021-08-18","https://www.mhlw.go.jp/content/10900000/000821850.xlsx"
