"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","21247","756","622","0","２／３","1547","2065","0","30%","4%","1","1","0","２／３","102","134","0","1%","579","0","２／３","2140","2600","0","22%","0","２／３","34","56","0%","16553","85","3359","0","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"02","青森県","2873","113","113","0","３／５","389","414","0","27%","4%","1","1","0","１／５","31","31","0","3%","105","0","３／５","700","920","0","11%","0","－","0","0","－","1221","0","1434","1434","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"03","岩手県","1115","176","176","0","Ⅰ／Ⅰ","400","400","0","44%","16%","0","0","0","Ⅰ／Ⅰ","33","33","0","0%","274","0","Ⅰ／Ⅰ","370","370","0","74%","0","－","0","0","－","400","3","265","0","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"04","宮城県","3727","119","119","0","Ⅰ／Ⅰ","511","511","0","23%","3%","3","3","0","Ⅰ／Ⅰ","55","55","0","5%","1023","0","Ⅰ／Ⅰ","1710","1710","0","60%","0","－","0","0","－","1740","0","845","0","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"05","秋田県","1939","72","72","0","６／６","289","289","0","25%","4%","1","1","0","６／６","24","24","0","4%","97","0","６／６","415","415","0","23%","0","－","0","0","－","977","0","793","0","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"06","山形県","1896","75","75","0","４／４","207","237","0","32%","4%","0","0","0","４／４","26","26","0","0%","101","0","４／４","322","322","0","31%","0","４／４","0","0","－","1233","0","487","0","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"07","福島県","3480","319","319","0","３／３","742","742","8","43%","9%","5","5","0","３／３","47","47","0","11%","493","0","３／３","927","927","0","53%","0","３／３","16","24","0%","1860","8","808","8","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"08","茨城県","5509","198","198","0","Ⅰ／Ⅰ","700","877","77","23%","4%","5","5","0","Ⅰ／Ⅰ","40","80","0","6%","529","0","３／５","1020","2600","0","20%","0","Ⅰ／Ⅰ","77","77","0%","4782","0","0","0","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"09","栃木県","5610","214","214","10","２／３","490","638","100","34%","4%","1","1","0","２／３","32","46","0","2%","317","0","２／３","665","1065","0","30%","10","２／３","52","100","10%","5079","67","0","0","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"10","群馬県","7889","342","342","0","４／４","561","561","0","61%","4%","3","3","0","２／４","22","37","0","8%","585","0","６／６","1727","1727","0","34%","0","４／４","6","6","0%","5584","0","1378","72","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"11","埼玉県","27632","1314","1098","0","Ⅰ／Ⅰ","2126","2192","130","50%","5%","34","34","0","Ⅰ／Ⅰ","236","247","0","14%","750","0","Ⅰ／Ⅰ","2018","2523","8","30%","2","Ⅰ／Ⅰ","114","198","1%","20717","0","4849","0","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"12","千葉県","24280","859","859","14","２／２","1338","1696","176","51%","4%","10","10","0","２／２","120","123","0","8%","333","0","２／２","2267","2267","3","15%","14","２／２","29","179","8%","18381","0","4707","4","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"13","東京都","139068","3720","3557","0","３／３","6891","6919","80","51%","3%","540","540","0","３／３","1468","1468","0","37%","3960","53","３／３","5560","7966","90","50%","128","３／３","1206","1936","7%","72483","670","58830","427","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"14","神奈川県","54140","1262","1262","38","Ⅰ／Ⅰ","1913","2440","180","52%","2%","53","53","0","３／４","153","210","0","25%","155","0","１／１","2092","2092","0","7%","38","Ⅰ／Ⅰ","133","204","19%","50166","242","2557","1","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"15","新潟県","3805","163","163","0","３／４","567","656","0","25%","4%","2","2","0","３／４","112","112","0","2%","50","0","３／３","300","340","0","15%","0","１／３","0","10","0%","3590","15","2","2","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"16","富山県","1865","140","140","0","２／３","230","481","0","29%","8%","1","1","0","２／３","14","36","0","3%","271","0","２／３","625","625","0","43%","0","２／３","0","0","－","1180","30","274","2","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
"17","石川県","3964","204","204","0","Ⅰ／Ⅱ","408","408","0","50%","5%","4","4","0","Ⅰ／Ⅱ","37","37","0","11%","198","0","Ⅰ／Ⅱ","560","560","0","35%","0","３／３","0","0","－","2533","41","1029","0","2022-02-02","https://www.mhlw.go.jp/content/10900000/000893628.xlsx"
