"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","2248","998","２／３","1811","55%","1811","26","２／３","182","14%","182","514","２／２","1660","31%","1660","600","136","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"02","青森県","53","32","１／４","210","15%","225","2","１／４","31","6%","30","17","１／４","260","7%","100","2","0","2","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"03","岩手県","55","53","２／３","374","14%","350","4","２／３","59","7%","45","2","２／３","381","1%","300","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"04","宮城県","152","63","３／５","345","18%","450","3","３／５","43","7%","65","36","３／５","300","12%","300","53","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"05","秋田県","2","1","２／４","222","0%","235","0","２／４","24","0%","27","1","２／４","58","2%","69","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"06","山形県","57","56","２／４","216","26%","215","1","２／４","26","4%","26","0","２／４","108","0%","108","1","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"07","福島県","64","63","２／４","475","13%","350","5","２／４","42","12%","50","1","２／４","160","1%","160","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"08","茨城県","371","180","３／３","550","33%","500","17","３／３","70","24%","70","49","３／４","324","15%","324","88","54","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"09","栃木県","171","144","３／４","313","46%","313","10","３／４","41","24%","41","5","３／４","284","2%","250","0","22","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"10","群馬県","247","165","３／３","335","49%","330","7","２／３","71","10%","50","82","３／３","1300","6%","1300","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"11","埼玉県","1598","657","４／４","1211","54%","1400","26","２／４","128","20%","200","235","２／３","1351","17%","1450","534","0","172","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"12","千葉県","780","332","３／４","1147","29%","1200","15","３／４","101","15%","180","181","３／４","710","25%","1400","223","0","44","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"13","東京都","4429","1851","３／４","4000","46%","4000","275","２／４","500","55%","500","804","３／４","1910","42%","3000","1103","6","665","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"14","神奈川県","1121","436","２／３","1939","22%","1939","65","２／３","200","33%","200","225","２／２","886","25%","1000","460","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"15","新潟県","79","71","２／３","456","16%","456","0","２／３","112","0%","112","2","１／３","176","1%","176","6","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"16","富山県","6","6","２／４","500","1%","500","0","２／４","36","0%","36","0","２／４","125","0%","100","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"17","石川県","31","30","１／２","258","12%","254","0","１／２","35","0%","35","1","１／２","340","0%","340","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"18","福井県","17","17","２／４","215","8%","215","2","２／４","24","8%","24","0","１／４","75","0%","75","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"19","山梨県","91","77","２／４","285","27%","250","0","２／４","24","0%","24","14","２／４","139","10%","100","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"20","長野県","162","118","３／４","350","34%","350","4","３／４","48","8%","48","16","３／４","250","6%","250","14","0","14","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"21","岐阜県","284","247","３／３","625","40%","625","1","３／３","51","2%","51","37","１／３","466","8%","466","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"22","静岡県","616","164","４／４","472","35%","450","13","４／４","73","18%","67","44","４／４","592","7%","450","0","0","408","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"23","愛知県","1951","423","３／４","934","45%","839","28","３／４","70","40%","121","262","３／４","1300","20%","1300","1067","0","199","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"24","三重県","178","167","２／３","349","48%","349","6","２／３","53","11%","53","8","２／３","100","8%","100","3","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"25","滋賀県","62","50","２／４","429","12%","450","4","２／４","45","9%","72","11","２／４","260","4%","250","1","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"26","京都府","325","143","３／３","680","21%","750","16","３／３","86","19%","86","62","３／３","338","18%","338","120","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"27","大阪府","4209","796","４／４","1432","56%","1615","212","４／４","366","58%","215","694","３／３","1789","39%","1036","1744","0","975","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"28","兵庫県","809","462","５／５","671","69%","650","41","５／５","110","37%","120","292","５／５","988","30%","700","0","0","55","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"29","奈良県","249","187","２／３","467","40%","500","6","２／３","27","22%","25","62","２／３","108","57%","108","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"30","和歌山県","71","71","２／４","400","18%","400","1","２／４","40","3%","40","0","２／４","137","0%","137","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"31","鳥取県","8","8","１／３","313","3%","300","0","１／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"32","島根県","11","11","１／５","253","4%","253","0","１／５","25","0%","25","0","１／５","98","0%","98","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"33","岡山県","116","83","２／４","302","27%","250","0","２／４","37","0%","40","24","２／４","207","12%","180","8","1","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"34","広島県","350","186","２／３","553","34%","500","6","２／３","72","8%","70","77","２／３","794","10%","700","87","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"35","山口県","53","51","１／３","423","12%","423","3","１／３","137","2%","137","2","１／３","834","0%","834","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"36","徳島県","6","6","２／４","200","3%","200","1","２／４","25","4%","25","0","２／４","150","0%","150","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"37","香川県","55","31","２／３","199","16%","199","0","２／３","26","0%","26","6","１／３","101","6%","101","1","0","17","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"38","愛媛県","77","51","３／３","229","22%","223","2","３／３","33","6%","33","7","３／３","117","6%","117","19","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"39","高知県","121","107","３／４","200","54%","200","0","３／４","58","0%","57","14","３／４","361","4%","190","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"40","福岡県","431","138","１／３","551","25%","760","9","１／３","90","10%","110","138","１／３","1057","13%","1200","155","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"41","佐賀県","43","30","１／４","274","11%","274","0","１／４","46","0%","46","13","１／４","253","5%","253","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"42","長崎県","10","7","２／４","395","2%","395","0","２／４","27","0%","42","2","２／４","352","1%","550","0","0","1","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"43","熊本県","116","76","２／３","400","19%","400","7","２／３","59","12%","59","21","２／３","1430","1%","140","19","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"44","大分県","144","81","２／４","337","24%","337","2","２／４","41","5%","41","63","１／２","700","9%","170","0","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"45","宮崎県","95","42","２／３","246","17%","246","1","２／３","33","3%","33","42","２／３","250","17%","250","11","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"46","鹿児島県","80","45","３／４","342","13%","300","0","３／４","38","0%","48","23","３／４","370","6%","370","12","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
"47","沖縄県","371","209","４／５","447","47%","425","21","４／５","53","40%","51","63","３／５","370","17%","340","99","0","0","2020-12-09","https://www.mhlw.go.jp/content/10900000/000704808.pdf"
