"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","5161","203","176","0","２／３","1749","2212","0","8%","4%","2","2","0","２／３","108","140","0","1%","106","0","２／３","2085","2215","0","5%","0","２／３","56","56","0%","4618","28","234","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"02","青森県","1645","108","93","0","３／５","445","457","0","20%","7%","1","1","0","１／５","31","31","0","3%","69","0","３／５","890","890","0","8%","0","－","0","0","－","1276","50","192","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"03","岩手県","646","28","24","0","２／２","325","325","0","7%","4%","0","0","0","２／２","31","34","0","0%","24","0","２／２","280","280","0","9%","0","－","0","0","－","594","12","0","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"04","宮城県","1616","65","49","0","Ⅰ／Ⅰ","527","527","0","9%","4%","3","3","0","Ⅰ／Ⅰ","55","55","0","5%","332","0","Ⅰ／Ⅰ","1950","1950","0","17%","0","－","0","0","－","1035","0","184","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"05","秋田県","428","22","22","0","６／６","289","289","0","8%","5%","0","0","0","６／６","24","24","0","0%","23","0","６／６","415","415","0","6%","0","－","0","0","－","382","41","1","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"06","山形県","670","24","24","0","４／４","226","245","0","10%","4%","0","0","0","４／４","26","26","0","0%","12","0","４／４","348","348","0","3%","0","４／４","0","0","－","619","0","15","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"07","福島県","828","50","50","0","３／３","751","751","8","7%","6%","0","0","0","３／３","47","47","0","0%","80","0","３／３","1547","1547","0","5%","0","３／３","16","24","0%","670","1","28","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"08","茨城県","1373","56","56","0","１／４","300","609","0","9%","4%","0","0","0","１／４","30","72","0","0%","211","0","３／５","1041","2600","0","8%","0","１／４","0","0","－","1106","33","0","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"09","栃木県","803","39","39","0","１／３","399","591","33","7%","5%","2","2","0","１／３","22","46","0","4%","81","0","１／３","755","1050","0","8%","0","１／３","33","33","0%","683","14","0","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"10","群馬県","929","55","55","0","２／４","424","629","0","9%","6%","1","1","0","１／４","13","37","0","3%","126","0","３／６","692","1727","0","7%","0","２／４","0","6","0%","743","48","5","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"11","埼玉県","5288","196","196","0","２／４","921","1827","130","11%","4%","0","0","0","１／４","66","191","0","0%","243","0","４／４","2114","2122","8","11%","0","４／４","8","138","0%","4323","0","526","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"12","千葉県","3912","130","129","7","１／２","1135","1564","206","8%","3%","1","1","0","１／２","85","124","0","1%","160","0","１／２","1466","1956","3","8%","7","１／２","51","209","3%","3526","0","96","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"13","東京都","22164","857","854","11","１／２","4785","7179","217","12%","4%","175","175","0","１／２","741","1007","0","17%","1666","24","１／２","6190","8580","290","19%","98","１／２","1304","1450","7%","13779","85","5799","27","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"14","神奈川県","7831","199","199","10","１／４","1221","2100","143","9%","3%","5","5","0","１／４","112","210","0","2%","215","0","１／１","2291","2291","0","9%","10","１／４","78","143","7%","7389","103","28","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"15","新潟県","908","22","22","0","３／４","557","664","0","3%","2%","0","0","0","３／４","112","112","0","0%","16","0","３／３","300","357","0","4%","0","３／３","10","10","0%","870","7","0","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"16","富山県","1233","28","28","0","１／３","111","481","0","6%","2%","0","0","0","１／３","12","36","0","0%","63","0","１／３","760","760","0","8%","0","１／３","0","0","－","1039","16","103","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"17","石川県","1086","40","40","0","Ⅰ／Ⅱ","410","410","0","10%","4%","0","0","0","Ⅰ／Ⅱ","37","37","0","0%","24","0","Ⅰ／Ⅱ","630","630","0","4%","0","Ⅰ／Ⅱ","0","0","－","834","27","188","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"18","福井県","838","20","20","0","２／５","161","441","100","5%","2%","0","0","0","２／５","13","24","0","0%","79","0","２／５","425","575","0","14%","0","２／５","0","100","0%","739","0","0","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"19","山梨県","386","41","41","0","２／５","165","389","0","11%","11%","0","0","0","２／５","13","24","0","0%","114","102","２／５","1135","1135","639","10%","102","２／５","639","639","16%","218","11","13","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"20","長野県","764","34","33","0","２／３","353","520","0","6%","4%","0","0","0","２／３","36","43","0","0%","63","0","２／３","806","806","0","8%","0","－","0","0","－","629","2","38","0","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
"21","岐阜県","1581","71","71","0","２／４","419","894","0","8%","4%","0","0","0","２／４","55","59","0","0%","190","0","２／３","1932","1932","4","10%","0","２／４","4","4","0%","1100","41","220","5","2022-06-29","https://www.mhlw.go.jp/content/10900000/000959871.xlsx"
