"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","20482","451","340","0","２／３","1653","2133","0","16%","2%","5","5","0","２／３","102","134","0","4%","301","0","２／３","2140","2215","0","14%","0","２／３","62","62","0%","18407","69","1323","0","2022-04-20","https://www.mhlw.go.jp/content/10900000/000932737.xlsx"
"02","青森県","4576","98","98","0","３／５","415","437","0","22%","2%","1","1","0","１／５","31","31","0","3%","95","0","３／５","890","890","0","11%","0","－","0","0","－","2199","17","2184","0","2022-04-20","https://www.mhlw.go.jp/content/10900000/000932737.xlsx"
"03","岩手県","3454","81","76","0","Ⅰ／Ⅰ","402","402","0","19%","2%","1","1","0","Ⅰ／Ⅰ","33","33","0","3%","72","0","Ⅰ／Ⅰ","370","370","0","19%","0","－","0","0","－","3301","55","0","0","2022-04-20","https://www.mhlw.go.jp/content/10900000/000932737.xlsx"
"04","宮城県","5047","127","104","0","Ⅰ／Ⅰ","523","523","0","20%","3%","4","4","0","Ⅰ／Ⅰ","55","55","0","7%","916","0","Ⅰ／Ⅰ","1950","1950","0","47%","0","－","0","0","－","3361","0","643","0","2022-04-20","https://www.mhlw.go.jp/content/10900000/000932737.xlsx"
"05","秋田県","2956","61","61","0","６／６","289","289","0","21%","2%","2","2","0","６／６","24","24","0","8%","119","0","６／６","415","415","0","29%","0","－","0","0","－","2407","27","369","0","2022-04-20","https://www.mhlw.go.jp/content/10900000/000932737.xlsx"
"06","山形県","2064","58","58","0","Ⅰ／Ⅱ","225","266","0","22%","3%","1","1","0","Ⅰ／Ⅱ","26","26","0","4%","60","0","Ⅰ／Ⅱ","276","348","0","17%","0","Ⅰ／Ⅱ","0","0","－","1899","0","47","0","2022-04-20","https://www.mhlw.go.jp/content/10900000/000932737.xlsx"
"07","福島県","5327","215","212","0","３／３","751","751","8","28%","4%","2","2","0","３／３","47","47","0","4%","494","0","３／３","1547","1547","0","32%","0","３／３","16","24","0%","4334","0","284","1","2022-04-20","https://www.mhlw.go.jp/content/10900000/000932737.xlsx"
"08","茨城県","6141","137","137","0","３／４","500","623","37","22%","2%","3","3","0","３／４","40","72","0","4%","536","0","５／５","1720","2600","0","21%","0","３／４","37","37","0%","5468","28","0","0","2022-04-20","https://www.mhlw.go.jp/content/10900000/000932737.xlsx"
"09","栃木県","6377","108","108","5","２／３","618","618","71","17%","2%","1","1","0","２／３","32","46","0","2%","328","0","２／３","990","1050","0","31%","5","２／３","71","71","7%","5941","94","0","0","2022-04-20","https://www.mhlw.go.jp/content/10900000/000932737.xlsx"
"10","群馬県","4274","178","177","0","４／４","593","593","0","30%","4%","1","1","0","２／４","21","37","0","3%","491","0","６／６","1727","1727","0","28%","0","４／４","6","6","0%","3132","38","473","19","2022-04-20","https://www.mhlw.go.jp/content/10900000/000932737.xlsx"
