"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","3478","894","３／３","1809","49%","1809","26","３／３","162","16%","162","524","２／２","2055","25%","2055","2031","29","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"02","青森県","297","81","３／４","206","39%","225","5","３／４","31","16%","30","40","３／４","210","19%","100","108","17","51","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"03","岩手県","199","155","２／３","393","39%","350","1","２／３","60","2%","45","44","２／３","381","12%","300","0","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"04","宮城県","365","116","５／５","350","33%","450","12","５／５","45","27%","65","145","５／５","1000","15%","1000","62","18","24","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"05","秋田県","141","52","３／４","229","23%","235","0","３／４","24","0%","27","56","３／４","163","34%","69","0","15","18","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"06","山形県","133","85","４／４","222","38%","215","6","４／４","26","23%","26","13","４／４","134","10%","134","15","4","16","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"07","福島県","630","362","４／４","469","77%","350","22","４／４","49","45%","50","122","４／４","204","60%","160","99","0","47","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"08","茨城県","466","220","３／３","600","37%","600","15","３／３","70","21%","70","61","４／６","630","10%","630","185","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"09","栃木県","286","140","３／４","409","34%","409","4","３／４","46","9%","46","79","３／４","638","12%","638","55","12","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"10","群馬県","703","270","３／３","432","63%","330","17","２／３","74","23%","50","262","２／３","1300","20%","1300","0","0","171","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"11","埼玉県","2699","765","４／４","1563","49%","1563","49","４／４","159","31%","200","358","３／３","1436","25%","1450","1298","0","278","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"12","千葉県","1362","440","４／４","1361","32%","1200","17","４／４","94","18%","180","317","４／４","968","33%","1400","550","0","55","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"13","東京都","7224","2444","４／４","5594","44%","6044","553","４／４","1207","46%","500","1182","４／４","2970","40%","3000","2236","35","1327","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"14","神奈川県","2172","533","３／４","1790","30%","1790","51","３／４","199","26%","199","433","２／２","1656","26%","1000","1197","9","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"15","新潟県","358","193","２／３","555","35%","555","2","２／３","112","2%","112","57","２／３","222","26%","222","108","0","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"16","富山県","139","82","３／４","500","16%","500","6","３／４","36","17%","36","41","３／４","305","13%","100","1","15","0","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
"17","石川県","584","306","２／２","373","82%","254","17","２／２","35","49%","35","112","２／２","340","33%","340","67","12","87","2021-05-12","https://www.mhlw.go.jp/content/10900000/000779837.xlsx"
