"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","1750","926","２／３","1811","51%","1811","31","２／３","182","17%","182","256","２／２","1660","15%","1660","388","180","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"02","青森県","25","18","１／４","210","9%","225","2","１／４","31","6%","30","5","１／４","290","2%","100","2","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"03","岩手県","101","85","２／３","374","23%","350","3","２／３","59","5%","45","16","２／３","381","4%","300","0","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"04","宮城県","348","100","３／５","345","29%","450","6","３／５","43","14%","65","91","３／５","300","30%","300","157","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"05","秋田県","5","4","２／４","222","2%","235","0","２／４","24","0%","27","1","２／４","58","2%","69","0","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"06","山形県","95","81","３／４","216","38%","215","6","３／４","26","23%","26","8","３／４","108","7%","108","6","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"07","福島県","171","163","３／４","469","35%","350","5","３／４","42","12%","50","8","３／４","160","5%","160","0","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"08","茨城県","226","118","３／３","550","21%","500","10","３／３","71","14%","70","50","３／４","324","15%","324","58","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"09","栃木県","240","139","３／４","313","44%","313","12","３／４","41","29%","41","32","３／４","284","11%","250","0","0","69","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"10","群馬県","341","207","３／３","335","62%","330","10","３／３","71","14%","50","107","３／３","1300","8%","1300","0","0","27","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"11","埼玉県","2193","659","４／４","1229","54%","1400","32","２／４","130","25%","200","229","２／３","1351","17%","1450","1109","0","196","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"12","千葉県","1340","384","３／４","1147","33%","1200","18","３／４","101","18%","180","222","３／４","955","23%","1400","656","0","78","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"13","東京都","6007","2148","４／４","4000","54%","4000","343","４／４","500","69%","500","983","３／４","2360","42%","3000","1895","28","953","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"14","神奈川県","2019","537","２／３","1939","28%","1939","57","２／３","200","29%","200","408","２／２","1201","34%","1000","1074","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"15","新潟県","69","57","２／３","456","13%","456","0","２／３","112","0%","112","7","１／３","176","4%","176","5","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"16","富山県","31","28","２／４","500","6%","500","1","２／４","36","3%","36","2","２／４","430","0%","100","1","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"17","石川県","86","82","２／２","258","32%","254","0","２／２","35","0%","35","4","２／２","340","1%","340","0","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"18","福井県","12","12","２／４","215","6%","215","2","２／４","24","8%","24","0","１／４","75","0%","75","0","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"19","山梨県","44","41","２／４","285","14%","250","2","２／４","24","8%","24","3","２／４","139","2%","100","0","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"20","長野県","155","132","３／４","350","38%","350","5","３／４","48","10%","48","9","３／４","250","4%","250","12","0","2","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"21","岐阜県","368","268","３／３","625","43%","625","8","３／３","51","16%","51","40","３／３","466","9%","466","0","0","60","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"22","静岡県","496","177","４／４","442","40%","450","8","４／４","38","21%","67","44","４／４","592","7%","450","0","0","275","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"23","愛知県","2163","518","３／４","934","55%","839","39","３／４","103","38%","121","224","３／４","1300","17%","1300","1231","0","190","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"24","三重県","137","126","２／３","349","36%","349","4","２／３","53","8%","53","9","２／３","100","9%","100","2","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"25","滋賀県","102","60","２／３","274","22%","280","3","２／３","44","7%","62","38","２／３","260","15%","420","3","0","1","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"26","京都府","738","236","３／３","680","35%","750","27","３／３","86","31%","86","81","３／３","338","24%","338","421","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"27","大阪府","3629","1031","４／４","1542","67%","1615","256","４／４","397","64%","215","653","３／３","2019","32%","1036","1139","0","806","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"28","兵庫県","901","468","６／６","756","62%","750","41","６／６","116","35%","120","220","６／６","988","22%","1000","0","0","213","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"29","奈良県","279","212","３／３","467","45%","500","11","３／３","27","41%","25","67","２／３","108","62%","108","0","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"30","和歌山県","34","34","２／４","400","9%","400","1","２／４","40","3%","40","0","２／４","137","0%","137","0","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"31","鳥取県","9","9","１／３","313","3%","300","0","１／３","47","0%","40","0","１／３","340","0%","150","0","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"32","島根県","22","22","１／５","253","9%","253","1","１／５","25","4%","25","0","１／５","98","0%","98","0","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"33","岡山県","384","156","３／４","401","39%","250","8","３／４","37","22%","40","68","３／４","207","33%","180","135","25","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"34","広島県","1114","258","３／３","553","47%","500","16","３／３","72","22%","70","102","３／３","934","11%","700","696","58","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"35","山口県","57","55","１／３","423","13%","423","3","１／３","137","2%","137","2","１／３","834","0%","834","0","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"36","徳島県","6","6","２／４","200","3%","200","0","２／４","25","0%","25","0","２／４","150","0%","150","0","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"37","香川県","42","21","２／３","199","11%","199","0","２／３","26","0%","26","5","２／３","101","5%","101","0","0","16","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"38","愛媛県","34","26","３／３","229","11%","223","4","３／３","33","12%","33","3","３／３","192","2%","117","5","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"39","高知県","207","119","４／４","200","60%","200","4","４／４","58","7%","57","20","４／４","361","6%","190","68","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"40","福岡県","1021","237","２／３","551","43%","760","12","２／３","104","12%","110","465","２／３","1057","44%","1200","319","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"41","佐賀県","41","21","２／４","274","8%","274","0","２／４","46","0%","46","20","１／４","253","8%","253","0","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"42","長崎県","159","63","２／４","395","16%","395","2","２／４","27","7%","42","61","２／４","352","17%","550","22","0","13","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"43","熊本県","233","156","３／３","420","37%","420","4","３／３","59","7%","59","31","３／３","1430","2%","140","46","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"44","大分県","78","55","２／４","355","15%","355","4","２／４","41","10%","41","23","１／２","700","3%","170","0","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
"45","宮崎県","71","30","２／３","246","12%","246","1","２／３","33","3%","33","29","２／３","250","12%","250","12","0","0","2020-12-23","https://www.mhlw.go.jp/content/10900000/000712272.pdf"
