"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","17372","817","539","0","２／３","1712","2091","0","26%","5%","4","4","0","２／３","110","134","0","3%","271","0","２／３","2140","2600","0","10%","0","２／３","62","62","0%","15029","515","1255","0","2022-03-16","https://www.mhlw.go.jp/content/10900000/000915718.xlsx"
"02","青森県","3711","156","155","0","３／５","403","425","0","36%","4%","7","7","0","１／５","31","31","0","23%","106","0","３／５","920","920","0","12%","0","－","0","0","－","2767","148","682","0","2022-03-16","https://www.mhlw.go.jp/content/10900000/000915718.xlsx"
"03","岩手県","2774","148","121","0","Ⅰ／Ⅰ","402","402","0","30%","5%","2","2","0","Ⅰ／Ⅰ","33","33","0","6%","65","0","Ⅰ／Ⅰ","370","370","0","18%","0","－","0","0","－","2504","19","57","0","2022-03-16","https://www.mhlw.go.jp/content/10900000/000915718.xlsx"
"04","宮城県","5321","157","125","0","Ⅰ／Ⅰ","511","511","0","24%","3%","8","8","0","Ⅰ／Ⅰ","55","55","0","15%","1006","0","Ⅰ／Ⅰ","1950","1950","0","52%","0","－","0","0","－","3483","22","675","0","2022-03-16","https://www.mhlw.go.jp/content/10900000/000915718.xlsx"
"05","秋田県","1712","72","72","0","６／６","289","289","0","25%","4%","1","1","0","６／６","24","24","0","4%","71","0","６／６","415","415","0","17%","0","－","0","0","－","1359","48","210","0","2022-03-16","https://www.mhlw.go.jp/content/10900000/000915718.xlsx"
"06","山形県","2243","94","94","0","Ⅰ／Ⅱ","225","252","0","37%","4%","1","1","0","Ⅰ／Ⅱ","26","26","0","4%","74","0","Ⅰ／Ⅱ","322","322","0","23%","0","Ⅰ／Ⅱ","0","0","－","1958","0","117","0","2022-03-16","https://www.mhlw.go.jp/content/10900000/000915718.xlsx"
"07","福島県","3659","213","212","0","３／３","751","751","8","28%","6%","3","3","0","３／３","47","47","0","6%","429","0","３／３","1646","1646","0","26%","0","３／３","16","24","0%","2921","31","96","1","2022-03-16","https://www.mhlw.go.jp/content/10900000/000915718.xlsx"
"08","茨城県","9246","290","290","0","Ⅰ／Ⅰ","780","877","77","33%","3%","8","8","0","Ⅰ／Ⅰ","60","80","0","10%","639","0","５／５","1950","2600","0","25%","0","Ⅰ／Ⅰ","77","77","0%","8317","24","0","0","2022-03-16","https://www.mhlw.go.jp/content/10900000/000915718.xlsx"
"09","栃木県","5644","171","171","8","２／３","638","638","100","27%","3%","1","1","0","２／３","32","46","0","2%","400","0","２／３","990","1050","0","38%","8","２／３","100","100","8%","5073","266","0","0","2022-03-16","https://www.mhlw.go.jp/content/10900000/000915718.xlsx"
"10","群馬県","5058","246","246","0","４／４","577","577","0","43%","5%","4","4","0","４／４","37","37","0","11%","567","0","６／６","1727","1727","0","33%","0","４／４","6","6","0%","3769","0","476","5","2022-03-16","https://www.mhlw.go.jp/content/10900000/000915718.xlsx"
"11","埼玉県","27971","1225","1044","0","Ⅰ／Ⅰ","2206","2206","130","47%","4%","46","46","0","Ⅰ／Ⅰ","239","239","0","19%","652","0","Ⅰ／Ⅰ","1984","2523","8","26%","0","Ⅰ／Ⅰ","174","198","0%","23596","0","2498","0","2022-03-16","https://www.mhlw.go.jp/content/10900000/000915718.xlsx"
"12","千葉県","22655","940","762","14","２／２","1722","1774","232","43%","4%","20","20","0","２／２","124","124","0","16%","538","0","２／２","2290","2290","3","23%","14","２／２","227","235","6%","20589","0","588","0","2022-03-16","https://www.mhlw.go.jp/content/10900000/000915718.xlsx"
"13","東京都","119110","2817","2709","69","３／３","6946","7229","230","37%","2%","495","494","0","３／３","1468","1468","0","34%","3104","14","３／３","8850","8850","290","35%","153","３／３","1851","2266","7%","59340","400","53779","327","2022-03-16","https://www.mhlw.go.jp/content/10900000/000915718.xlsx"
