"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","36983","2124","1152","0","３／３","2284","2284","0","50%","6%","8","8","0","３／３","116","116","0","7%","340","0","２／３","2085","2215","0","15%","0","２／３","56","56","0%","33381","0","1138","0","2022-12-21","https://www.mhlw.go.jp/content/10900000/001029802.xlsx"
"02","青森県","10756","681","301","0","３／５","478","490","0","61%","6%","5","5","0","１／５","31","31","0","16%","57","0","３／５","660","660","0","9%","0","－","0","0","－","10018","0","0","0","2022-12-21","https://www.mhlw.go.jp/content/10900000/001029802.xlsx"
"03","岩手県","12169","358","178","0","２／２","348","348","0","51%","3%","1","1","0","２／２","34","34","0","3%","84","0","２／２","280","280","0","30%","0","－","0","0","－","11727","0","0","0","2022-12-21","https://www.mhlw.go.jp/content/10900000/001029802.xlsx"
"04","宮城県","24218","594","352","0","Ⅰ／Ⅰ","612","612","0","58%","2%","15","15","0","Ⅰ／Ⅰ","55","55","0","27%","789","0","Ⅰ／Ⅰ","2090","2090","0","38%","0","－","0","0","－","21618","0","1217","0","2022-12-21","https://www.mhlw.go.jp/content/10900000/001029802.xlsx"
"05","秋田県","8060","494","179","0","６／６","311","311","0","58%","6%","2","2","0","６／６","24","24","0","8%","73","0","６／６","415","415","0","18%","0","－","0","0","－","7426","1604","67","0","2022-12-21","https://www.mhlw.go.jp/content/10900000/001029802.xlsx"
"06","山形県","8260","435","144","0","Ⅰ／Ⅱ","290","290","0","50%","5%","0","0","0","Ⅰ／Ⅱ","26","26","0","0%","34","0","Ⅰ／Ⅱ","348","348","0","10%","0","Ⅰ／Ⅱ","0","0","－","7791","0","0","0","2022-12-21","https://www.mhlw.go.jp/content/10900000/001029802.xlsx"
"07","福島県","18295","578","466","0","３／３","766","774","8","60%","3%","5","5","0","３／３","46","46","0","11%","383","0","３／３","1224","1224","0","31%","0","３／３","19","27","0%","17334","362","0","0","2022-12-21","https://www.mhlw.go.jp/content/10900000/001029802.xlsx"
"08","茨城県","25211","560","560","0","Ⅰ／Ⅱ","800","803","0","70%","2%","18","18","0","１／７","30","75","0","24%","836","0","４／５","1614","2689","0","31%","0","－","0","0","－","23815","0","0","0","2022-12-21","https://www.mhlw.go.jp/content/10900000/001029802.xlsx"
"09","栃木県","18283","451","451","15","３／３","687","687","102","66%","2%","8","8","0","３／３","46","46","0","17%","118","0","２／３","755","1050","0","11%","15","３／３","102","102","15%","17714","0","0","0","2022-12-21","https://www.mhlw.go.jp/content/10900000/001029802.xlsx"
"10","群馬県","18412","889","514","0","４／４","685","685","0","75%","5%","11","11","0","４／４","37","37","0","30%","228","0","４／６","854","1727","0","13%","0","２／４","0","6","0%","14267","1202","3028","1","2022-12-21","https://www.mhlw.go.jp/content/10900000/001029802.xlsx"
"11","埼玉県","58802","1610","1272","0","４／４","1639","1706","0","75%","3%","25","25","0","１／４","66","146","0","17%","747","0","４／４","1702","1986","0","38%","11","４／４","24","24","46%","55162","0","1272","0","2022-12-21","https://www.mhlw.go.jp/content/10900000/001029802.xlsx"
