"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","872","285","285","２／３","1622","1995","14%","33%","8","8","２／３","121","148","5%","222","２／２","2385","2385","9%","207","0","158","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"02","青森県","59","21","21","２／４","247","261","8%","36%","0","0","２／４","31","31","0%","19","４／４","310","310","6%","8","0","11","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"03","岩手県","83","62","62","２／３","250","350","18%","75%","0","0","２／３","30","45","0%","17","２／３","85","381","4%","0","0","4","4","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"04","宮城県","252","86","85","５／５","359","361","24%","34%","4","4","５／５","45","45","9%","123","５／５","850","850","14%","24","0","19","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"05","秋田県","50","34","34","４／６","135","230","15%","68%","1","1","４／６","13","22","5%","9","４／６","304","304","3%","0","0","7","4","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"06","山形県","32","23","23","３／４","237","237","10%","72%","0","0","３／４","26","26","0%","4","３／４","134","134","3%","4","0","1","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"07","福島県","157","138","138","４／４","496","496","28%","88%","5","5","４／４","45","49","10%","5","４／４","277","277","2%","4","0","10","7","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"08","茨城県","387","117","117","２／４","300","600","20%","30%","4","4","２／４","40","70","6%","131","４／６","300","630","21%","139","0","0","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"09","栃木県","212","128","128","２／３","371","448","29%","60%","8","8","２／３","27","46","17%","55","２／３","557","638","9%","17","0","12","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
"10","群馬県","87","50","50","２／４","295","470","11%","57%","0","0","２／４","21","76","0%","35","１／４","183","1300","3%","0","0","2","0","2021-07-21","https://www.mhlw.go.jp/content/10900000/000811805.xlsx"
