"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","626","331","２／３","1863","18%","1863","4","２／３","161","2%","161","147","２／２","1835","8%","1835","114","34","0","2021-03-17","https://www.mhlw.go.jp/content/10900000/000756221.xlsx"
"02","青森県","57","31","１／４","200","16%","225","0","１／４","31","0%","30","12","１／４","370","3%","100","0","0","14","2021-03-17","https://www.mhlw.go.jp/content/10900000/000756221.xlsx"
"03","岩手県","16","16","２／３","385","4%","350","0","２／３","60","0%","45","0","２／３","381","0%","300","0","0","0","2021-03-17","https://www.mhlw.go.jp/content/10900000/000756221.xlsx"
"04","宮城県","395","60","４／５","345","17%","450","4","４／５","43","9%","65","177","４／５","500","35%","500","158","0","0","2021-03-17","https://www.mhlw.go.jp/content/10900000/000756221.xlsx"
"05","秋田県","3","1","２／４","229","0%","235","0","２／４","24","0%","27","1","２／４","70","1%","69","0","0","1","2021-03-17","https://www.mhlw.go.jp/content/10900000/000756221.xlsx"
"06","山形県","22","22","３／４","216","10%","215","0","３／４","26","0%","26","0","３／４","134","0%","134","0","0","0","2021-03-17","https://www.mhlw.go.jp/content/10900000/000756221.xlsx"
"07","福島県","245","237","４／４","469","51%","350","16","４／４","49","33%","50","8","４／４","204","4%","160","0","0","0","2021-03-17","https://www.mhlw.go.jp/content/10900000/000756221.xlsx"
"08","茨城県","282","135","３／３","619","22%","600","4","３／３","70","6%","70","51","４／５","420","12%","420","85","11","0","2021-03-17","https://www.mhlw.go.jp/content/10900000/000756221.xlsx"
"09","栃木県","140","56","３／４","409","14%","409","0","３／４","46","0%","46","66","３／４","638","10%","638","0","0","18","2021-03-17","https://www.mhlw.go.jp/content/10900000/000756221.xlsx"
"10","群馬県","127","71","３／３","400","18%","330","2","３／３","74","3%","50","44","３／３","1300","3%","1300","0","0","12","2021-03-17","https://www.mhlw.go.jp/content/10900000/000756221.xlsx"
