"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","23126","556","369","0","２／３","1675","2147","0","17%","2%","4","4","0","２／３","106","138","0","3%","241","0","２／３","2085","2215","0","11%","0","２／３","62","62","0%","21491","185","838","0","2022-05-04","https://www.mhlw.go.jp/content/10900000/000937161.xlsx"
"02","青森県","3405","82","82","0","３／５","415","437","0","19%","2%","0","0","0","１／５","31","31","0","0%","84","0","３／５","890","890","0","9%","0","－","0","0","－","1622","33","1617","0","2022-05-04","https://www.mhlw.go.jp/content/10900000/000937161.xlsx"
"03","岩手県","2998","63","61","0","２／２","301","301","0","20%","2%","3","3","0","２／２","31","31","0","10%","28","0","２／２","280","280","0","10%","0","－","0","0","－","2907","62","0","0","2022-05-04","https://www.mhlw.go.jp/content/10900000/000937161.xlsx"
"04","宮城県","3999","157","96","0","Ⅰ／Ⅰ","523","523","0","18%","4%","2","2","0","Ⅰ／Ⅰ","55","55","0","4%","671","0","Ⅰ／Ⅰ","1950","1950","0","34%","0","－","0","0","－","2878","0","293","0","2022-05-04","https://www.mhlw.go.jp/content/10900000/000937161.xlsx"
"05","秋田県","2747","87","87","0","６／６","289","289","0","30%","3%","1","1","0","６／６","24","24","0","4%","104","0","６／６","415","415","0","25%","0","－","0","0","－","2219","86","337","0","2022-05-04","https://www.mhlw.go.jp/content/10900000/000937161.xlsx"
"06","山形県","1781","93","35","0","Ⅰ／Ⅱ","220","261","0","13%","5%","2","2","0","Ⅰ／Ⅱ","26","26","0","8%","27","0","Ⅰ／Ⅱ","348","348","0","8%","0","Ⅰ／Ⅱ","0","0","－","1633","0","28","0","2022-05-04","https://www.mhlw.go.jp/content/10900000/000937161.xlsx"
"07","福島県","4171","178","147","0","３／３","751","751","8","20%","4%","2","2","0","３／３","47","47","0","4%","321","0","３／３","1547","1547","0","21%","0","３／３","16","24","0%","3478","30","194","0","2022-05-04","https://www.mhlw.go.jp/content/10900000/000937161.xlsx"
"08","茨城県","3603","110","110","0","２／４","410","623","37","18%","3%","2","2","0","２／４","30","72","0","3%","246","0","５／５","1437","2600","0","9%","0","２／４","37","37","0%","3247","21","0","0","2022-05-04","https://www.mhlw.go.jp/content/10900000/000937161.xlsx"
"09","栃木県","5226","99","99","3","２／３","618","618","71","16%","2%","0","0","0","２／３","32","46","0","0%","231","0","２／３","990","1050","0","22%","3","２／３","71","71","4%","4896","23","0","0","2022-05-04","https://www.mhlw.go.jp/content/10900000/000937161.xlsx"
"10","群馬県","3644","155","153","0","４／４","593","593","0","26%","4%","0","0","0","２／４","21","37","0","0%","404","0","６／６","1727","1727","0","23%","0","４／４","6","6","0%","2707","60","378","11","2022-05-04","https://www.mhlw.go.jp/content/10900000/000937161.xlsx"
