都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典
01,北海道,116,95,700,1558,10,100,132,14,930,1,6,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
02,青森県,0,0,128,225,0,29,34,0,30,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
03,岩手県,0,0,93,166,0,33,33,0,85,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
04,宮城県,5,4,388,400,0,57,60,0,200,0,0,1,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
05,秋田県,0,0,105,105,0,55,55,0,16,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
06,山形県,1,1,150,150,1,16,16,0,188,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
07,福島県,2,2,229,800,0,15,20,0,300,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
08,茨城県,6,6,151,1000,1,30,50,0,34,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
09,栃木県,1,1,271,271,0,41,41,0,111,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
10,群馬県,3,3,170,280,0,23,50,0,150,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
11,埼玉県,20,20,602,602,4,60,60,0,1055,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
12,千葉県,24,20,819,1700,3,82,300,4,736,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
13,東京都,367,236,3300,4000,22,400,700,64,2865,35,0,32,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
14,神奈川県,72,56,2050,2800,13,172,300,10,2431,6,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
15,新潟県,1,1,411,766,0,112,112,0,50,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
16,富山県,8,7,500,500,0,20,20,1,100,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
17,石川県,29,29,233,520,2,30,40,0,340,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
18,福井県,0,0,176,350,0,19,19,0,115,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
19,山梨県,2,2,80,400,0,13,50,0,21,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
20,長野県,1,1,300,300,0,33,33,0,200,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
21,岐阜県,10,10,357,458,2,47,118,0,466,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
22,静岡県,4,4,200,400,0,20,20,0,155,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
23,愛知県,8,7,500,1500,0,28,400,0,1300,1,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
24,三重県,0,0,176,176,0,33,33,0,64,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
25,滋賀県,1,1,264,570,1,50,50,0,62,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
26,京都府,5,5,431,431,0,86,86,0,338,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
27,大阪府,27,26,1225,1615,7,188,215,1,1565,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
28,兵庫県,3,3,515,515,0,71,71,0,578,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
29,奈良県,0,0,434,500,0,23,25,0,108,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
30,和歌山県,0,0,150,177,0,32,32,0,137,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
31,鳥取県,0,0,322,322,0,48,48,0,640,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
32,島根県,1,1,253,253,1,30,46,0,45,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
33,岡山県,0,0,140,300,0,11,57,0,78,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
34,広島県,0,0,266,270,0,35,35,0,130,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
35,山口県,1,1,423,423,1,102,102,0,594,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
36,徳島県,0,0,172,200,0,47,49,0,208,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
37,香川県,0,0,163,163,0,15,15,0,101,0,0,0,2020-06-17,https://www.mhlw.go.jp/content/10900000/000641924.pdf
