"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","779","401","２／３","1827","22%","1827","16","２／３","161","10%","161","152","２／２","1835","8%","1835","150","76","0","2021-02-17","https://www.mhlw.go.jp/content/10900000/000742391.xlsx"
"02","青森県","72","54","１／４","204","26%","225","1","１／４","31","3%","30","16","１／４","190","8%","100","0","0","2","2021-02-17","https://www.mhlw.go.jp/content/10900000/000742391.xlsx"
"03","岩手県","26","26","２／３","385","7%","350","1","２／３","60","2%","45","0","２／３","381","0%","300","0","0","0","2021-02-17","https://www.mhlw.go.jp/content/10900000/000742391.xlsx"
"04","宮城県","80","46","４／５","345","13%","450","5","４／５","43","12%","65","21","４／５","500","4%","500","13","0","0","2021-02-17","https://www.mhlw.go.jp/content/10900000/000742391.xlsx"
"05","秋田県","17","17","３／４","229","7%","235","0","３／４","24","0%","27","0","３／４","70","0%","69","0","0","0","2021-02-17","https://www.mhlw.go.jp/content/10900000/000742391.xlsx"
"06","山形県","19","19","３／４","216","9%","215","0","３／４","26","0%","26","0","３／４","134","0%","134","0","0","0","2021-02-17","https://www.mhlw.go.jp/content/10900000/000742391.xlsx"
"07","福島県","112","106","４／４","469","23%","350","8","４／４","49","16%","50","6","４／４","220","3%","160","0","0","0","2021-02-17","https://www.mhlw.go.jp/content/10900000/000742391.xlsx"
"08","茨城県","368","175","３／３","619","28%","600","15","３／３","70","21%","70","84","４／４","324","26%","324","87","22","0","2021-02-17","https://www.mhlw.go.jp/content/10900000/000742391.xlsx"
"09","栃木県","189","96","３／４","377","25%","377","8","３／４","46","17%","46","30","３／４","638","5%","638","0","58","5","2021-02-17","https://www.mhlw.go.jp/content/10900000/000742391.xlsx"
"10","群馬県","245","107","３／３","361","30%","330","6","３／３","74","8%","50","99","３／３","1300","8%","1300","0","0","39","2021-02-17","https://www.mhlw.go.jp/content/10900000/000742391.xlsx"
"11","埼玉県","2167","900","４／４","1335","67%","1400","47","４／４","142","33%","200","250","３／３","1436","17%","1450","903","0","114","2021-02-17","https://www.mhlw.go.jp/content/10900000/000742391.xlsx"
"12","千葉県","2378","748","４／４","1180","63%","1200","24","４／４","93","26%","180","197","４／４","968","20%","1400","1271","0","162","2021-02-17","https://www.mhlw.go.jp/content/10900000/000742391.xlsx"
"13","東京都","4358","2244","４／４","5000","45%","4000","注8　431","４／４","注8　500","86%","500","425","４／４","3290","13%","3000","936","59","694","2021-02-17","https://www.mhlw.go.jp/content/10900000/000742391.xlsx"
"14","神奈川県","1303","594","２／３","1555","38%","1555","35","２／３","190","18%","190","135","２／２","1573","9%","1000","574","0","0","2021-02-17","https://www.mhlw.go.jp/content/10900000/000742391.xlsx"
"15","新潟県","75","70","２／３","456","15%","456","1","２／３","112","1%","112","3","１／３","176","2%","176","2","0","0","2021-02-17","https://www.mhlw.go.jp/content/10900000/000742391.xlsx"
