"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数（最終フェーズ）","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数（最終フェーズ）","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室（最終フェーズ）","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","1623","708","２／３","1811","39%","1811","13","２／３","182","7%","182","425","２／２","1835","23%","1835","395","95","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"02","青森県","94","41","１／４","212","19%","225","3","１／４","31","10%","30","29","１／４","290","10%","100","17","0","7","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"03","岩手県","68","66","２／３","374","18%","350","1","２／３","59","2%","45","1","２／３","381","0%","300","0","0","1","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"04","宮城県","474","129","４／５","345","37%","450","10","４／５","43","23%","65","198","４／５","500","40%","500","147","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"05","秋田県","53","32","３／４","229","14%","235","0","３／４","24","0%","27","20","３／４","58","34%","69","0","0","1","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"06","山形県","39","38","３／４","216","18%","215","1","３／４","26","4%","26","0","３／４","134","0%","134","1","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"07","福島県","322","280","４／４","469","60%","350","8","４／４","42","19%","50","42","４／４","160","26%","160","0","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"08","茨城県","765","279","３／３","500","56%","500","12","３／３","70","17%","70","203","４／４","324","63%","324","218","65","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"09","栃木県","1153","207","４／４","337","61%","337","20","４／４","46","43%","46","90","４／４","284","32%","284","0","122","734","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"10","群馬県","531","219","３／３","335","65%","330","12","３／３","71","17%","50","129","３／３","1300","10%","1300","0","0","183","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"11","埼玉県","6588","886","４／４","1272","70%","1400","82","４／４","128","64%","200","276","２／３","1359","20%","1450","5004","0","422","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"12","千葉県","6020","661","４／４","1163","57%","1200","45","４／４","93","48%","180","280","４／４","858","33%","1400","4893","0","186","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"13","東京都","19533","2957","４／４","4000","74%","4000","535","４／４","500","107%","500","876","４／４","2630","33%","3000","9058","223","6419","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"14","神奈川県","6441","938","２／３","1939","48%","1939","111","２／３","200","56%","200","416","２／２","1286","32%","1000","5087","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"15","新潟県","148","104","２／３","456","23%","456","2","２／３","112","2%","112","30","１／３","176","17%","176","14","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"16","富山県","112","75","２／４","500","15%","500","3","２／４","36","8%","36","29","２／４","377","8%","100","8","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"17","石川県","173","140","２／２","258","54%","254","7","２／２","35","20%","35","33","２／２","340","10%","340","0","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"18","福井県","72","71","３／４","255","28%","255","4","３／４","24","17%","24","0","１／４","75","0%","75","0","0","1","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"19","山梨県","132","91","３／４","285","32%","250","5","３／４","24","21%","24","41","３／４","139","29%","100","0","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"20","長野県","422","235","４／４","350","67%","350","4","４／４","48","8%","48","101","３／４","250","40%","250","79","0","7","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"21","岐阜県","655","404","３／３","625","65%","625","15","３／３","51","29%","51","113","３／３","603","19%","603","0","0","138","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"22","静岡県","897","173","４／４","467","37%","450","6","４／４","40","15%","67","107","４／４","592","18%","450","0","0","617","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"23","愛知県","3389","697","４／４","1102","63%","839","54","４／４","125","43%","121","233","４／４","1300","18%","1300","2213","0","246","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"24","三重県","326","183","３／３","357","51%","357","6","３／３","53","11%","53","19","３／３","100","19%","100","124","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"25","滋賀県","338","167","３／３","347","48%","347","20","３／３","42","48%","62","122","３／３","260","47%","420","49","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"26","京都府","1670","278","３／３","720","39%","720","37","３／３","86","43%","86","137","３／３","826","17%","826","1255","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"27","大阪府","6355","1198","４／４","1602","75%","1615","256","４／４","397","64%","215","1040","３／３","2206","47%","1036","2718","0","1399","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"28","兵庫県","1946","598","６／６","756","79%","750","69","６／６","116","59%","120","417","６／６","988","42%","1000","0","0","931","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"29","奈良県","395","235","３／３","370","64%","500","14","３／３","28","50%","25","105","３／３","250","42%","250","0","0","55","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"30","和歌山県","144","144","３／４","400","36%","400","3","３／４","40","8%","40","0","２／４","137","0%","137","0","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"31","鳥取県","46","46","２／３","313","15%","300","2","２／３","47","4%","40","0","１／３","340","0%","150","0","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"32","島根県","16","16","２／５","253","6%","253","0","２／５","25","0%","25","0","２／５","98","0%","98","0","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"33","岡山県","387","147","３／４","401","37%","250","21","３／４","37","57%","40","58","３／４","207","28%","180","175","7","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"34","広島県","518","210","３／３","479","44%","500","14","３／３","33","42%","70","129","３／３","1038","12%","1400","88","91","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"35","山口県","300","177","３／３","423","42%","423","2","３／３","137","1%","137","122","１／３","834","15%","834","0","0","1","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"36","徳島県","82","73","２／４","200","37%","200","0","２／４","25","0%","25","9","２／４","180","5%","180","0","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"37","香川県","182","61","３／３","199","31%","199","1","３／３","26","4%","26","39","３／３","101","39%","101","0","0","82","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"38","愛媛県","210","68","３／３","229","30%","223","4","３／３","33","12%","33","32","３／３","192","17%","117","110","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"39","高知県","73","22","４／４","200","11%","200","4","４／４","58","7%","57","41","４／４","203","20%","190","10","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"40","福岡県","3840","507","３／３","641","79%","760","27","３／３","110","25%","110","569","３／３","1057","54%","1200","2764","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"41","佐賀県","242","117","２／４","273","43%","273","2","２／４","46","4%","46","92","１／４","253","36%","253","3","0","30","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"42","長崎県","397","187","４／４","395","47%","395","6","４／４","27","22%","42","75","４／４","384","20%","384","91","0","44","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"43","熊本県","704","268","３／３","420","64%","420","19","３／３","59","32%","59","81","３／３","140","58%","140","355","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"44","大分県","130","84","２／４","359","23%","359","5","２／４","41","12%","41","46","１／２","700","7%","170","0","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"45","宮崎県","368","95","３／３","246","39%","246","8","３／３","33","24%","33","69","３／３","250","28%","250","204","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"46","鹿児島県","165","92","３／４","345","27%","300","2","３／４","38","5%","48","69","３／４","370","19%","370","4","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
"47","沖縄県","776","320","５／５","469","68%","425","30","５／５","53","57%","51","146","５／５","370","39%","340","310","0","0","2021-01-20","https://www.mhlw.go.jp/content/10900000/000725978.xlsx"
