都道府県番号,都道府県名,PCR検査陽性者数,入院者数,入院患者受入確保病床,入院患者受入確保想定病床数,うち重症者数,重症患者受入確保病床数,重症患者受入確保想定病床数,宿泊療養者数,宿泊施設受入可能室数,自宅療養者数,社会福祉施設等療養者数,確認中の人数,更新日,出典
01,北海道,71,65,700,1558,6,100,132,6,810,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
02,青森県,0,0,144,225,0,29,34,0,30,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
03,岩手県,0,0,93,166,0,33,33,0,85,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
04,宮城県,6,4,388,400,0,57,60,2,100,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
05,秋田県,0,0,105,105,0,55,55,0,16,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
06,山形県,3,3,150,150,0,16,16,0,188,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
07,福島県,1,1,229,800,0,15,20,0,100,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
08,茨城県,14,12,151,1000,1,30,50,2,34,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
09,栃木県,17,17,271,271,0,41,41,0,111,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
10,群馬県,3,3,170,280,0,23,50,0,150,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
11,埼玉県,205,111,602,602,4,60,60,44,1055,28,0,22,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
12,千葉県,85,66,819,1700,1,82,300,7,736,10,0,2,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
13,東京都,876,453,3300,4000,8,400,500,162,1307,103,0,158,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
14,神奈川県,127,59,2050,2800,7,172,300,51,2431,17,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
15,新潟県,1,1,411,766,0,112,112,0,50,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
16,富山県,2,2,500,500,0,20,20,0,100,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
17,石川県,8,8,233,520,1,30,40,0,340,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
18,福井県,0,0,176,350,0,19,19,0,15,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
19,山梨県,0,0,80,400,0,13,50,0,21,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
20,長野県,1,1,300,300,0,33,33,0,200,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
21,岐阜県,6,6,342,458,2,47,118,0,466,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
22,静岡県,6,6,200,400,0,20,20,0,155,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
23,愛知県,7,4,500,1500,0,28,400,0,1300,3,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
24,三重県,0,0,176,176,0,34,34,0,100,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
25,滋賀県,4,4,161,450,0,50,50,0,62,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
26,京都府,42,35,431,431,0,86,86,3,338,4,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
27,大阪府,77,48,1253,1615,3,188,215,23,1565,6,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
28,兵庫県,13,12,515,515,0,71,71,1,578,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
29,奈良県,9,9,434,500,0,25,25,0,108,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
30,和歌山県,0,0,150,177,0,32,32,0,137,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
31,鳥取県,1,1,322,300,0,48,48,0,640,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
32,島根県,0,0,253,253,0,30,46,0,65,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
33,岡山県,2,2,220,250,0,11,40,0,78,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
34,広島県,4,4,266,270,0,35,35,0,130,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
35,山口県,0,0,423,423,0,102,102,0,638,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
36,徳島県,4,4,172,200,0,47,49,0,208,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
37,香川県,0,0,163,163,0,15,15,0,101,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
38,愛媛県,0,0,223,223,0,15,43,0,67,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
39,高知県,0,0,166,200,0,16,50,0,16,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
40,福岡県,38,38,490,1800,2,60,300,0,826,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
41,佐賀県,0,0,146,232,0,32,47,0,230,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
42,長崎県,1,1,307,903,0,21,29,0,163,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
43,熊本県,0,0,378,400,0,48,48,0,1430,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
44,大分県,0,0,258,300,0,35,35,0,700,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
45,宮崎県,1,1,204,231,0,21,21,0,200,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
46,鹿児島県,108,58,253,253,1,48,48,34,188,16,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
47,沖縄県,0,0,225,430,0,33,37,0,0,0,0,0,2021-07-08,https://www.mhlw.go.jp/content/10900000/000650177.pdf
