"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","33426","1098","727","0","１／３","1603","2306","0","32%","3%","7","7","0","１／３","90","124","0","6%","280","0","１／３","1085","2215","0","13%","0","１／３","14","56","0%","31138","0","910","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"02","青森県","4077","179","118","0","３／５","460","472","0","25%","4%","0","0","0","１／５","31","31","0","0%","34","0","３／５","660","660","0","5%","0","－","0","0","－","3864","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"03","岩手県","4439","89","89","0","１／２","208","329","0","27%","2%","1","1","0","１／２","32","34","0","3%","48","0","１／２","100","280","0","17%","0","－","0","0","－","4302","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"04","宮城県","7697","193","128","0","Ⅰ／Ⅰ","605","605","0","21%","3%","2","2","0","Ⅰ／Ⅰ","55","55","0","4%","386","0","Ⅰ／Ⅰ","2090","2090","0","18%","0","－","0","0","－","6581","0","537","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"05","秋田県","4106","220","102","0","６／６","316","316","0","32%","5%","2","2","0","６／６","24","24","0","8%","48","0","６／６","415","415","0","12%","0","－","0","0","－","3820","256","18","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"06","山形県","6325","215","80","0","Ⅰ／Ⅱ","278","278","0","29%","3%","0","0","0","Ⅰ／Ⅱ","26","26","0","0%","27","0","Ⅰ／Ⅱ","348","348","0","8%","0","Ⅰ／Ⅱ","0","0","－","6083","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"07","福島県","6980","234","233","0","２／３","672","768","8","30%","3%","0","0","0","２／３","46","46","0","0%","242","0","２／３","1224","1224","0","20%","0","２／３","19","27","0%","6504","112","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"08","茨城県","5692","209","209","0","２／４","410","609","0","34%","4%","4","4","0","１／４","30","72","0","6%","306","0","４／５","1539","2689","0","11%","0","－","0","0","－","5177","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"09","栃木県","4795","133","133","1","２／３","349","589","33","23%","3%","3","3","0","２／３","26","46","0","7%","52","0","２／３","755","1050","0","5%","1","２／３","33","33","3%","4610","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"10","群馬県","5682","327","236","0","２／４","335","676","0","35%","6%","2","2","0","１／４","10","37","0","5%","181","0","３／６","692","1727","0","10%","0","２／４","0","6","0%","4621","179","553","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"11","埼玉県","14400","457","421","0","３／４","1060","1637","130","26%","3%","10","10","0","１／４","60","191","0","5%","303","0","４／４","1702","1986","0","15%","3","４／４","8","152","2%","13311","0","326","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"12","千葉県","11493","502","342","7","１／２","1040","1729","189","20%","4%","3","3","0","１／２","69","126","0","2%","168","0","１／２","1233","1758","3","10%","33","１／２","33","192","17%","10797","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"13","東京都","30154","1696","1544","237","１／２","3716","7496","579","21%","6%","257","257","0","１／２","716","1047","0","25%","1060","4","１／２","6280","7870","370","13%","277","１／２","1368","1736","16%","22861","215","4501","78","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"14","神奈川県","17841","451","451","0","１／４","1112","2100","0","21%","3%","16","16","0","１／４","100","210","0","8%","87","0","１／１","1798","1798","0","5%","0","－","0","0","－","17286","233","17","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"15","新潟県","7324","148","148","0","１／４","388","688","0","22%","2%","0","0","0","１／４","50","112","0","0%","39","0","３／３","357","357","0","11%","0","１／３","0","10","0%","7137","149","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"16","富山県","3674","87","79","0","２／３","245","481","0","16%","2%","0","0","0","２／３","14","36","0","0%","69","0","２／３","510","510","0","14%","0","２／３","0","0","－","3518","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"17","石川県","3751","107","107","0","３／３","314","314","0","34%","3%","2","2","0","３／３","37","37","0","5%","36","0","３／３","630","630","0","6%","0","３／３","0","0","－","3608","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"18","福井県","1247","55","55","0","１／４","148","503","100","11%","4%","1","1","0","１／４","6","24","0","4%","64","0","２／４","425","575","0","11%","0","１／４","0","100","0%","1128","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"19","山梨県","2496","57","57","0","１／５","129","438","0","13%","2%","0","0","0","１／５","7","24","0","0%","156","24","１／５","969","969","639","16%","24","１／５","639","639","4%","2278","62","5","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"20","長野県","10112","277","175","0","２／３","445","531","0","33%","3%","0","0","0","２／３","37","43","0","0%","111","0","２／３","735","735","0","15%","0","－","0","0","－","9724","317","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"21","岐阜県","6003","151","144","0","１／４","361","886","0","16%","3%","0","0","0","１／４","55","59","0","0%","188","0","２／３","1932","1932","4","10%","0","２／３","4","4","0%","5603","234","61","6","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"22","静岡県","6896","183","162","0","３／３","827","827","0","20%","3%","1","1","0","３／３","58","58","0","2%","45","0","３／３","773","773","0","6%","0","３／３","0","50","0%","6668","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"23","愛知県","15736","461","374","0","１／２","1237","1769","0","21%","3%","9","9","0","１／２","133","166","0","5%","257","0","１／２","2679","2737","0","9%","0","１／２","0","0","－","14331","0","687","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"24","三重県","3875","99","81","0","３／３","493","493","0","16%","3%","0","0","0","３／３","50","50","0","0%","22","0","３／３","468","468","0","5%","0","３／３","0","0","－","3754","26","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"25","滋賀県","3547","113","110","2","３／４","363","419","30","26%","3%","3","3","0","３／４","44","44","0","7%","57","0","３／４","631","631","0","9%","2","３／４","30","30","7%","3372","2","5","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"26","京都府","4191","162","162","0","２／２","1033","1033","110","16%","4%","16","16","0","２／２","175","175","0","9%","125","0","１／１","1126","1126","0","11%","0","２／２","110","110","0%","3904","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"27","大阪府","21384","857","803","0","１／５","2096","4725","0","17%","4%","230","230","0","１／５","1133","1544","0","15%","831","47","５／７","6002","9497","188","9%","47","Ⅰ／Ⅰ","196","226","21%","19696","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"28","兵庫県","10126","336","336","0","３／５","1000","1712","0","20%","3%","5","5","0","３／５","100","142","0","4%","123","0","３／５","1500","2411","0","5%","0","－","0","0","－","9667","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"29","奈良県","2808","150","100","0","２／３","303","555","0","18%","5%","2","2","0","２／３","25","36","0","6%","62","0","２／３","969","969","0","6%","0","２／３","0","0","－","2596","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"30","和歌山県","2505","192","192","0","２／４","242","636","0","30%","8%","1","1","0","２／４","17","26","0","4%","41","0","２／４","178","178","0","23%","0","２／４","178","181","0%","2272","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"31","鳥取県","1894","63","63","0","３／３","141","351","5","18%","3%","0","0","0","３／３","30","47","0","0%","10","0","２／２","448","448","0","2%","0","１／１","5","5","0%","1821","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"32","島根県","2122","109","44","0","５／５","249","371","0","12%","5%","1","1","0","５／５","5","28","0","4%","9","0","５／５","133","133","0","7%","0","－","0","0","－","1901","0","103","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"33","岡山県","4514","112","86","0","２／４","177","601","0","14%","2%","4","4","0","１／４","11","67","0","6%","49","0","２／３","373","629","0","8%","0","２／４","0","5","0%","4350","87","3","3","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"34","広島県","9885","152","123","1","２／４","380","515","19","24%","2%","1","1","0","２／４","26","42","0","2%","209","0","２／４","1131","1779","0","12%","1","２／４","19","19","5%","9524","14","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"35","山口県","3567","132","132","0","２／４","315","680","0","19%","4%","1","1","0","２／４","12","47","0","2%","26","0","２／４","671","671","0","4%","0","２／４","0","0","－","3409","156","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"36","徳島県","1212","44","44","0","２／５","152","286","22","15%","4%","2","2","0","２／５","6","25","0","8%","27","0","５／５","414","414","0","7%","0","２／５","0","22","0%","1141","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"37","香川県","3306","123","47","0","２／３","203","273","0","17%","4%","0","0","0","２／３","21","30","0","0%","60","0","２／２","474","474","0","13%","0","２／３","0","0","－","3122","61","1","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"38","愛媛県","3302","84","81","0","２／３","306","391","0","21%","3%","3","3","0","２／３","9","19","0","16%","33","0","３／３","263","263","67","13%","0","２／３","67","67","0%","3185","55","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"39","高知県","1058","47","47","0","３／５","218","365","0","13%","4%","0","0","0","３／５","16","24","0","0%","9","0","３／５","190","190","0","5%","0","３／５","0","0","－","1002","33","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
"40","福岡県","7910","344","269","0","３／５","873","2024","0","13%","4%","2","2","0","３／５","119","217","0","1%","141","0","４／４","2432","2432","19","6%","0","１／２","19","222","0%","7425","0","0","0","2022-11-02","https://www.mhlw.go.jp/content/10900000/001010089.xlsx"
