"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","603","333","333","３／３","2088","2088","16%","55%","18","18","３／３","151","151","12%","63","２／２","2385","2385","3%","76","1","131","3","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"02","青森県","61","22","22","２／４","247","261","8%","36%","0","0","２／４","31","31","0%","11","４／４","310","310","4%","24","0","4","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"03","岩手県","84","66","66","２／３","250","350","19%","79%","1","1","２／３","30","45","2%","16","２／３","85","381","4%","0","0","2","2","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"04","宮城県","102","33","33","５／５","359","361","9%","32%","2","2","５／５","45","45","4%","48","５／５","850","850","6%","12","0","9","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"05","秋田県","62","24","24","４／６","135","230","10%","39%","1","1","４／６","13","22","5%","35","４／６","304","304","12%","0","0","3","2","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"06","山形県","14","14","14","３／４","237","237","6%","100%","1","1","３／４","26","26","4%","0","３／４","134","134","0%","0","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"07","福島県","163","142","142","４／４","496","496","29%","87%","4","4","４／４","45","49","8%","11","４／４","277","277","4%","1","0","9","6","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"08","茨城県","231","105","105","２／４","300","600","18%","45%","5","5","２／４","40","70","7%","67","４／６","300","630","11%","59","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"09","栃木県","217","101","101","２／３","371","448","23%","47%","8","8","２／３","27","46","17%","74","１／３","557","638","12%","25","0","17","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"10","群馬県","37","25","25","２／４","284","459","5%","68%","3","3","２／４","21","76","4%","12","２／４","429","1300","1%","0","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"11","埼玉県","1202","338","338","４／４","1666","1666","20%","28%","21","21","４／４","165","165","13%","320","３／４","1237","1986","16%","272","0","272","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"12","千葉県","1172","376","368","２／３","1275","1275","29%","32%","17","16","２／３","101","101","16%","362","２／３","1012","1012","36%","359","0","75","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"13","東京都","4935","1677","1671","４／４","5594","6044","28%","34%","467","467","４／４","1207","1207","39%","1412","４／４","2800","2800","50%","1099","1","747","78","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"14","神奈川県","1823","416","416","３／４","1530","1790","23%","23%","32","32","３／４","162","199","16%","382","１／１","1657","1657","23%","956","1","69","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"15","新潟県","51","35","35","２／３","555","555","6%","69%","0","0","２／３","112","112","0%","4","２／３","300","300","1%","7","0","5","5","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"16","富山県","19","19","19","１／４","83","500","4%","100%","1","1","１／４","12","36","3%","0","１／４","250","250","0%","0","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"17","石川県","54","40","40","１／３","153","270","15%","74%","1","1","１／３","32","37","3%","10","１／３","560","560","2%","0","0","4","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"18","福井県","118","110","110","４／５","239","304","36%","93%","1","1","４／５","22","24","4%","8","４／５","95","146","5%","0","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"19","山梨県","54","37","37","３／４","210","305","12%","69%","0","0","３／４","24","24","0%","13","３／４","449","449","3%","4","4","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"20","長野県","41","27","27","２／３","342","490","6%","66%","0","0","２／３","34","42","0%","6","２／３","523","523","1%","8","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"21","岐阜県","59","50","50","１／３","326","783","6%","85%","3","3","１／３","53","59","5%","6","１／３","265","1097","1%","0","0","3","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"22","静岡県","244","94","94","４／５","595","606","16%","39%","6","6","４／５","57","58","10%","53","４／５","636","736","7%","64","22","33","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"23","愛知県","578","228","222","４／４","1515","1515","15%","39%","12","12","４／４","146","146","8%","65","４／４","1109","1300","5%","233","0","52","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"24","三重県","65","50","50","３／３","436","436","11%","77%","3","3","３／３","50","50","6%","7","３／３","240","240","3%","8","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"25","滋賀県","61","37","37","４／４","372","374","10%","61%","5","5","４／４","52","52","10%","18","４／４","400","400","5%","5","0","1","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"26","京都府","148","49","49","３／３","498","498","10%","33%","5","5","３／３","86","86","6%","50","３／３","826","826","6%","49","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"27","大阪府","1247","437","437","３／４","2191","2847","15%","35%","134","134","３／４","822","922","15%","235","２／４","1878","3986","6%","367","0","208","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"28","兵庫県","258","148","148","６／６","1151","1151","13%","57%","16","16","６／６","136","136","12%","60","６／６","1475","1475","4%","31","0","19","7","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"29","奈良県","132","82","82","２／３","372","448","18%","62%","8","8","２／３","27","34","24%","24","２／３","711","711","3%","0","0","26","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"30","和歌山県","15","15","15","２／３","400","470","3%","100%","1","1","２／３","26","26","4%","0","２／３","137","137","0%","0","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"31","鳥取県","28","27","27","２／３","264","328","8%","96%","0","0","２／３","44","47","0%","0","１／１","141","141","0%","0","0","1","1","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"32","島根県","2","2","2","１／５","115","324","1%","100%","0","0","１／５","5","25","0%","0","１／５","98","98","0%","0","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"33","岡山県","22","13","13","３／４","395","492","3%","59%","1","1","３／４","47","58","2%","8","３／４","404","404","2%","1","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"34","広島県","99","60","60","３／４","510","726","8%","61%","10","10","３／４","48","58","17%","16","３／４","843","1748","1%","20","11","3","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"35","山口県","45","43","43","３／４","427","527","8%","96%","1","1","３／４","30","47","2%","1","３／４","483","1044","0%","0","0","1","1","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"36","徳島県","4","4","4","３／４","234","234","2%","100%","0","0","３／４","25","25","0%","0","３／４","276","276","0%","0","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"37","香川県","13","10","10","２／３","175","230","4%","77%","2","2","２／３","20","28","7%","3","２／３","201","201","1%","0","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"38","愛媛県","4","4","4","３／３","218","218","2%","100%","2","2","３／３","19","19","11%","0","３／３","233","233","0%","0","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"39","高知県","74","46","46","５／５","232","232","20%","62%","5","4","５／５","24","58","7%","22","５／５","140","221","10%","0","0","6","3","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"40","福岡県","345","137","137","４／５","1291","1413","10%","40%","13","13","４／５","188","201","6%","122","４／５","2106","2106","6%","64","0","22","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"41","佐賀県","18","15","15","１／５","172","367","4%","83%","0","0","１／５","8","48","0%","3","１／４","472","472","1%","0","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"42","長崎県","59","25","25","３／４","258","421","6%","42%","0","0","３／４","20","38","0%","25","３／４","406","406","6%","9","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"43","熊本県","32","21","21","１／２","506","605","3%","66%","1","1","１／２","51","56","2%","9","２／２","680","680","1%","2","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"44","大分県","13","13","13","１／４","438","438","3%","100%","0","0","１／４","43","43","0%","0","１／４","150","1014","0%","0","0","0","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"45","宮崎県","21","8","8","１／３","185","307","3%","38%","0","0","１／３","21","33","0%","6","１／３","50","300","2%","5","0","2","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"46","鹿児島県","53","33","33","３／４","288","421","8%","62%","1","1","３／４","19","41","2%","16","３／４","762","762","2%","0","0","4","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
"47","沖縄県","782","297","297","５／５","559","713","42%","38%","46","46","５／５","74","74","62%","126","５／５","563","700","18%","241","0","118","0","2021-07-07","https://www.mhlw.go.jp/content/10900000/000804452.xlsx"
