"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","7307","1059","1059","３／３","1981","1981","53%","14%","56","56","３／３","145","145","39%","315","２／２","2395","2395","13%","2269","136","3664","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"02","青森県","206","84","84","２／４","223","227","37%","41%","1","1","２／４","31","31","3%","51","４／４","310","310","16%","52","0","19","19","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"03","岩手県","123","76","76","２／３","250","350","22%","62%","2","2","２／３","30","45","4%","35","２／３","85","381","9%","0","0","12","12","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"04","宮城県","173","77","76","５／５","350","350","22%","45%","7","7","５／５","45","45","16%","71","５／５","1000","1000","7%","15","0","10","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"05","秋田県","45","40","32","４／６","132","230","14%","89%","1","1","４／６","13","22","5%","3","４／６","300","300","1%","2","2","0","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"06","山形県","121","81","81","４／４","237","237","34%","67%","4","4","４／４","26","26","15%","7","４／４","134","134","5%","27","0","6","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"07","福島県","205","176","176","４／４","496","513","34%","86%","12","11","４／４","45","49","22%","20","４／４","204","204","10%","7","0","2","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"08","茨城県","402","177","177","４／４","500","600","30%","44%","9","9","４／４","60","70","13%","79","４／６","300","630","13%","146","0","0","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"09","栃木県","314","157","157","２／３","371","448","35%","50%","12","12","２／３","27","46","26%","105","２／３","557","638","16%","35","0","17","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"10","群馬県","340","188","187","３／４","408","459","41%","55%","19","19","３／４","29","76","25%","118","３／４","971","1300","9%","0","0","34","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"11","埼玉県","1586","590","567","４／４","1644","1644","34%","37%","44","44","４／４","163","163","27%","258","３／４","885","1986","13%","460","0","278","118","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"12","千葉県","954","340","340","４／４","1361","1361","25%","36%","17","17","４／４","94","94","18%","256","４／４","244","1012","25%","224","0","134","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"13","東京都","4686","1932","1899","４／４","5594","5594","34%","41%","504","504","４／４","1207","1207","42%","988","４／４","2830","2830","35%","1176","0","590","64","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"14","神奈川県","1925","565","565","３／４","1491","1790","32%","29%","66","66","３／４","163","199","33%","356","１／１","1423","1423","25%","1004","9","0","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"15","新潟県","258","165","165","２／３","555","555","30%","64%","5","5","２／３","112","112","4%","30","２／３","222","222","14%","52","0","11","11","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"16","富山県","210","128","128","３／４","438","500","26%","61%","8","8","３／４","36","36","22%","31","３／４","250","250","12%","51","31","0","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"17","石川県","376","197","197","３／３","435","435","45%","52%","9","9","３／３","39","39","23%","132","３／３","560","560","24%","33","22","14","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"18","福井県","29","29","29","２／４","129","255","11%","100%","0","0","２／４","10","24","0%","0","１／４","70","75","0%","0","0","0","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"19","山梨県","97","71","71","３／４","210","305","23%","73%","1","1","３／４","24","24","4%","26","３／４","449","449","6%","0","0","0","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"20","長野県","253","170","143","２／３","342","490","29%","67%","7","7","２／３","34","42","17%","51","２／３","375","523","10%","30","0","2","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
"21","岐阜県","695","418","418","３／３","783","783","53%","60%","17","17","３／３","59","59","29%","193","３／３","721","957","20%","0","0","84","0","2021-06-02","https://www.mhlw.go.jp/content/10900000/000788635.xlsx"
