"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","92","23","23","１／３","1114","2000","1%","25%","1","1","１／３","82","137","1%","19","２／２","2370","2370","1%","48","5","2","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"02","青森県","6","4","4","２／４","340","350","1%","67%","1","1","２／４","31","31","3%","0","２／４","700","700","0%","2","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"03","岩手県","0","0","0","２／３","250","350","0%","－","0","0","２／３","30","45","0%","0","２／３","247","511","0%","0","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"04","宮城県","11","3","3","５／５","498","498","1%","27%","1","1","５／５","54","54","2%","3","５／５","1250","1250","0%","4","1","1","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"05","秋田県","7","5","5","３／６","136","273","2%","71%","0","0","３／６","10","22","0%","2","３／６","395","395","1%","0","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"06","山形県","8","6","6","３／４","237","237","3%","75%","0","0","３／４","26","26","0%","0","３／４","348","348","0%","0","0","2","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"07","福島県","3","3","3","４／４","637","637","0%","100%","2","2","４／４","45","49","4%","0","４／４","503","503","0%","0","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"08","茨城県","34","9","9","３／４","410","600","2%","26%","3","3","３／４","50","70","4%","22","６／９","1020","1345","2%","3","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"09","栃木県","9","8","8","１／３","374","502","2%","89%","1","1","１／３","27","46","2%","1","１／３","665","725","0%","0","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"10","群馬県","59","42","42","１／４","195","523","8%","71%","0","0","１／４","15","76","0%","15","１／６","183","1747","1%","2","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"11","埼玉県","117","62","62","３／４","1335","1774","3%","53%","15","15","３／４","162","183","8%","19","４／４","1925","1986","1%","25","0","11","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"12","千葉県","78","35","35","２／３","969","1305","3%","45%","2","2","２／３","76","106","2%","15","２／３","1390","1390","1%","18","0","10","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"13","東京都","322","134","128","１／３","4868","6651","2%","42%","44","43","１／３","1207","1207","4%","32","４／４","3230","3230","1%","82","0","74","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"14","神奈川県","120","63","63","１／４","1171","2000","3%","53%","8","8","１／４","105","210","4%","9","１／１","2076","2076","0%","47","0","1","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"15","新潟県","10","6","6","１／３","351","555","1%","60%","0","0","１／３","39","112","0%","0","１／３","300","300","0%","2","0","2","2","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"16","富山県","8","4","4","１／４","83","500","1%","50%","0","0","１／４","12","36","0%","3","１／４","625","625","0%","1","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"17","石川県","6","4","4","２／３","250","303","1%","67%","0","0","２／３","33","37","0%","2","２／３","560","560","0%","0","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
"18","福井県","9","2","2","１／５","95","424","0%","22%","0","0","１／５","4","24","0%","7","１／５","187","316","2%","0","0","0","0","2021-11-03","https://www.mhlw.go.jp/content/10900000/000852179.xlsx"
