"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","22122","674","452","0","２／３","1675","2147","0","21%","3%","6","6","0","２／３","106","138","0","4%","326","0","２／３","2085","2215","0","15%","0","２／３","62","62","0%","20282","404","840","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"02","青森県","2310","110","110","0","３／５","435","457","0","24%","5%","1","1","0","１／５","31","31","0","3%","93","0","３／５","890","890","0","10%","0","－","0","0","－","1885","97","222","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"03","岩手県","2734","73","70","0","２／２","301","301","0","23%","3%","0","0","0","２／２","31","31","0","0%","81","0","２／２","280","280","0","29%","0","－","0","0","－","2580","121","0","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"04","宮城県","3845","114","73","0","Ⅰ／Ⅰ","523","523","0","14%","3%","1","1","0","Ⅰ／Ⅰ","55","55","0","2%","745","0","Ⅰ／Ⅰ","1950","1950","0","38%","0","－","0","0","－","2651","0","335","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"05","秋田県","1554","68","59","0","６／６","289","289","0","20%","4%","0","0","0","６／６","24","24","0","0%","66","0","６／６","415","415","0","16%","0","－","0","0","－","1149","158","271","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"06","山形県","1885","92","43","0","Ⅰ／Ⅱ","226","261","0","16%","5%","0","0","0","Ⅰ／Ⅱ","26","26","0","0%","43","0","Ⅰ／Ⅱ","348","348","0","12%","0","Ⅰ／Ⅱ","0","0","－","1724","0","26","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"07","福島県","3729","178","146","0","３／３","751","751","8","19%","5%","0","0","0","３／３","47","47","0","0%","334","0","３／３","1547","1547","0","22%","0","３／３","16","24","0%","3046","8","171","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"08","茨城県","3147","65","65","0","１／４","300","608","0","11%","2%","2","2","0","１／４","30","72","0","3%","224","0","５／５","1437","2600","0","9%","0","１／４","0","0","－","2858","21","0","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"09","栃木県","3275","75","75","0","２／３","618","618","71","12%","2%","4","4","0","２／３","32","46","0","9%","230","0","２／３","990","1050","0","22%","0","２／３","71","71","0%","2970","31","0","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"10","群馬県","3044","134","120","0","３／４","532","603","0","20%","4%","2","2","0","１／４","13","37","0","5%","334","0","５／６","1266","1727","0","19%","0","３／４","6","6","0%","2302","68","274","3","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"11","埼玉県","9738","377","352","0","４／４","1827","1827","130","19%","4%","1","1","0","４／４","191","191","0","1%","363","0","４／４","1984","1992","8","18%","0","４／４","138","138","0%","8023","0","975","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"12","千葉県","6831","175","165","9","２／２","1464","1619","262","10%","3%","4","4","0","２／２","119","124","0","3%","254","0","２／２","1956","1956","3","13%","9","２／２","217","265","3%","6252","0","150","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"13","東京都","41938","1176","1169","38","１／２","6384","7216","217","16%","3%","200","200","0","１／２","1468","1468","0","14%","1771","32","１／２","8580","8580","290","21%","150","１／２","1342","1707","9%","23880","115","15031","40","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"14","神奈川県","13414","320","320","9","２／４","1416","2100","143","15%","2%","8","8","0","２／４","128","210","0","4%","250","0","１／１","2437","2437","0","10%","9","２／４","78","143","6%","12832","196","12","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"15","新潟県","3450","62","62","0","３／４","577","664","0","9%","2%","1","1","0","３／４","112","112","0","1%","32","0","３／３","300","357","0","9%","0","３／３","10","10","0%","3356","38","0","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"16","富山県","2396","48","48","0","１／３","111","481","0","10%","2%","1","1","0","１／３","12","36","0","3%","161","0","１／３","760","760","0","21%","0","１／３","0","0","－","1982","17","205","1","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"17","石川県","3671","67","67","0","Ⅰ／Ⅱ","410","410","0","16%","2%","1","1","0","Ⅰ／Ⅱ","37","37","0","3%","72","0","Ⅰ／Ⅱ","630","630","0","11%","0","Ⅰ／Ⅱ","0","0","－","2915","40","617","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"18","福井県","1713","57","57","0","３／５","216","441","100","13%","3%","0","0","0","３／５","20","24","0","0%","283","0","２／５","425","575","0","49%","0","３／５","0","100","0%","1373","0","0","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"19","山梨県","897","37","37","0","５／５","389","389","0","10%","4%","0","0","0","５／５","24","24","0","0%","246","216","５／５","1135","1135","639","22%","216","５／５","639","639","34%","581","1","33","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"20","長野県","3556","96","93","0","３／３","450","513","0","18%","3%","0","0","0","３／３","38","43","0","0%","257","0","３／３","806","806","0","32%","0","－","0","0","－","2894","7","309","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"21","岐阜県","4636","264","262","0","３／４","705","894","0","29%","6%","0","0","0","３／４","59","59","0","0%","601","0","３／３","1932","1932","4","31%","0","３／４","4","4","0%","2993","27","778","36","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"22","静岡県","7663","99","99","0","３／３","614","644","0","15%","1%","0","0","0","３／３","54","60","0","0%","163","0","３／３","1057","1057","0","15%","0","３／３","75","75","0%","7385","24","16","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"23","愛知県","17896","401","303","0","２／２","1707","1707","0","18%","2%","5","5","0","２／２","172","172","0","3%","642","0","２／２","2224","2224","0","29%","0","２／２","0","0","－","14383","51","2470","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"24","三重県","3211","114","92","0","３／３","463","463","0","20%","4%","0","0","0","３／３","50","50","0","0%","87","0","３／３","665","665","0","13%","0","３／３","0","0","－","2999","0","11","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"25","滋賀県","2689","92","76","0","Ⅰ／Ⅰ","500","503","30","15%","3%","0","0","0","Ⅰ／Ⅰ","52","52","0","0%","98","0","Ⅰ／Ⅰ","630","630","0","16%","0","Ⅰ／Ⅰ","30","30","0%","2491","17","8","7","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"26","京都府","7720","137","137","0","２／２","960","960","110","14%","2%","4","4","0","２／２","171","171","0","2%","209","0","１／１","1126","1126","0","19%","0","２／２","110","110","0%","7374","0","0","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"27","大阪府","29811","837","837","0","２／５","3011","4030","0","21%","3%","204","204","0","２／５","1135","1464","0","14%","1332","35","５／７","6290","11216","150","12%","35","Ⅰ／Ⅰ","156","191","18%","21367","0","6275","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"28","兵庫県","11818","277","277","0","５／５","1529","1529","0","18%","2%","4","4","0","５／５","142","142","0","3%","284","0","５／５","2411","2411","0","12%","0","－","0","0","－","10540","0","717","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"29","奈良県","3798","83","59","0","３／３","522","522","0","11%","2%","1","1","0","３／３","36","36","0","3%","195","0","３／３","1083","1083","0","18%","0","３／３","0","0","－","0","0","3520","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
"30","和歌山県","1415","196","196","0","３／３","614","614","0","32%","14%","0","0","0","３／３","26","26","0","0%","58","0","３／３","178","178","0","33%","0","３／３","178","181","0%","1161","0","0","0","2022-05-25","https://www.mhlw.go.jp/content/10900000/000943891.xlsx"
