"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","19560","1130","659","0","３／３","2258","2258","0","29%","6%","3","3","0","３／３","138","138","0","2%","175","0","２／３","2085","2215","0","8%","0","２／３","56","56","0%","16765","455","1490","0","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"02","青森県","5008","201","166","0","３／５","472","484","0","34%","4%","4","4","0","１／５","31","31","0","13%","27","0","３／５","660","660","0","4%","0","－","0","0","－","2332","54","2448","0","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"03","岩手県","2398","105","85","0","２／２","343","343","0","25%","4%","0","0","0","２／２","31","34","0","0%","24","0","２／２","280","280","0","9%","0","－","0","0","－","2269","41","0","0","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"04","宮城県","851","535","150","0","Ⅰ／Ⅰ","580","580","0","26%","－","8","8","0","Ⅰ／Ⅰ","55","55","0","15%","316","0","Ⅰ／Ⅰ","2090","2090","0","15%","0","－","0","0","－","－","0","－","0","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"05","秋田県","9168","177","126","0","６／６","321","321","0","39%","2%","0","0","0","６／６","24","24","0","0%","38","0","６／６","415","415","0","9%","0","－","0","0","－","8830","313","123","0","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"06","山形県","278","250","90","0","Ⅰ／Ⅱ","283","283","0","32%","－","1","1","0","Ⅰ／Ⅱ","26","26","0","4%","28","0","Ⅰ／Ⅱ","348","348","0","8%","0","Ⅰ／Ⅱ","0","0","－","－","－","－","0","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"07","福島県","5416","276","201","0","３／３","757","769","8","26%","5%","2","2","0","３／３","45","45","0","4%","174","0","３／３","1547","1547","0","11%","0","３／３","19","27","0%","4966","65","0","0","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"08","茨城県","736","344","344","0","４／４","600","609","0","56%","－","9","9","0","１／４","30","72","0","13%","392","0","４／５","1614","2689","0","15%","0","－","0","0","－","－","0","0","0","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"09","栃木県","6328","173","173","8","３／３","578","680","102","25%","3%","3","3","0","３／３","46","46","0","7%","90","0","２／３","755","1050","0","9%","8","３／３","102","102","8%","6065","115","0","0","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"10","群馬県","8130","213","204","0","４／４","669","669","0","30%","3%","2","2","0","１／４","13","37","0","5%","320","0","６／６","1508","1727","0","19%","0","４／４","6","6","0%","4325","116","3272","2","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"11","埼玉県","19697","775","718","0","４／４","1804","1922","130","37%","4%","19","19","0","１／４","73","191","0","10%","238","0","４／４","1747","1986","8","12%","5","４／４","160","160","3%","16857","0","1822","0","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"12","千葉県","16849","975","530","19","２／２","1757","1838","224","29%","6%","7","7","0","２／２","133","133","0","5%","235","0","２／２","1518","1956","3","12%","19","２／２","187","227","8%","15257","0","382","0","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"13","東京都","61574","2148","2071","154","２／２","6862","7496","579","28%","3%","335","335","0","１／２","930","1047","0","32%","1657","5","２／２","9300","9300","550","18%","248","２／２","1958","2056","12%","26189","307","31491","66","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"14","神奈川県","27938","830","830","22","３／４","1967","2100","143","40%","3%","33","33","0","１／４","124","210","0","16%","176","0","１／１","2451","2451","0","7%","22","３／４","22","143","15%","26777","415","155","0","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"15","新潟県","7015","203","203","0","３／４","597","688","0","30%","3%","0","0","0","３／４","112","112","0","0%","47","0","３／３","357","357","0","13%","0","３／３","10","10","0%","6765","216","0","0","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"16","富山県","4601","125","123","0","３／３","463","481","0","26%","3%","0","0","0","３／３","34","36","0","0%","63","0","３／３","510","510","0","12%","0","３／３","0","0","－","3795","40","618","1","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
"17","石川県","4421","87","87","0","Ⅰ／Ⅱ","413","413","0","21%","2%","0","0","0","Ⅰ／Ⅱ","37","37","0","0%","26","0","Ⅰ／Ⅱ","630","630","0","4%","0","Ⅰ／Ⅱ","0","0","－","4039","0","269","0","2022-09-21","https://www.mhlw.go.jp/content/10900000/000993606.xlsx"
