"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","重症患者病床使用率","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","宿泊療養施設居室使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","83","39","39","１／３","1211","2028","2%","47%","1","1","１／３","87","134","1%","5","１／３","1450","2500","0%","17","0","22","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"02","青森県","0","0","0","１／５","362","396","0%","－","0","0","１／５","31","31","0%","0","１／５","700","700","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"03","岩手県","0","0","0","１／２","203","301","0%","－","0","0","１／２","29","31","0%","0","１／２","100","280","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"04","宮城県","4","1","1","５／５","506","506","0%","25%","0","0","５／５","55","55","0%","2","５／５","1250","1250","0%","0","0","1","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"05","秋田県","8","1","1","３／６","140","289","0%","13%","0","0","３／６","10","24","0%","5","３／６","395","395","1%","0","0","2","1","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"06","山形県","35","16","16","３／４","237","237","7%","46%","0","0","３／４","26","26","0%","0","３／４","348","348","0%","19","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"07","福島県","7","6","6","２／３","637","709","1%","86%","1","1","２／３","40","47","2%","0","２／３","300","480","0%","0","0","1","1","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"08","茨城県","1","1","1","１／４","300","607","0%","100%","1","1","１／４","30","72","1%","0","３／５","1020","2600","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"09","栃木県","16","1","1","１／３","360","533","0%","6%","0","0","１／３","22","46","0%","7","１／３","665","785","1%","6","0","2","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"10","群馬県","83","17","17","１／４","219","558","3%","20%","2","2","１／４","14","37","5%","53","２／６","369","1727","3%","9","0","4","4","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"11","埼玉県","71","36","36","２／４","990","1715","2%","51%","3","3","２／４","124","198","2%","13","４／４","1925","1986","1%","13","0","9","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"12","千葉県","44","10","10","１／２","924","1457","1%","23%","0","0","１／２","78","124","0%","19","１／２","1805","1805","1%","12","0","3","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"13","東京都","163","70","68","１／３","4703","6891","1%","43%","15","14","１／３","1468","1468","1%","33","１／３","1900","7966","0%","31","0","28","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"14","神奈川県","79","18","18","１／４","979","2100","1%","23%","0","0","１／４","95","210","0%","5","１／１","2076","2076","0%","56","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"15","新潟県","18","9","9","１／４","351","653","1%","50%","0","0","１／４","39","112","0%","0","１／３","300","300","0%","8","0","1","1","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"16","富山県","0","0","0","１／３","111","481","0%","－","0","0","１／３","12","36","0%","0","１／３","625","625","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"17","石川県","0","0","0","１／３","153","303","0%","－","0","0","１／３","32","37","0%","0","１／３","560","560","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"18","福井県","0","0","0","１／５","38","425","0%","－","0","0","１／５","2","24","0%","0","１／５","187","316","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"19","山梨県","0","0","0","１／５","98","376","0%","－","0","0","１／５","7","24","0%","0","１／５","966","966","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"20","長野県","7","7","7","１／３","156","513","1%","100%","0","0","１／３","30","43","0%","0","１／３","806","806","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"21","岐阜県","7","6","6","１／４","317","882","1%","86%","0","0","１／４","53","59","0%","1","１／３","446","1621","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"22","静岡県","29","2","2","１／３","506","763","0%","7%","0","0","１／３","49","69","0%","3","１／３","870","954","0%","22","0","2","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"23","愛知県","42","8","8","１／２","1141","1666","0%","19%","0","0","１／２","134","172","0%","10","１／２","1628","1628","1%","13","0","11","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"24","三重県","1","1","1","３／３","455","455","0%","100%","0","0","３／３","50","50","0%","1","１／２","230","375","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"25","滋賀県","7","5","5","４／４","441","483","1%","71%","0","0","４／４","52","52","0%","2","４／４","677","677","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"26","京都府","12","12","12","１／２","689","875","1%","100%","1","1","１／２","154","171","1%","0","１／１","1126","1126","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"27","大阪府","117","34","34","１／５","1997","3654","1%","29%","9","9","１／５","976","1368","1%","15","３／７","2485","8514","0%","61","0","7","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"28","兵庫県","57","24","24","１／５","300","1417","2%","42%","3","3","１／５","30","142","2%","11","１／５","300","2411","0%","20","0","2","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"29","奈良県","5","2","2","２／３","360","481","0%","40%","0","0","２／３","32","34","0%","2","２／３","1136","1136","0%","0","0","1","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"30","和歌山県","1","1","1","３／３","560","560","0%","100%","0","0","３／３","26","26","0%","0","３／３","151","201","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"31","鳥取県","0","0","0","１／３","228","350","0%","－","0","0","１／３","19","47","0%","0","１／２","277","364","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
"32","島根県","1","1","1","１／５","172","360","0%","100%","0","0","１／５","5","28","0%","0","１／５","133","133","0%","0","0","0","0","2021-12-08","https://www.mhlw.go.jp/content/10900000/000872068.xlsx"
