"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者フェーズ","入院患者受入確保病床","入院患者病床使用率","入院患者即応病床数","うち重症者数","重症者フェーズ","重症患者受入確保病床数","重症患者病床使用率","重症患者即応病床数","宿泊療養者数","宿泊療養フェーズ","宿泊施設受入可能室数","宿泊療養施設居室使用率","宿泊療養施設施設居室","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","759","436","２／３","1863","23%","1863","18","２／３","161","11%","161","205","２／２","1835","11%","1835","100","18","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"02","青森県","60","37","１／４","193","19%","225","0","１／４","31","0%","30","19","１／４","370","5%","100","3","0","1","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"03","岩手県","32","22","２／３","385","6%","350","0","２／３","60","0%","45","10","２／３","381","3%","300","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"04","宮城県","1315","161","５／５","345","47%","450","10","５／５","43","23%","65","436","５／５","650","67%","650","718","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"05","秋田県","6","6","２／４","229","3%","235","0","２／４","24","0%","27","0","２／４","70","0%","69","0","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"06","山形県","315","94","３／４","222","42%","215","1","３／４","26","4%","26","26","３／４","134","19%","134","140","0","55","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"07","福島県","258","221","４／４","469","47%","350","11","４／４","49","22%","50","33","４／４","204","16%","160","4","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"08","茨城県","295","105","３／３","619","17%","600","1","３／３","70","1%","70","76","４／５","420","18%","420","114","0","0","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"09","栃木県","171","88","３／４","409","22%","409","2","３／４","46","4%","46","56","３／４","638","9%","638","0","0","27","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"10","群馬県","179","81","３／３","400","20%","330","5","３／３","74","7%","50","73","３／３","1300","6%","1300","0","0","25","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
"11","埼玉県","1322","478","４／４","1509","32%","1512","37","４／４","155","24%","200","311","３／３","1436","22%","1450","426","0","107","2021-03-31","https://www.mhlw.go.jp/content/10900000/000765137.xlsx"
