"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院患者受入確保病床","入院患者受入確保想定病床数","うち重症者数","重症患者受入確保病床数","重症患者受入確保想定病床数","宿泊療養者数","宿泊施設受入可能室数","自宅療養者数","社会福祉施設等療養者数","確認中の人数","更新日","出典"
"01","北海道","136","101","628","1767","2","97","182","32","810","3","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"02","青森県","0","0","158","225","0","29","30","0","30","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"03","岩手県","6","6","205","350","0","25","45","0","225","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"04","宮城県","6","3","345","450","0","43","65","3","100","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"05","秋田県","5","5","231","235","0","21","27","0","16","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"06","山形県","1","1","215","215","1","25","26","0","188","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"07","福島県","36","36","229","350","0","15","50","0","100","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"08","茨城県","64","36","171","500","2","33","70","17","104","11","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"09","栃木県","36","36","311","311","2","41","41","0","111","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"10","群馬県","116","93","302","330","0","23","50","23","150","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"11","埼玉県","546","340","974","1400","12","102","200","99","1225","72","0","35","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"12","千葉県","451","256","1147","1200","9","101","180","80","710","97","0","18","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"13","東京都","2895","1588","3300","4000","（注６）83(42)","400","500","279","3044","538","0","490","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"14","神奈川県","578","269","1939","1939","20","172","200","143","545","166","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"15","新潟県","11","11","456","456","0","112","112","0","176","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"16","富山県","48","43","500","500","2","36","36","5","200","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"17","石川県","156","138","258","254","7","35","35","16","340","0","0","2","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"18","福井県","18","18","190","190","0","24","24","0","75","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"19","山梨県","36","35","285","250","3","24","24","1","28","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"20","長野県","48","48","350","350","1","48","48","0","250","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"21","岐阜県","45","45","397","625","5","49","67","0","466","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"22","静岡県","52","37","300","450","1","37","67","6","155","0","0","9","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"23","愛知県","886","369","791","839","21","70","121","57","1300","417","0","43","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"24","三重県","79","76","363","363","2","51","51","1","100","2","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"25","滋賀県","100","89","175","450","5","36","72","11","62","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"26","京都府","220","110","495","515","（注６）17(1)","86","86","31","338","79","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"27","大阪府","1515","483","1257","1615","72","188","215","203","1517","617","0","212","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"28","兵庫県","232","189","652","650","15","110","120","43","488","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"29","奈良県","108","86","467","500","2","25","25","22","108","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"30","和歌山県","31","31","236","400","0","21","40","0","137","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"31","鳥取県","3","3","313","300","0","47","40","0","340","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"32","島根県","62","5","253","253","0","25","25","57","163","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
"33","岡山県","14","11","250","250","0","37","40","3","207","0","0","0","2020-08-26T00:00","https://www.mhlw.go.jp/content/10900000/000664827.pdf"
