"都道府県番号","都道府県名","PCR検査陽性者数","入院者数","入院者数（確保病床）","入院者数（臨時）","入院患者フェーズ","入院患者受入即応病床数","入院患者受入確保病床","入院患者受入確保病床（臨時）","入院患者病床使用率","入院率","うち重症者数","うち重症者数（確保病床）","うち重症者数（臨時確保病床）","重症者フェーズ","重症患者受入即応病床数","重症患者受入確保病床数","うち重症患者受入確保病床数（臨時）","重症患者病床使用率","宿泊療養者数","うち宿泊療養者数（臨時）","宿泊療養フェーズ","宿泊施設受入即応室数","宿泊施設受入可能室数","うち宿泊施設受入可能室数（臨時）","宿泊療養施設居室使用率","臨時施設療養者数","臨時施設フェーズ","臨時施設即応定員数","臨時施設確保定員数","臨時施設確保定員使用率","自宅療養者数","うち社会福祉施設等療養者数","療養先調整中の人数","うち入院先調整中の人数","更新日","出典"
"01","北海道","47040","2248","1322","0","３／３","2284","2284","0","58%","5%","12","12","0","３／３","116","116","0","10%","350","0","２／３","2085","2215","0","16%","0","２／３","56","56","0%","42934","0","1508","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"02","青森県","8977","492","236","0","３／５","468","480","0","49%","5%","2","2","0","１／５","31","31","0","6%","82","0","３／５","660","660","0","12%","0","－","0","0","－","8403","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"03","岩手県","9895","172","172","0","２／２","348","348","0","49%","2%","1","1","0","２／２","34","34","0","3%","93","0","２／２","280","280","0","33%","0","－","0","0","－","9630","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"04","宮城県","23051","549","378","0","Ⅰ／Ⅰ","592","592","0","64%","2%","11","11","0","Ⅰ／Ⅰ","55","55","0","20%","891","0","Ⅰ／Ⅰ","2090","2090","0","43%","0","－","0","0","－","20482","0","1129","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"05","秋田県","7551","474","182","0","６／６","316","316","0","58%","6%","3","3","0","６／６","24","24","0","13%","85","0","６／６","415","415","0","20%","0","－","0","0","－","6868","1152","124","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"06","山形県","9192","326","121","0","Ⅰ／Ⅱ","284","284","0","43%","4%","1","1","0","Ⅰ／Ⅱ","26","26","0","4%","43","0","Ⅰ／Ⅱ","348","348","0","12%","0","Ⅰ／Ⅱ","0","0","－","8823","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"07","福島県","17078","663","439","0","３／３","766","774","8","57%","4%","2","2","0","３／３","46","46","0","4%","379","0","３／３","1224","1224","0","31%","0","３／３","19","27","0%","16036","389","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"08","茨城県","17292","460","460","0","Ⅰ／Ⅱ","800","803","0","57%","3%","7","7","0","１／７","30","75","0","9%","730","0","４／５","1539","2689","0","27%","0","－","0","0","－","16102","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"09","栃木県","14113","370","370","11","３／３","667","667","102","55%","3%","9","9","0","３／３","46","46","0","20%","108","0","２／３","755","1050","0","10%","11","３／３","102","102","11%","13635","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"10","群馬県","14807","734","443","0","４／４","676","676","0","66%","5%","8","8","0","４／４","37","37","0","22%","227","0","４／６","854","1727","0","13%","0","２／４","0","6","0%","11821","709","2025","2","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"11","埼玉県","43041","1531","1117","0","４／４","1521","1733","0","64%","4%","22","22","0","１／４","66","191","0","12%","749","0","４／４","1702","1986","0","38%","9","４／４","9","23","39%","39743","0","1009","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"12","千葉県","34781","1379","876","31","２／２","1573","1725","189","51%","4%","8","8","0","２／２","113","125","0","6%","384","0","２／２","1758","1758","3","22%","31","２／２","126","192","16%","33018","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"13","東京都","83186","3301","3179","333","２／２","5831","7477","912","43%","4%","475","475","0","１／２","852","1114","0","43%","2202","117","２／２","8120","8120","370","27%","476","２／２","1242","1342","35%","74311","830","3346","228","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"14","神奈川県","51199","1543","1543","0","３／４","2092","2200","0","70%","3%","34","34","0","１／４","95","210","0","16%","293","0","１／１","1551","1551","0","19%","0","－","0","0","－","49295","1165","68","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"15","新潟県","18214","443","443","0","３／４","533","694","0","64%","2%","4","4","0","３／４","112","112","0","4%","44","0","３／３","357","357","0","12%","0","１／３","0","10","0%","17727","491","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"16","富山県","8027","276","259","0","３／３","464","492","0","53%","3%","1","1","0","３／３","36","36","0","3%","109","0","３／３","510","510","0","21%","0","３／３","0","0","－","7642","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"17","石川県","7774","254","254","0","Ⅱ／Ⅱ","426","523","0","49%","3%","2","2","0","Ⅱ／Ⅱ","37","41","0","5%","53","0","Ⅱ／Ⅱ","630","630","0","8%","0","Ⅱ／Ⅱ","0","0","－","7467","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"18","福井県","3511","123","123","0","３／４","224","501","100","25%","4%","0","0","0","３／４","16","24","0","0%","159","0","２／４","425","575","0","28%","0","３／４","0","100","0%","3229","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"19","山梨県","5880","169","169","0","４／５","387","438","0","39%","3%","0","0","0","４／５","24","24","0","0%","137","67","４／５","969","969","639","14%","67","４／５","639","639","10%","5572","489","2","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"20","長野県","17119","678","359","0","３／３","523","531","0","68%","4%","4","4","0","３／３","37","43","0","9%","148","0","３／３","735","735","0","20%","0","－","0","0","－","16293","781","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"21","岐阜県","15370","391","359","0","４／５","695","886","0","41%","3%","2","2","0","４／５","51","59","0","3%","304","0","３／３","1932","1932","4","16%","0","３／３","4","4","0%","14563","894","112","34","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"22","静岡県","18000","353","262","0","３／３","827","827","0","32%","2%","3","3","0","３／３","58","58","0","5%","93","0","３／３","773","773","0","12%","0","３／３","0","50","0%","17554","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"23","愛知県","47671","1788","1100","0","２／２","1690","1690","0","65%","4%","21","21","0","２／２","148","148","0","14%","542","0","２／２","2679","2737","0","20%","0","２／２","0","0","－","43447","0","1894","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"24","三重県","10677","280","235","0","Ⅰ／Ⅱ","558","558","0","42%","3%","5","5","0","Ⅰ／Ⅱ","50","50","0","10%","60","0","３／３","468","468","0","13%","0","１／２","0","10","0%","10337","349","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"25","滋賀県","7946","570","296","15","Ⅰ／Ⅰ","493","501","30","59%","7%","5","5","0","Ⅰ／Ⅰ","52","52","0","10%","65","0","Ⅰ／Ⅰ","502","518","0","13%","15","Ⅰ／Ⅰ","30","30","50%","7302","166","9","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"26","京都府","11462","485","485","0","２／２","1033","1033","110","47%","4%","63","63","0","２／２","175","175","0","36%","159","0","１／１","1126","1126","0","14%","0","２／２","110","110","0%","10818","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"27","大阪府","44828","1627","1555","0","４／５","2745","4716","0","33%","4%","414","413","0","１／５","1146","1555","0","27%","1594","58","５／７","6255","9096","188","18%","58","Ⅰ／Ⅰ","196","226","26%","41607","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"28","兵庫県","23058","692","692","0","３／５","1200","1712","0","40%","3%","17","17","0","３／５","100","142","0","12%","261","0","３／５","1400","1812","0","14%","0","－","0","0","－","22105","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"29","奈良県","7148","353","232","0","３／３","566","566","0","41%","5%","5","5","0","３／３","36","36","0","14%","87","0","３／３","969","969","0","9%","0","３／３","0","0","－","6708","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"30","和歌山県","4461","213","213","0","２／４","310","636","0","33%","5%","2","2","0","２／４","17","26","0","8%","53","0","２／４","178","178","0","30%","0","２／４","178","181","0%","4195","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"31","鳥取県","4659","153","153","0","２／３","250","351","5","44%","3%","0","0","0","２／３","30","47","0","0%","21","0","１／２","448","448","0","5%","0","１／１","5","5","0%","4485","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"32","島根県","4341","193","108","0","４／５","290","387","0","28%","4%","0","0","0","４／５","5","28","0","0%","12","0","４／５","133","133","0","9%","0","－","0","0","－","3876","62","260","1","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"33","岡山県","11803","374","313","0","４／４","554","600","0","52%","3%","7","7","0","２／４","21","67","0","10%","133","0","２／３","373","629","0","21%","0","２／４","0","5","0%","11291","406","5","1","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"34","広島県","21254","418","352","4","Ⅰ／Ⅱ","760","792","39","44%","2%","7","7","0","Ⅰ／Ⅱ","49","50","0","14%","309","0","Ⅰ／Ⅱ","1240","1695","0","18%","4","Ⅰ／Ⅱ","19","39","10%","20527","146","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"35","山口県","5850","215","215","0","４／４","680","680","0","32%","4%","1","1","0","４／４","47","47","0","2%","38","0","４／４","594","594","0","6%","0","４／４","0","0","－","5597","489","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"36","徳島県","3404","99","99","0","３／５","185","286","22","35%","3%","2","2","0","３／５","16","25","0","8%","94","0","５／５","414","414","0","23%","0","３／５","0","22","0%","3211","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"37","香川県","5064","215","114","0","３／４","229","307","0","37%","4%","3","3","0","３／４","26","29","0","10%","101","0","２／２","474","474","0","21%","0","３／４","0","0","－","4748","100","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"38","愛媛県","7399","319","174","0","３／３","386","433","0","40%","4%","4","4","0","３／３","18","19","0","21%","33","0","３／３","263","263","67","13%","0","３／３","67","67","0%","7047","236","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"39","高知県","3643","146","120","0","４／５","273","365","0","33%","4%","2","2","0","４／５","16","24","0","8%","26","0","４／５","190","190","0","14%","0","４／５","0","0","－","3471","112","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"40","福岡県","22183","1239","751","0","５／５","2024","2024","0","37%","6%","3","3","0","５／５","217","217","0","1%","297","0","４／４","2239","2239","19","13%","0","１／２","19","222","0%","20647","0","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"41","佐賀県","5079","329","186","0","４／５","439","584","50","32%","6%","0","0","0","１／５","8","48","0","0%","56","0","２／４","390","390","0","14%","0","４／５","50","50","0%","4694","194","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"42","長崎県","5374","287","165","0","３／４","383","511","0","32%","5%","1","1","0","３／４","24","30","0","3%","81","0","３／４","626","626","0","13%","0","３／４","0","0","－","5006","175","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"43","熊本県","9150","456","443","0","２／２","754","754","0","59%","5%","7","7","0","２／２","54","54","0","13%","202","0","２／２","1226","1226","0","16%","0","－","0","0","－","8486","0","6","6","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"44","大分県","5499","198","198","0","３／４","373","552","0","36%","4%","2","2","0","３／４","42","43","0","5%","68","35","３／４","1150","1460","254","5%","35","３／４","175","254","14%","5233","95","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"45","宮崎県","4636","262","79","0","２／２","374","378","0","21%","6%","3","2","0","２／２","17","17","0","12%","61","0","３／３","500","500","0","12%","0","３／３","0","0","－","4313","195","0","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"46","鹿児島県","4227","296","168","0","３／４","405","501","0","34%","7%","1","1","0","３／４","11","25","0","4%","350","0","３／４","955","1653","47","21%","0","１／４","0","59","0%","3516","0","65","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
"47","沖縄県","4076","165","165","0","４／５","516","667","25","25%","4%","9","9","0","４／５","38","44","0","20%","221","2","４／５","1110","1117","75","20%","2","４／５","100","100","2%","3469","143","221","0","2022-12-07","https://www.mhlw.go.jp/content/10900000/001022450.xlsx"
